action,id,old,new_or_parent
rename,BDS-CURATED-0010,có 4 mặt tiền nằm tại trục chính đường Hoàng Quốc Việt,"Khu đất 1,7 ha đường Hoàng Quốc Việt, Hạ Long"
rename,BDS-CURATED-0040,bán Q4/2026,"Dự án 2,3 ha Bình Điền, Bình Chánh"
rename,BDS-CURATED-0089,chỉnh trang),"KDC Tam Phước 4,9 ha, Biên Hòa"
rename,BDS-CURATED-0096,được chào về tại Bình Dương,"Dự án Victory Hoàn Cầu, Bình Chuẩn, Thuận An"
rename,BDS-CURATED-0105,KCN do Tập đoàn Xuận Thiện làm CĐT với 02 Nhà máy Gang thép - Cán thép đã dược tỉnh phê duyệt chủ trương đầu t,"KCN Nghĩa Sơn, Nghĩa Hưng, Nam Định"
rename,BDS-CURATED-0046,2769m2 Hoàng Sa Đà Nẵng (chưa bao gồm TSDĐ bổ sung),"Khu đất 2.769 m² Hoàng Sa, Đà Nẵng"
rename,BDS-CURATED-0120,nhà ở khi chuyển mục đích sang đất ở theo Luật Đất đai sẽ phải thực hiện đấu giá đối với hiện trạng các khu đấ,"12 lô đất Sun Group – KĐT ven sông Hòa Xuân, Đà Nẵng"
rename,BDS-CURATED-0155,là tính khả thi của công tác giải phóng mặt bằng khi diện tích nhà dân nằm xen cài nhiều trong ranh đất dự án,"KCN Liễu Sơn – Thái Hòa 1, Vĩnh Phúc"
rename,BDS-CURATED-0154,cần kiểm tra xem có chuyển lên thổ cư để thực hiện dự án chung cư được hay không,"Dự án 1,2 ha đường Thuận An Hòa, An Phú"
rename,BDS-CURATED-0200,cảng tổng hợp và container Cái Mép Hạ được đề xuất đầu tư với tổng vốn 50,Cảng tổng hợp và container Cái Mép Hạ
rename,BDS-CURATED-0217,phân lô bán nền ở phường Long Phước ạ Vị trí dự án,Dự án phân lô Long Phước (ViệtNhân1234 / Blue Diamond Riverside)
rename,BDS-CURATED-0338,PGK phương án 900 tỷ,Phú Gia Khiêm – phương án giá vốn 900 tỷ
rename,BDS-CURATED-0345,Phú Gia Khiêm với 02 phương án,Phú Gia Khiêm – cập nhật 02 phương án
rename,BDS-CURATED-0350,theo các phân kỳ,Phú Quang – cập nhật FS NOTM thay thế NOXH
rename,BDS-CURATED-0103,Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp,Hội An Riverside Resort & Spa – cập nhật FS Concept Lamanon
rename,BDS-CURATED-0069,đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng - Hiện chủ,"Dự án 2,3 ha Bình Điền, Bình Chánh – cập nhật pháp lý/FS"
rename,BDS-CURATED-0146,Holiday Beach tại Đà Nẵng đánh giá nhanh phương án vận hành khách sạn tạm thời trong thời gian ngắn,Holiday Beach Đà Nẵng – phương án vận hành tạm thời
merge_update_into_parent,BDS-CURATED-0338,Phú Gia Khiêm – phương án giá vốn 900 tỷ,Phú Gia Khiêm
merge_update_into_parent,BDS-CURATED-0345,Phú Gia Khiêm – cập nhật 02 phương án,Phú Gia Khiêm
merge_update_into_parent,BDS-CURATED-0350,Phú Quang – cập nhật FS NOTM thay thế NOXH,Phú Quang
merge_update_into_parent,BDS-CURATED-0103,Hội An Riverside Resort & Spa – cập nhật FS Concept Lamanon,Hội An Riverside Resort & Spa
merge_update_into_parent,BDS-CURATED-0069,"Dự án 2,3 ha Bình Điền, Bình Chánh – cập nhật pháp lý/FS","Dự án 2,3 ha Bình Điền, Bình Chánh"
merge_update_into_parent,BDS-CURATED-0146,Holiday Beach Đà Nẵng – phương án vận hành tạm thời,Holiday Beach
