action,id,from,to
rename,BDS-CURATED-0019,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,"Dự án 1,2 ha đường Thuận An Hóa, Thuận An"
rename,BDS-CURATED-0147,Khu chung Cư và văn phòng An PHú Quy hoạch chỉ tiết 1/500 đã được phê duyệt có 3 khu chức năng chính,Khu chung cư và văn phòng An Phú
rename,BDS-CURATED-0097,được đề xuất nghiên cứu đầu tư tại huyện Giao Thuỷ,Khu du lịch TMDV Quất Lâm 7 ha và CCN Giao Tiến 50 ha
rename,BDS-CURATED-0257,phường Phú Thọ Hòa,"Khu đất Phú Thọ Hòa, Tân Phú"
rename,BDS-CURATED-0108,Suối Nhum với giá 1180 tỷ theo hình thức chuyển nhượng 100% cổ phần cty với hiện trạng có Quy hoạch mới dự kiế,Dự án Suối Nhum
rename,BDS-CURATED-0190,KS 25 Trần Phú sẽ đi theo PA 5 tầng nổi + 1 tầng hầm,"Khách sạn 25 Trần Phú, Đà Lạt"
rename,BDS-CURATED-0433,AN TON,KDC Đồi An Tôn
rename,BDS-CURATED-0195,The Sang Residence đang gần hoàn thành xây dựng với giá bán (58-68trđ/m2) với vị trí nằm sâu trong đường Phạm,The Sang Residence
rename,BDS-CURATED-0194,Swanbay 456ha hiện Dic đã chuyển nhượng lại các dự án thành phần cho các chủ đầu tư khác nên có nhiều dự án co,SwanBay 456 ha
rename,BDS-CURATED-0148,Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước,"Lô đất mặt tiền Quốc lộ 13, Hiệp Bình Phước"
rename,BDS-CURATED-0193,Regalia Gold 4 sao tại Nha Trang,Regalia Gold Nha Trang
rename,BDS-CURATED-0388,tại 02 Tây Thạnh,Khu đất 02 Tây Thạnh
rename,BDS-CURATED-0270,đấu thầu 386ha - Nhơn Trạch,Khu đất đấu thầu 386 ha Nhơn Trạch
rename,BDS-CURATED-0429,đấu thầu 386ha - N,Khu đất đấu thầu 386 ha Nhơn Trạch – cập nhật
merge,BDS-CURATED-0167,The Bale của Được gửi giá đã giảm mà lại ko lãi hã Dự án Bale này giá có giảm nhưng pháp lý trước đây họ cam k,the Bale tại Phan Thiết
merge,BDS-CURATED-0281,The Bale của Được gửi giá đã giảm mà lại ko lãi hã Begin quote,the Bale tại Phan Thiết
merge,BDS-CURATED-0304,Bale,the Bale tại Phan Thiết
merge,BDS-CURATED-0433,KDC Đồi An Tôn,KDC An Tôn theo 02 phương án quy hoạch
merge,BDS-CURATED-0280,Phượng Hoàng theo Chính sá… Vậy chốt PkD phương án này đi Ok Sếp,Phượng Hoàng
merge,BDS-CURATED-0279,Phượng Hoàng theo Chính sách bán hàng mới từ Mr Cường (SM),Phượng Hoàng
merge,BDS-CURATED-0429,Khu đất đấu thầu 386 ha Nhơn Trạch – cập nhật,Khu đất đấu thầu 386 ha Nhơn Trạch
