candidate_key,existing_project_id,project_name_candidate,mention_count,first_report_date,latest_report_date,map_urls,land_area_mentions,price_mentions,sample_excerpt
hội an riverside resort spa,BDS-TEAMS-0040,Hội An Riverside Resort & Spa,6,2024-11-15,2024-12-25,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,"40m²; 39m²; 580,1m²; 16.570m²; 48m²; 85m²; 040,1m²; 540m²; 14.127m²; 50m²; 38m²","2,7 tỷ; 2,3 tỷ; 17,8 tr/m2; 15 tr/m2; 377 tỷ; 303 tỷ; 75 tỷ; 104 tỷ; 2,9 tỷ; 19 tr/m2; 74 tỷ; 295 tỷ; 2,81 tỷ; 299 tỷ; 33,8 tỷ; ; 430 tỷ; 71 tỷ","Phòng ĐT báo cáo Sếp Admin 01 về cập nhật FS dự án Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp, như sau: 1/ Cơ cấu phòng: 125 phòng gồm 105 phòng khách sạn và 20 phòng Villa (không thay đổi) 2/ Suất đầu tư Chi phí đầu tư (gồm VAT) Tháng 4/2026 Tháng 12/2024 Suất vốn đầu tư /key 2,7 tỷ/key 2,3 tỷ/key Đơn giá All - in 17,8 tr/m2 15 tr/m2 Tổng chi phí đầu tư 377 tỷ đồng 303 tỷ đồng 3/Giá bán, tỷ lệ lấp đầy, chi phí vận hành: Giá kinh doanh Tháng 4/2026 Tháng 12/2024 Giá phòng khách sạn 2,97 triệu/phòng 2,7 triệu/phòng Giá phòng Villa 9,27 triệu/phòng 8 triệu/phòng Công suất 65%,70%,72%,80% 60%,65%,70%, 75%, 80% Doanh thu khác 31% 35% Giá bình quân 150 USD (tỷ giá 27.000 đồng) 4/Hiệu quả đầu tư Chỉ tiêu Tháng 4/2026 Tháng 12/2024 IRR 17.1% 17.1% NPV 75 tỷ đồng 104 tỷ đồng Thời gian hoàn vốn 7 năm 9 năm Do concept mới chưa có suất vốn đầu tư nên phòng đang tạm tính theo suất vốn chuẩn 5 sao mức đầu tư cao cấp ~ 2,7 tỷ/key và có tính độ n"
31 trần não,BDS-TEAMS-0035,31 Trần Não,3,,,,5.243 m²; 3.580 m²; 1.354 m²; 2.226 m²; 1.660 m²,"1,800 tỷ; 21.5tr/m2; 18.6tr/m2; 3.1 tỷ; 2,700 tỷ; 2,500 tỷ; 200 tỷ; 1,525 tỷ; 2.500 tỷ; 4,200 tỷ; 476tr/m2; 160 tỷ; 1,250 tỷ; 18.4tr/m2; 2.24 tỷ; 255 tỷ; 11,500 tỷ; 3,360 tỷ; 220tr/m2; 20.2 tỷ; 1,280 tỷ; 250tr/m2; 30.2 tỷ; 1,360tỷ; 6,500 tỷ; 136 tỷ","Thao L - INVT 5/11 1:38 PM Edited Translate K.ĐT gửi anh Admin 01 báo cáo dự án 31 Trần Não như sau: I. TỔNG QUAN 02 PHƯƠNG ÁN: II. PHƯƠNG ÁN CĂN HỘ DỊCH VỤ KẾT HỢP VĂN PHÒNG VÀ TRUNG TÂM THƯƠNG MẠI 1. Chi phí xây dựng (VAT): 1,800 tỷ - Đơn giá XD Allin: 21.5tr/m2 (trong đó SĐT VP + hầm: 18.6tr/m2 - Dựa vào S.ĐT P.QS tính theo chuẩn VP Opal) - SĐT/CHDV: 3.1 tỷ/key 2. Doanh thu và Chi phí vận hành (VAT): - Tỷ lệ diện tích thương phẩm Văn phòng đạt khoảng 79%, CHDV chỉ khoảng 60% (nhiều tiện ích đi kèm) - Giá thuê và phí dịch vụ của văn phòng năm đầu: 38.5$/m2/tháng gồm VP: 33$/m²/tháng + phí dịch vụ 5.5$/m²/tháng; CPVH: 20% DT; Tỷ lệ tăng giá thuê 3%/năm - Giá thuê CHDV năm đầu: + Dài ngày chiếm 70%: 33tr/căn/tháng ~ 23.2$/m2/tháng + Ngắn ngày chiếm 30%: 1.6tr/căn/đêm ~ 33.9$/m²/tháng => Quy đổi trung bình đơn giá thuê CHDV năm đầu: 26.4$ /m²/tháng, CPVH: 50% DT; Tỷ lệ tăng giá thuê 5%/năm - Giá thuê sỉ TTTM năm đầu: 14.3$/m2/tháng; CPVH: 4% DT; Tỷ lệ tăng giá thuê 2%/năm 3. Hiệu quả đầ"
richland quận 9,BDS-TEAMS-0007,Richland Quận 9,1,,,,"308,7 m2; 49.443 m2; 2.82 ha; 1.09 ha; 0.38 ha",,"Phòng Đầu Tư báo cáo Sếp Admin 01 về DA Richland Quận 9. Trên cơ sở báo cáo pháp lý từ phòng Pháp lý DA, P. Đầu tư xin tổng hợp những điểm chính cần lưu ý đối với dự án Richland Quận 9 như sau: 1 .Pháp lý đầu tư và đất : Dự án phải hoàn thành vào tháng 3/2011 => Dự án chậm tiến độ triển khai + Chậm đưa đất vào sử dụng. Cần làm rõ DA đã được gia hạn sử đụng đất chưa? 2. Nghĩa vụ tài chính + đền bù: Nghĩa vụ tài chính dự án: Chưa hoàn thành nghĩa vụ tài chính tương ứng với chỉ tiêu quy hoạch được phê duyệt (6.972 người, 1.743 căn hộ, hệ số toàn khu 4,99 lần, chức năng chung cư, trường mầm non, văn phòng thương mại dịch vụ). Diện tích đền bù: 11.308,7 m2 của các hộ dân thuộc ranh dự án 49.443 m2, đã có QĐ thu hồi năm 2008 giao cho Cty nhưng thiếu hồ sơ đính kèm => chưa thể khẳng định đã hoàn tất bồi thường hay chưa. 3. Các nghĩa vụ khác: + Đóng góp kinh phí xây trường Tiểu học bên ngoài dự án; + Tuyến điện đi qua dự án, đóng tiền phần diện tích đất dưới hành lang tuyến điện đi qua dự án. "
phượng hoàng,,Phượng Hoàng,11,2024-12-12,2025-09-10,,,215 tỷ; 36.5tr/m2; 2 tỷ; 38 tỷ; 33 tỷ; 71 tỷ; 178 tỷ; 4 tỷ; 182 tỷ; ; 14.5 tỷ; 12 tỷ; 618.8 tỷ; 27 tỷ; 11.6tr/m2; 30tr/m2; 12.3tr/m2; 31tr/m2; 10 tỷ; 40 tỷ; 14 tỷ; 619 tỷ; 624 tỷ; 588 tỷ; 593 tỷ; 36tr/m2,"P.ĐT gửi anh Mr Mike1 -CEO về Chính sách bán hàng dự án Phượng Hoàng như sau: 1. Về giá vốn và giá thành toàn bộ của sản phẩm căn hộ: Mục tiêu: Ngân sách bán hàng 215 tỷ (chưa VAT) để thu về đơn giá bán trung bình 36.5tr/m2. 2. Giả định: - Mr. David mua 1 căn suất nội bộ và thêm 14 căn (tổng sỉ 15 căn) - Nhân viên công ty mua 49 suất nội bộ =>Tổng số căn áp dụng thanh toán sớm 95%: 64 căn Tổng số căn suất nội bộ: 50 căn Và 15 căn áp dụng mua sỉ (Mr. David) Theo giả định hiện tại, phần ngân sách dành cho chiết khấu vượt dự toán khoảng 2 tỷ, dẫn đến thâm hụt so với kế hoạch. Để duy trì tổng chi phí bán hàng trong giới hạn 215 tỷ đồng, Bộ phận SM cần thực hiện điều chỉnh, cắt giảm hoặc tối ưu các nhóm chi phí khác tương ứng. Message by Unknown User"
bà kèo,,Bà Kèo,8,,,,2.8 ha; 430 m²,"1,750 tỷ; 2,300 tỷ; 100tr/m2","P.ĐT gửi anh Admin 01 về việc ước tính TSDĐ dự án Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau: 1. QUY HOẠCH Theo Quyết định số 29/QĐ-BQLPTPQ ngày 03/04/2014 về phê duyệt Đồ án điều chỉn… Anh gửi lại Sếp tính tiền sử dụng đất theo 1.500 cũ của Bà Kèo à Begin quote, Thao L - INVT, 6/22/2026 12:01... by Admin 01"
cao tầng,,cao tầng,7,2024-09-25,2025-02-11,https://maps.app.goo.gl/AoJAreLLvUUHzVVw5; https://maps.app.goo.gl/uKe9j2z7xKHjdR8A7; ; https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9,"243.6m2; 140m2; 70m2; 5,537m2; 926.4m2; 326.7m2; 4926.4m2; ; 10,490m2; 883.4m2; 067.7m2","894 tỷ; 170tr/m2; 2,590 tỷ; 367 tỷ; 70tr/m2; 16.9tr/m2; 14tr/m2; 20tr/m2; 38,654 tỷ; 167.3tr/m2; 125tr/m2; 147.85tr/m2; 137 tỷ; 12,768 tỷ; 1,158 tỷ; 1,515 tỷ; 275 tỷ; 55.8tr/m2; 940 tỷ; 12tr/m2; 292.4 tỷ; 50.1tr/m2; 43 tr/m2; 31.5tr/m2; 38.5tr/m2; 176 tỷ; 270 tỷ; ; 65tr/m2; 681.86 tỷ; 15.3tr/m2; 50tr/m2; 40.2 tr/m2","Thao L - INVT 3/11 11:49 AM Translate K.ĐT gửi lại báo cáo về Cao tầng 31 Trần Não như sau - thời điểm tính toán Tháng 2/2025 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,243.6m2. - Chi phí đất ban đầu: 894 tỷ ~ 170tr/m2 – full ở - Vị trí dự án tiếp giáp đường Trần Não. - Hiện trạng: Dự án có nguồn gốc đất là Full ở lâu dài (theo thông tin được cung cấp), vì thế phần đất tương ứng sản phẩm Thương mại (TTTM, Khách sạn, Văn phòng) có khả năng được thời hạn lâu dài (tương tự dự án 197 Lê Văn Sỹ, Quận 3). Tuy nhiên, để P.PLDA có đánh giá chính xác và chi tiết hơn cần cung cấp đầy đủ hồ sơ dự án. 2. Hồ sơ Pháp lý: P.ĐT nhận thông tin Tính hiệu quả sơ bộ dự án từ Mr. Hùng theo Thuyết minh dự án được cung cấp. Không có bất kì hồ sơ pháp lý nào, vì thế chưa thể đánh giá pháp lý dự án. Theo Thuyết minh dự án đề xuất thay đổi như sau: 3. Tính khả thi: a. Loại hình phát triển: Dự án cao tầng hỗn hợp gồm: 04 tầng TTTTM, 06 tầng Khách sạn 4 - 5 sao, 05 tầng Văn p"
phú quang,,Phú Quang,6,2022-08-03,2025-07-15,,"313,853m2; 97,860m2; 416,808m2; 102,955 m2",8.000 tỷ; 23.797 tỷ; 3.676 tỷ; ; 507.7 tỷ; 755.9 tỷ,"Khoa L - INVT 7/15/2025 5:46 PM Translate P.ĐT báo cáo CEO Mr Mike1 -CEO cập nhật FS dự án Phú Quang, Về nghĩa vụ tiền sử dụng đất dự án, trước đây Công ty đang định hướng sẽ được khấu trừ phần tiền sử dụng đất mà đối tác cam kết nộp cho diện tích giao đất đợt 1 (tương ứng với QH 1/500 cũ) vào số tiền sử dụng đất đợt 2 (theo QH 1/500 mới). Tuy nhiên, hiện nay công tác điều chỉnh QH1/500 đã được hoàn thành trước công tác đóng tiền đợt 1 thực hiện. Do đó, khả năng công ty sẽ phải đóng full tiền sử dụng đất mà không được khấu trừ. => P.ĐT cập nhật lại FS dự án theo phương án đóng full tiền sử dụng đất. (ước tính ~8.000 tỷ) như sau: - LNTT: 23.797 tỷ - NPV: 3.676 tỷ - IRR: 19.17% - LNTT/TMĐT: 51.06% 2025.07.15-FS PA full tiền đất.pdf P. ĐT báo cáo Sếp Mr Mike1 -CEO về s... by Hanh T - INVT, has an attachment."
swan park và swan bay,,Swan Park và Swan Bay,6,2023-06-10,2023-06-13,,500 m²; 1000 m²; 282 m²; 457 m²,,"Sinh Nguyen-Dau Tu 6/13/2023 1:54 PM K.ĐT báo cáo anh Tuan Tran-CEO về so sánh Giá bán đất (sau khi trừ CTXD) giữa dự án Swan Park và Swan Bay như sau: Giá bán đất Nhà phố hiện tại của SwanBay cao hơn SwanPark khoảng 120% – 150%. Nếu thời điểm 2022 thì cao hơn khoảng 70% – 80% Giá bán đất Biệt thự song lập hiện tại của SwanBay cao hơn SwanPark khoảng từ 30% - 50%. Nếu thời điểm 2022 thì cao hơn khoảng 10% - 20%. Giá bán đất Biệt thự đơn lập hiện tại của SwanBay cao hơn SwanPark khoảng từ 110% - 160%. Nếu thời điểm 2022 thì cao hơn khoảng 80% - 100%. Giá bán đất Shophouse hiện tại của SwanBay cao hơn SwanPark khoảng 40% - 50%. Nếu thời điểm 2022 thì cao hơn khoảng 5%. Giá bán đất Dinh thự hiện tại của SwanBay cao hơn SwanPark khoảng 210% - 310%. Nếu thời điểm 2022 thì cao hơn khoảng 200% - 300%. Giá bán đất Dinh thự (sau khi tách CTXD) của SwanBay cao hơn SwanPark rất nhiều sau khi chưa tách đất và CTXD là do: Diện tích sàn xây dựng Dinh thự tại SwanBay nhỏ (1 trệt, 1 lầu, 300 – 500 m²)"
phú gia khiêm về việc điều chỉnh chỉ tiêu dân số,,Phú Gia Khiêm về việc điều chỉnh chỉ tiêu dân số,5,,,,25m²; 32m²,,"P.ĐT gửi anh Mr Mike1 -CEO cập nhật sau Cuộc họp dự án Phú Gia Khiêm về việc điều chỉnh chỉ tiêu dân số như sau: - Chỉ tiêu dân số của dự án PGK đang được tính: 3.973 dân, trong đó: + Dân số căn hộ ở: 3.500 dân + Dân số officetel: 473 dân - Chỉ tiêu dân số của dự án PGK dự kiến điều chỉnh: 3.67… Thao L - INVT Hi Thảo; PLDA cập nhật chốt xin giữ dân số cho PGK là 3800. Đầu tư trao đổi với QH và PLDA để nắm tt thêm; Các PA điều chỉnh cơ cấu sản phẩm sau này cũng dễ hơn. Begin quote, Thoi L - ASST., 12/17/2025 8:5... by Thao L - INVT"
hoa viên vĩnh thanh sau khi có thông số từ p,,Hoa viên Vĩnh Thanh sau khi có Thông số từ P,5,2025-02-08,2026-01-23,,"290,217m2; 57ha","1,081 tỷ; 1.2tr/m2; 683 tỷ; 1,327 tỷ; 10,362 tỷ; 1.59tr/m2; 905 tỷ","Thao L - INVT 1/23 12:02 PM Edited Translate K.ĐT gửi anh Mr Mike1 -CEO cập nhật báo cáo dự án Hoa viên Vĩnh Thanh sau khi có Thông số từ P.QH và S.ĐT từ P.QS như sau: 1. Cập nhật Thông số của P.QH và SĐT của P.QS: a. Diện tích thương phẩm: 290,217m2 ~ 51% b. SĐT All in gồm VAT: 1.898 tr.đ/m2 cho tổng 57ha ~ 1,081 tỷ * Phạm vi tính: - Đất mộ: Xử lý nền, trồng cỏ, Xử lý Khí - Thải – Mùi, Kim tĩnh. - Hạ tầng: Hạ tầng Công viên, Cảnh quan, Cây xanh, Kênh; Hạ tầng Giao thông, Bãi xe, Chiếu sáng, Cấp nước - điện - mạng; Hệ thống xử lý nước thải, Xử lý không khí. * Không tính SĐT các công trình tiện ích và phụ trợ, chỉ san lắp và làm hạ tầng chờ để triển khai sau: - Nhà tang lễ, Tịnh xá, Nhà hỏa táng, Nhà hàng và Nhà điều hành. (Tạm xem phần Chi phí xây dựng này sẽ được bù trừ bởi Doanh thu hoạt động khi sử dụng các dịch vụ của tiện ích này). 2. Cập nhật Tiền chuyển mục đích sử dụng đất tạm tính: a. Đơn giá Chuyển mục đích sử dụng đất theo bảng giá đất Nhà nước: 1.2tr/m2 cho tổng 57ha ~ 683 "
