master_id,project_name,mids,best_point,best_score,points_available
BDS-MASTER-0080,~38ha,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,,0,4
BDS-MASTER-0113,chung cư Hải Sơn có diện tích đất 8,1pYF3M65dQngj9P_VP8SbXUKy92nYnFo,,0,1
BDS-MASTER-0139,Văn phòng – An Phú,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,,0,4
BDS-MASTER-0173,hiệu quả với tỷ lệ LNTT/TMĐT từ > 12% là từ 90 triệu đồng/m2,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,Ranh 35 ha LAC HONG RACH GIA,14,4
BDS-MASTER-0179,tọa lạc,1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc,,0,0
BDS-MASTER-0205,đang vận hành có hệ số nén 0,11z_Bkaxe4GIV5AYsicAES_ivCxDZbmM,,0,0
BDS-MASTER-0228,khác đang triển khai như Stown,1GZCfnV4401jtKcup5hFe0KPBOBMYrp4,Dự án TTTM kết hợp ở tại xã Trảng Bom,14,58
BDS-MASTER-0235,đã và đang thực hiện trên BCTC,1pYF3M65dQngj9P_VP8SbXUKy92nYnFo,,0,1
BDS-MASTER-0236,đầu tư,11z_Bkaxe4GIV5AYsicAES_ivCxDZbmM,,0,0
BDS-MASTER-0250,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc,,0,0
BDS-MASTER-0348,NOXH của Công ty Ba Huân,1p-2wMqsZAnTQXubtXx7Lse6Sq-8rC64,,0,0
BDS-MASTER-0349,NOXH Đồng Nai (2 dự án trung tâm Biên Hòa)1,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,Ranh 35 ha LAC HONG RACH GIA,14,4
BDS-MASTER-0368,hạ tầng kết nối lớn tại các tỉnh thành lân cận,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,,0,4
BDS-MASTER-0370,khác Team cũng có đánh giá lại theo giá thị trường,1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc,,0,0
BDS-MASTER-0401,Đông Trung - Đề xuất,1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc,,0,0
BDS-MASTER-0402,Đầu tư xây dựng đường Cao tốc TP,10gTnNN6aieu1u3Xx49gGnnp177W4zag,,0,0
BDS-MASTER-0408,định giá Link vị trí,1Yy94Bk_zJc1qdBIr51K9nl1FJ6GMm1g,"Thanh Đa, Bình Thạnh",14,13
BDS-MASTER-0414,35ha 1,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,35Ha Lac Hong - Rach Gia,14,4
BDS-MASTER-0438,cập nhật chốt xin giữ dân số cho PGK là 3800,1GZCfnV4401jtKcup5hFe0KPBOBMYrp4,Dự án TTTM và dân cư phường Long Khánh,14,58
BDS-MASTER-0443,của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể,1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0; 1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0,Ranh 35 ha LAC HONG RACH GIA,14,4
BDS-MASTER-0473,tiêu biểu và đang book lịch đi khảo sát thực tế thị trường về giá bán,1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc,,0,0
BDS-MASTER-0481,xung quanh do phòng R&D tổng hợp,1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo,,0,1
BDS-MASTER-0486,đề xuất quan tâm theo file đính kèm,1GZCfnV4401jtKcup5hFe0KPBOBMYrp4,Dự án đô thị sinh thái và công viên chuyên đề tại Xã Phước An,14,58
BDS-MASTER-0490,Hiyori e đang tổng hợp thông tin,1pYF3M65dQngj9P_VP8SbXUKy92nYnFo,,0,1
BDS-MASTER-0497,hoàn chỉnh nút giao và nhánh nối xa lộ Hà Nội - vành đai 3,1GZCfnV4401jtKcup5hFe0KPBOBMYrp4,Khu đất khoảng 80 ha (phần còn lại của khu 186 ha) xã Bình An,14,58
BDS-MASTER-0498,không với những hạn chế ở trên,1pYF3M65dQngj9P_VP8SbXUKy92nYnFo,,0,1
