severity,kind,curated_id,project_name,detail
critical,bad_project_name,BDS-CURATED-0182,(1) chưa có chủ trương đầu tư (Điểm cộng để xin thí điểm) + (2) dự án chưa đăng ký ngay đợt đầu như PGK nên sợ,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0124,(giá bán quỹ đất bao gồm cam kết của đối tác sẽ hỗ trợ phần đất đi vào dự án) với chi phí làm đường là 1tr/m2,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0146,Holiday Beach tại Đà Nẵng đánh giá nhanh phương án vận hành khách sạn tạm thời trong thời gian ngắn,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0103,Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,coordinate_outside_vietnam,BDS-CURATED-0104,IDEO CHANRAN 70 RIVERVIEW nằm trên đường Charan Sanit Wong,Tọa độ ngoài biên độ Việt Nam
critical,coordinate_outside_vietnam,BDS-CURATED-0232,IDEO cách trung tâm Bangk,Tọa độ ngoài biên độ Việt Nam
critical,coordinate_outside_vietnam,BDS-CURATED-0189,IDEO cách trung tâm Bangkok khoảng 6-7Km và gần sông Chao Phraya,Tọa độ ngoài biên độ Việt Nam
critical,bad_project_name,BDS-CURATED-0105,KCN do Tập đoàn Xuận Thiện làm CĐT với 02 Nhà máy Gang thép - Cán thép đã dược tỉnh phê duyệt chủ trương đầu t,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0147,Khu chung Cư và văn phòng An PHú Quy hoạch chỉ tiết 1/500 đã được phê duyệt có 3 khu chức năng chính,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0149,Masteri An Phú - Masteri Thảo Điền - The Vista tăng 40-50% giá trị chỉ trong 3 tháng ) 🎉 Nếu lấy sàn thứ 2 (70,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
critical,bad_project_name,BDS-CURATED-0381,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,"Tên dài >90 ký tự, có thể là tiêu đề tin nhắn/câu mô tả"
