curated_id,project_name,entity_type,entity_valid_for_project_map,entity_classification_note,source_excerpt
BDS-CURATED-0020,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2023-08-03] Thao L - INVT 8/3/2023 2:24 PM Edited 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cuối 2028: Bán sàn TTTM. 2029: Bán căn hộ NOXH. d. Tổng mức đầu tư : Tiền sử dụng đất: Tạm tính theo phương pháp hệ số điều chỉnh (K=3,3): 153,7 tỷ ~ 12tr/m2 cho 12,856m2 đất ở tương ứng phần căn hộ thư

---

[] Thao L - INVT 3/23 11:46 AM Translate 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cuối 2028: Bán sàn TTTM. 2029: Bán căn hộ NOXH. d. Tổng mức đầu tư : Tiền sử dụng đất: Tạm tính theo phương pháp hệ số điều chỉnh (K=3,3): 153,7 tỷ ~ 12tr/m2 cho 12,856m2 đất ở tương ứng phần căn hộ thư"
BDS-CURATED-0022,tại 353 Nơ Trang Long,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2025-10-07] Hanh T - INVT 10/7/2025 5:32 PM Edited Translate Kính gửi Sếp Mr Mike1 -CEO, P.ĐT xin báo cáo hiệu quả đầu tư dự án tại 353 Nơ Trang Long, Bình Thạnh, TPHCM như sau: * Ranh đất, vị trí và thông tin Quy hoạch: https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing + Diện tích đất: 3.399 m2, diện tích phù hợp QH (Sau khi trừ lộ giới) 3.195 m2; + Chỉ tiêu QH theo 1/2000 được duyệt (QĐ 5674/QĐ-UBND 2017): Hệ số 6 lần, dân số 606, tầng cao 18, MĐXD 70%. + Phòng ĐT tính FS theo 02 phương án từ phòng QH: Phương án 1: Phù hợp (dưới <=) chỉ tiêu cho phép theo 1/2000 Phương án 2: Cao hơn (>=) chỉ tiêu cho phép 1/2000, cơ sở tham khảo từ dự án gần đó là Ascent Plaza. A - Hiệu quả dự án theo phương án 1: Chỉ tiêu QH: Tầng cao 18 tầng, 1 tầng hầm, hệ số 6 lần, dân số 465, dt sàn xây dựng 25.289 m2, diện tích sàn kinh doanh 13.633 m2. Tổng doanh thu căn hộ chưa VAT là: 1.018,6 tỷ đồng (Đơn giá căn hộ tại thời điểm mở bán QIV/2026 là 68 Triệu/m2 (chưa VAT); Giá shophouse ~1,3 lần giá căn hộ : 88 Triệu/m2) Tổng mức đầu tư chưa bao gồm VAT, bao gồm lãi vay là: 896 tỷ đồng (Đơn giá All in bao gồm VAT là 18 triệu/m2; Chi phí mua đất 220 tỷ đồng; Tiền sử dụng đất đóng thêm"
BDS-CURATED-0018,chung cư tại Tân Bình,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2022-11-16] Trieu Nguyen-PTDT 11/16/2022 3:35 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án chung cư tại Tân Bình, Dĩ An, Bình Dương có quy mô 9379m2, có giá chào 380 tỷ nhưng do chủ cần bán gấp nên vẫn có thể thương lượng ở mức 320 tỷ trong đó 237.55 tỷ (25.3 tr.đồng/m2)là tiền chuyển nhượng đất và tiền sử dụng đất + 82.45 tỷ là tiền đền bù và hoàn thành đường kết nối N5 có lộ giới 17m chiều dài 150m, cụ thể: Vị trí và hiện trạng: - Dự án có 2 mặt tiền hẻm: 1 hẻm bê tông kế nối đường Thanh Niên và 1 hẻm bê tông kết nối đường Nguyễn Thị Minh Khai, Phường Tân Bình, TP Dĩ An, Bình Dương - Cách Đường Mỹ Phước Tân Vạn 640m - Cách Đường DT 743B khoảng 3km (theo tuyến đường Mỹ Phước Tân Vạn) thuận tiện di chuyển đến các huyện thành phố lân cận thuộc Bình Dương, Bình Phước và về TPHCM - Cách QL 1K khoảng 4.8km thuận tiện di chuyển đến TP Biên Hòa và TP Hồ Chí Minh Pháp lý đất: Chưa được cung cấp GCNQSDĐ, phía chào bán cho biết có khoảng 2000m2 đất ODT trong tổng quy mô 9739m2 đất sạch Pháp lý đầu tư: Đã có chấp thuận chủ trương đầu tư ngày 29/09/2022 thời hạn đến Q2/2026, cho quy mô 9352.6m2, dân số 2797 người, chung cư cao 40 tầng và 2 tầng hầm, 1463 căn hộ Pháp lý quy hoạch: - QH 1/2000: khu đấ"
BDS-CURATED-0019,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2022-09-06] Trieu Nguyen-PTDT 9/6/2022 12:09 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án 1.2ha tại đường Thuận An Hóa, Thuận An, Bình Dương có giá chào 240 tỷ (18.575 tr.đồng/m2 đất), cụ thể: Vị trí và hiện trạng: Dự án có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m, và mặt tiền đường An Phú 11 rộng khoảng 175m Nằm cách đường Mỹ Phước – Tân Vạn khoảng 80m, cách Quốc lộ 13 khoảng 3.5km, cách địa phận TPHCM khoảng 10km, cách trung tâm TPHCM khoảng 25km, cách sân bay Tân Sơn Nhất khoảng 25km Xung quanh có nhiều nhà máy, KCN VSIP 1 và gần khu dân cư hiện hữu Pháp lý đất: Đã có GCNQSDĐ cá nhân đứng tên: 12705m2 đất hàng năm khác, thời hạn đến 2018 và 2020 Pháp lý đầu tư: Chưa có Pháp lý quy hoạch: QHSDĐ: Số tờ 80, thửa 35 có diện tích 13145.7m2 bao gồm 711.8m2 đất giao thông và 12433.9m2 đất ODT (Nguồn: http://qhkhsdd.binhduong.gov.vn/auth) QHXD: Số tờ 80, thửa 35 có diện tích 13188.078m2 bao gồm 2300.397m2 đất giao thông và 10837.681m2 đất trung tâm đô thị, có tầng cao < 12, MĐXD 50-80% (Nguồn: http://quyhoachxaydung.binhduong.gov.vn/) QHSDĐ: Đất ODT (nguồn Remaps) Phía chào bán cung cấp thông tin HSSD 9.94 lần, 30 tầng cao, 2 tầng hầm, MĐXD 38.8%, dân số 3276 người, bao gồm 1369 căn hộ chung cư "
BDS-CURATED-0033,theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[] Phòng ĐT báo cáo Sếp Admin 01 về sơ bộ dự kiến hiệu quả đầu tư dự án 2.316 ha Phía Nam Nhơn Trạch, như sau: I/TỔNG QUAN MẶT BẰNG: II/CHỈ TIÊU QUY HOẠCH TẠM TÍNH (ANH TÀI): III/HIỆU QUẢ TẠM TÍNH (P&L SƠ BỘ) Dựa trên các giả định: Giá bán: cơ sở đề xuất giá bình quân cho từng loại sản phẩm của phòng R&D đề xuất: Căn hộ 28 tr/m2, đất nền Nhà liên kế 36 tr/m2, đất nền biệt thự 35 tr/m2; Đơn giá chi phí đất (gồm tiền sử dụng đất)(đơn giá đất đường gần nhất khu đất vị trí 1 theo bảng giá đất là 6,5 tr/m2), phòng tính bài toán ngược với LNTT/TMĐT đạt 20% thì đơn giá đất bao gồm tiền sử dụng đất khoảng 3,3 tr/m2 (tính bình quân cho nhiều vị trí phân khu bên trong khu đất); Suất vốn xây dựng cao tầng theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026. Để đơn giản hóa bài tính Lãi/Lỗ, phòng tạm tính bán đất nên không tính chi phí xây dựng nhà liên kế và biệt thự (thực tế theo quy định phải xây dựng). HIỆU QUẢ DỰ ÁN NHƯ SAU: Giả định tiền đất (bao gồm tiền sử dụng đất) có tăng lên theo các mức chạy độ nhạy và thay đổi giá bán thì hiệu quả tương ứng như sau: Trân trọng báo cáo,

---

[] P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tuy nhiên theo nghiên cứu và đề xuất của Phòng RD không triển khai làm căn hộ dịch vụ vì tại vị trí dự án, thị trường chưa phổ biến loại hình này. P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: Doanh thu chưa VAT: 5.899 tỷ đồng (Đơn giá bình quân căn hộ tim tường chưa VAT 57 triệu/m2, Shophouse chưa VAT 56 triệu/m2; thời điểm bán 2028). Tổng mức đầu tư chưa VAT: 3.692 tỷ đồng (Trong đó đơn giá đất hiện trạng 3tr/m2, tiền sử dụng đất tạm tính 805 tỷ đồng, suất all in chưa VAT 13triệu/m2). Lợi nhuận trước thuế: 1.322 tỷ đồng Bảng độ nhạy dự án --> Để đạt hiệu quả LNTT/TMĐT = 20% thì giá mua đất 7,4 Triệu/m2 PHƯƠNG ÁN 1b:

---

[] P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tương tự PA 1a P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: Doanh thu chưa VAT: 7.290 tỷ đồng (thời điểm mở bán 2028 giá bán căn hộ và giá shop là 60 triệu bao gồm VAT). Tổng mức đầu tư chưa VAT: 4.520 tỷ đồng (Trong đó đơn giá đất hiện trạng 3tr/m2, tiền sử dụng đất tạm tính 1.229 tỷ đồng, suất all in chưa VAT 13triệu/m2). Lợi nhuận trước thuế: 1.676 tỷ đồng. Bảng độ nhạy dự án Để đạt hiệu quả LNTT/TMĐT = 20% thì giá mua đất 8,7 Triệu/m2 Lưu ý: Giá bán căn hộ vào năm 2028 với điều kiện là các nút giao thông Vành đai 2, Vành đai 3 phải hoàn thành trước thời điểm bán hàng để việc kết nối đến dự án thuận lợi. Phương án theo P.QH bố trí, chỉ xây dựng nhà ở trên phần đất ở 1,7ha/10ha"
BDS-CURATED-0030,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2022-09-06] Trieu Nguyen-PTDT 9/6/2022 10:34 AM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 2.6ha tại mặt tiền đường Song Hành XLHN, Thủ Đức có giá chào 1250 tỷ (48tr.đồng/m2 đất), cụ thể: Vị trí và hiện trạng: Dự án có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội, và 1 mặt tiền đường Linh Trung rộng khoảng 200m tại P.Linh Trung, Thủ Đức, TPHCM Dự án nằm cách điểm lên ga Metro khoảng 500m, cách cầu Sài Gòn khoảng 10km, cách đường Nguyễn Huệ, Q1 khoảng 15km Hiện trạng có 1 căn biệt thự nằm trong khuôn viên dự án, nằm gần các trụ điện cao thế Pháp lý đất: Chưa được cấp GCNQSDĐ nhưng đã có quyết định giao đất, có cho phép chuyển mục đích sử dụng đất sang dự án chung cư và đã hoàn tất nghĩa vụ tài chính. Trong đó: + Đất ở: 9227m2 giao đất có thu tiền sử dụng đất, thời hạn lâu dài + Đất văn phòng, tmdv: 5047m2, giao đất có thu tiền sử dụng đất, thời hạn 50 năm + Đất công cộng: 11767m2, bàn giao lại cho nhà nước Pháp lý đầu tư: Đã có QĐ6159/QĐ-UB tháng 12/2004 về việc cho phép công ty Phú Đức chuyển hình thức, mục đích sử dụng đất để đầu tư xây dựng khu nhà ở thương mại Pháp lý quy hoạch: Đã có chủ trương của Thành phố chấp thuận điều chinh điều chỉnh QH chi tiết 1.500 năm 2"
BDS-CURATED-0026,KĐT Trấn Biên (thuộc KCN Biên Hòa 1) đang tổ chức đấu giá tại Đồng Nai,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[] P.ĐT báo cáo sếp Mr Mike1 -CEO đánh giá sơ bộ hiệu quả dự án KĐT Trấn Biên (thuộc KCN Biên Hòa 1) đang tổ chức đấu giá tại Đồng Nai. 1.Vị trí dự án: https://maps.app.goo.gl/Mww4k2RWctPHssMQA 2. Thông số quy hoạch: - Diện tích: 51.65 ha (16.7ha đất ở, 4.8ha đất hạ tầng xã hội + TMDV) - Sản phẩm: Nhà phố, biệt thự, 3 khu chung cư cao từ 40-45 tầng, 1 Trung tâm thương mại, Trường học, y tế,…) - Dân số: ~ 19.774 dân 3. Pháp lý: Dự án đã có QH 1/500, đang thực hiện công tác giải phóng mặt bằng để tổ chức đấu giá theo kế hoạch. Theo thông báo đấu giá, thời gian nộp hồ sơ/tiền ứng trước từ 17/11/2025 đến 16/12/2025. Thời gian xét duyệt hồ sơ từ 04/12/2025-10/12/2025 Thời gian tổ chức đấu giá: 18/12/2025 Giá khởi điểm: 9.363 tỷ * Giá theo PA đấu giá do Trung tâm PT quỹ đất đề xuất là 2.110 tỷ. Tuy nhiên 10/11/2025, UBND Đồng Nai chính thức ra giá khởi điểm là 9.363 tỷ Tiền ứng trước: 1.873 tỷ 4. Hiệu quả dự án: a) Giá bán đề xuất từ RnD GIÁ CĂN HỘ - Giá căn hộ: 80-90 tr/m2 (gồm VAT, tim tường) - Giá officetel: 62-74tr/m2 (gồm VAT, tim tường) - Giá Shophouse: 136-172 tr./m2 (gồm VAT, tim tường) GIÁ THẤP TẦNG - Giá nhà phố liên kế: 133-154 tr/m2 (giá gồm nhà) – giá đất 94-115tr.m2 - Giá nhà "
BDS-CURATED-0090,khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[] P.ĐT báo cáo sếp Admin 01 dự án khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung: - Vị trí: P.Trấn Biên, Đồng Nai - Diện tích toàn khu: 131.690,94 m2 - Mục đích dự án theo QH sử dụng đất và QH xây dựng: KDC nhà ở kết hợp TMDV, cơ sở giáo dục – văn hóa – y tế. B) Định giá đất theo hiệu quả dự án: - Giả định kinh doanh: Thời gian bán hàng từ Q2/2027 – Q1/2030 Căn hộ: 55 – 60 tr/m2 Shop TMDV: 75 – 80 tr/m2 Nhà phố liên kế: 95 – 100tr/m2 Shophouse liên kế: 115 - 120 tr/m2 Biệt thự: 85 – 100 tr/m2 - Giá định cp đầu tư xây dựng Chung cư 19 tầng : 12.8 – 13.3 (gồm VAT, all-in) Nhà phố: 7.5tr/m2 (hoàn thiện mặt ngoài – thô bên trong) Biệt thự: 9.5 tr/m2 (hoàn thiện mặt ngoài – thô bên trong) - Giả định cp bán hàng: ~18% doanh thu => Để dự án đạt mức IRR: 20%, giá đấu cho khu đất là 2.010 tỷ (đơn giá đất ở: ~ 35 tr/m2) Bảng độ nhạy hiệu quả dự án theo giá đấu: Lưu ý và đề xuất: - Dự án có vị trí tốt, thị trường Biên Hòa có nhiều tiềm năng phát triển, hạ tầng đồng bộ phát triển - Hiệu quả theo mức đấu giá dự kiến là 2.010 tỷ để đạt mức IRR 20% Tuy nhiên có 1 số điểm lưu ý như sau: - Trong QH 1/500 được duyệt, diện tích 1 lô tương đối nhỏ (số lô có diện

---

[] P.ĐT báo cáo sếp Admin 01 dự án khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung: - Vị trí: P.Trấn Biên, Đồng Nai - Diện tích toàn khu: 131.690,94 m2 - Mục đích dự án theo QH sử dụng đất và QH xây dựng: KDC nhà ở kết hợp TMDV, cơ sở giáo dục – văn hóa – y tế. B) Định giá đất theo hiệu quả dự án: - Giả định kinh doanh: Thời gian bán hàng t"
BDS-CURATED-0078,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2023-06-16] Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bình, huyện Lập Thạch, tỉnh Vĩnh Phúc như sau: 1/ Vị trí Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (đường Vành Đai – Vùng Thủ Đô) khoảng 16,5km; Cách nút giao cao tốc Hà Nội – Lào Cai khoảng 16km. Cách sân bay quốc tế Nội Bài khoảng 52km Cách Trung Tâm Thủ đô Hà Nội khoảng 78km Cách Hải Phòng khoảng 175km 2/ Hiện trạng: Còn nhiều nhà dân sinh sống trong ranh đất quy hoạch dự án: 1 cụm lớn tập trung ở giữa và khá nhiều hộ nằm rải rác da beo trên đất quy hoạch dự án Có 1 khu mộ trên đất quy hoạch dự án Dự án không tiếp giáp trực tiếp đường Quốc Lộ 2C, chỉ tiếp cận đường nội bộ khu dân cư 3/ Pháp lý đất, pháp lý đầu tư Chưa có 4/ Quy hoạch Quyết định về việc Phê duyệt đồ án QHCT tỷ lệ 1/2000 Khu công nghiệp Thái Hòa, Bắc Bình tại huyện Lập Thạch, tỉnh Vĩnh Phúc số 3424/QĐ-UBND ngày 26/11/2013 Căn cứ phê duyệt quy hoạch sử dụng đất thời kỳ 2021

---

[2023-06-16] Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã

---

[2023-05-20] Unknown User 5/20/2023 11:59 AM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bình, huyện Lập Thạch, tỉnh Vĩnh Phúc như sau: 1/ Vị trí Cách đường Quốc lộ 2C khoảng 80m.Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị… K.ĐT đã đi khảo sát dự án KCN ở Vĩnh Phúc xong rồi ạ và đã báo cáo CEO ngày 20/5/2023. K.ĐT gửi lại anh Tuan Tran-CEO thông tin báo cáo dự án chi tiết như sau: K.ĐT báo cáo anh Tuan Tran-CEO dự án ... by Unknown User"
BDS-CURATED-0029,Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,reference_or_narrative,no,"Tên lấy từ câu mô tả vị trí/nội dung, không phải tên dự án","[2023-07-03] Thao L - INVT 7/3/2023 10:43 AM Edited K.ĐT báo cáo anh Tuan Tran-CEO dự án Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,5 lần như sau: CẬP NHẬT HỆ SỐ SỬ DỤNG ĐẤT MỚI 9,5 LẦN 1/ SƠ BỘ THÔNG TIN DỰ ÁN: - Dự án Văn phòng tại khu đất 197 Lê Văn Sỹ, phường 13, quận 3. Khu đất Nằm trên đường Lê Văn Sỹ và hẻm 195 Lê Văn Sỹ, cách cầu Lê Văn Sỹ khoảng 50m có tổng diện tích 985,7m2 với giá chào bán là 340 tỷ. - Link vị trí: https://goo.gl/maps/BgnUiLh44bo3Nyq37 - Đề xuất pháp lý: Mục tiêu: Xây dựng, vận hành Văn phòng mà vẫn giữ được mục đích Đất ở lâu dài. Cách thức để giữ lại mục đích Đất ở lâu dài: - Đại diện một cá nhân đứng tên giấy chứng nhận QSDĐ khu đất. Công ty ký hợp đồng thuê đất với Cá nhân (Hợp đồng thuê thời hạn là 20 năm, sau đó gia hạn dần trong 52 năm – 2 năm xây dựng và 50 năm vận hành) để xây dựng tòa nhà văn phòng. - Trong đó, về mặt pháp lý tiến hành xây dựng một căn hộ ở cho chủ đất sử dụng và không kinh doanh/bán căn hộ này. - Tuy nhiên, về mặt vận hành sẽ bố trí căn hộ này trong khu vực ban quản lý tòa nhà (không ảnh hưởng đến tỷ lệ thương phẩm văn phòng). -Thời gian triển khai: 2023: Pháp lý đất và các pháp lý liên quan. 2023-2024: Xây dựng c"
