curated_id,project_name,issue,source_excerpt
BDS-CURATED-0048,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,likely_sentence_name,"[] Báo cáo Dự án 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,4ha (giá chào bán 600 tỷ tương đương 13,4 tr/m2) tại 2 mặt tiền đường Quốc lộ 51 và đường Hùng Vương thuộc Phường Tân Phước, Thị xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đường nhựa rộng khoảng 25m. - Cách Trung tâm Hành chính Thị xã Phú Mỹ khoảng 1km, cách các tiện ích ngoại khu trong vòng bán kính 2,5km gồm siêu thị Co.opmart, KNG Mall, phòng khám đa khoa, 2 trường Trung học Cơ sở, 2 trường Tiểu học, 6 trường Mần non. - Cách khu công nghiệp: + KCN Phú Mỹ I khoảng 1,5km + KCN Phú Mỹ II khoảng 1,2km + KCN Phú Mỹ III khoảng 3,7km. - Cách Cảng Quốc tế Cái Mép - Thị Vãi khoảng 3km; Định hướng theo Nghị quyết 24 của Bộ Chính trị về phát triển kinh tế - xã hội và bảo đảm quốc phòng, an ninh vùng Đông Nam Bộ đến năm 2030, tầm nhìn 2045 đã mở ra triển vọng mới cho cụm cảng Cái Mép - Thị Vải (CM-TV) trở thành cảng trung chuyển quốc tế lớn. - Cách sân bay Quốc tế Long Thành khoảng 20km. - Cách"
BDS-CURATED-0034,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,likely_sentence_name,"[2022-08-09] Quy Vo-PTDT 8/9/2022 2:33 PM 2. Dự án Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu 2.1 Về Pháp lý Dự án: - Dự án đã có chủ trương đầu tư, GCN quyền sử dụng đất (Đất SXKD, thời hạn đến năm 2061, thuê đất đóng tiền 1 lần), chưa có Giấy phép xây dựng. 2.2 Về vị trí và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), dự án khu bến cảng Cái Mép khoảng 1.5km, tiếp giáp với đường 991B(đường quy hoạch) kết nối đến đường Liên Cảng Cái Mép, dự án kết nối với Cao tốc Bến Lức Long Thành thông qua cầu Phước An (dự kiến cao tốc sẽ được hoàn thành vào 2025); từ dự án kết nối thuận lợi với Quốc Lộ 51, Cao tốc Biên Hòa – Vũng Tàu thông qua đường 991B. - Tiềm năng hạ tầng: Hạ tầng giao thông (cao tốc, sân bay, đường kết nối) sẽ hoàn thành trong giai đoạn 2025 – 2026; các KCN mới ở Bà Rịa – Vũng Tàu, Đồng Nai; ngành logistic hấp dẫn nhiều nhà đầu tư, vận tải đường thủy được Nhà nước chú trọng phát triển sẽ đưa Cụm cảng Cái Mép – Thị Vải sẽ thành cửa ngõ giao thương quốc tế. 2.3 Ch"
BDS-CURATED-0285,bị Phốt nhiều à Vậy bỏ qua cái Đức Long nha by Unknown User,likely_sentence_name,[2025-04-03] Unknown User 4/3/2025 2:35 PM 300 tỷ 📄 QĐ 2805 UBNDTP - QUY HOẠCH 1-2000 1.7.2019 (4).pdf 📄 Bản vẽ hiện trạng Gia Long.pdf 📄 SO DO Gia Long.pdf Dự án bị Phốt nhiều à Vậy bỏ qua cái Đức Long nha by Unknown User
BDS-CURATED-0041,chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,likely_sentence_name,"[2022-08-09] Quy Vo-PTDT 8/9/2022 4:15 PM KĐT gửi Mr.Tuấn Tuan Tran-CEO Báo cáo Dự án chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,368.3m2 (giá chào bán khoảng 300 tỷ tương đương 31.3 tr/m2 trên diện tích đất chào bán 9,582.6m2) thuộc phường An Thạnh, thành phố Thuận An, tỉnh Bình Dương: 1. Vị trí dự án: Dự án nằm trên đường Hồ Văn Mên (Quy hoạch làm tuyến đường vành đai 3) có bán kính cách thành phố mới Bình Dương 10 km, Khu công nghiệp VSIP 1 4km và sân bay Tân Sơn Nhất 15 km. 2. Pháp lý đất: Diện tích đất 9582.6 m2 đã được cấp GCN cho cá nhân: + 320m2 đất ODT: Nhà nước giao đất có thu tiền sử dụng đất. + 9262.6m2 đất CLN: Nhà nước giao đất không thu tiền sử dụng đất, thời hạn đến năm 2024. 3. Pháp lý đầu tư: - Văn bản số 4237/UBND-KT của UBND tỉnh Bình Dương về việc chấp thuận cho công ty TNHH Đầu tư bất động sản Thành Lộc nhận chuyển nhượng QSDĐ nông nghiệp (đất trồng cây lâu năm) với diện tích 9,282.6 m2 tại thửa đất số 226, 99, 224, 89, 98, 212, 5720, 5721 tờ bản đố số 60 (B3) thuộc phường An Thạnh, thành phố Thuận An, tỉnh Bình Dương để thực hiện dự án chung cư Thành Lộc. - Hiện tại công ty đang làm thủ tục đề nghị chấp thuận chủ trương"
BDS-CURATED-0063,chung cư trên quy đất này có thể theo 2 hướng,likely_sentence_name,"[] Phòng pháp lý tư vấn để triển khai phát triển dự án chung cư trên quy đất này có thể theo 2 hướng: + Hướng 1 (muốn triển khai sớm): Vì QH 1/2000 đã quy định rõ quỹ đất này thuộc 1 phần ô đất I.04 có chức năng Khu nhà cao tầng có quy mô 46000m2, dân số 2448 người, 18-23 tầng cao, MĐXD 20%, HSSD 3.85-4.93 => BeeG cần phải mua thêm các thửa đất liền kề để sở hữu đủ phần đất thuộc ô I.04 thì mới có thể làm dự án hoặc tham gia đấu thầu dự án vì BeeG sở hữu lớn phần đất thuộc ô I.04 nên có khả năng trúng thầu cao hơn + Hướng 2 (triển khai trên quỹ đất hiện trạng, không cần mua thêm các thửa liền kề): Mua tích trữ quỹ đất chờ đến khi luật sửa đổi khi không cần phải có đất ở nhưng vẫn thực hiện được dự án vì phù hợp quy hoạch ở. 3. Sản phẩm phát triển thay đổi: + 1494 căn chung cư, DTKD 97086m2 có giá bán trung bình 60tr/m2 sàn thông thủy có VAT tại năm 2024 + 1 sàn TMDV, DTKD 3800m2, giá thuê khoán $8/m2/tháng có VAT từ năm 2026 + 37 căn shophouse, DTKD 4433m2, có giá bán trung bình 66tr/m2 sàn thông thủy có VAT tại năm 2024 + 1 mảnh đất TMDV 414 m2, giá bán đất 57tr/m2 đất tại năm 2024 4. Tổng mức đầu tư là 4476 tỷ đồng, tổng doanh thu là 6250 tỷ đồng => Lợi nhuận trước thuế là 950 tỷ"
BDS-CURATED-0202,của mình nằm sát Khu CBD mới của Đà Nẵng và lợi thế nằm ngay đường Phạm Văn Đồng (có 4 mặt tiền,likely_sentence_name,"[2022-08-10] Quy Vo-PTDT 8/10/2022 10:47 AM Vị trí dự án của mình nằm sát Khu CBD mới của Đà Nẵng và lợi thế nằm ngay đường Phạm Văn Đồng (có 4 mặt tiền, mặc dù bị khuyết 1 ô), cách bãi tắm biển Phạm Văn Đồng 500 mét (1 trong bãi biển đẹp nhất của Đà Nẵng). Đối với shophouse thì giá bán đang đề xuất ... by Unknown User"
BDS-CURATED-0078,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,likely_sentence_name,"[2023-06-16] Sinh Nguyen-Dau Tu 6/16/2023 8:48 PM K.ĐT báo cáo anh Tuan Tran-CEO dự án KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã Thái Hòa và xã Bắc Bình, huyện Lập Thạch, tỉnh Vĩnh Phúc như sau: 1/ Vị trí Cách đường Quốc lộ 2C khoảng 80m. Nằm ở giáp ranh giữa Vĩnh Phúc và Tuyên Quang, là khu công nghiệp có vị trí xa nhất khi hướng về Hà Nội và Hải Phòng Cách trung tâm Thành phố Vĩnh Yên khoảng 22km Cách đường Vành Đai 5 (đường Vành Đai – Vùng Thủ Đô) khoảng 16,5km; Cách nút giao cao tốc Hà Nội – Lào Cai khoảng 16km. Cách sân bay quốc tế Nội Bài khoảng 52km Cách Trung Tâm Thủ đô Hà Nội khoảng 78km Cách Hải Phòng khoảng 175km 2/ Hiện trạng: Còn nhiều nhà dân sinh sống trong ranh đất quy hoạch dự án: 1 cụm lớn tập trung ở giữa và khá nhiều hộ nằm rải rác da beo trên đất quy hoạch dự án Có 1 khu mộ trên đất quy hoạch dự án Dự án không tiếp giáp trực tiếp đường Quốc Lộ 2C, chỉ tiếp cận đường nội bộ khu dân cư 3/ Pháp lý đất, pháp lý đầu tư Chưa có 4/ Quy hoạch Quyết định về việc Phê duyệt đồ án QHCT tỷ lệ 1/2000 Khu công nghiệp Thái Hòa, Bắc Bình tại huyện Lập Thạch, tỉnh Vĩnh Phúc số 3424/QĐ-UBND ngày 26/11/2013 Căn cứ phê duyệt quy hoạch sử dụng đất"
BDS-CURATED-0065,khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690,likely_sentence_name,"[] Báo cáo Dự án khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690.000 m2 (giá chào bán khoảng 1,725 tỷ tương đương 2.5 tr/m2) tại mặt tiền đường ĐH 505 và ĐH 507 thuộc Xã Vĩnh Hòa, Huyện Phú Giáo, Tỉnh Bình Dương: Vị trí dự án: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 643m, giáp đường ĐH 505, đường nhựa rộng khoảng 10m (QH đường dự kiến 32m); + Mặt tiền tiếp giáp đường khoảng 95m, giáp đường ĐH 507 đường nhựa rộng khoảng 10m (QH đường dự kiến 32m). - Dự án tiếp giáp đường quy hoạch: + Bên phải QHTT GTVT tỉnh Bình Dương đường ĐT750B lộ giới 52m kết nối với đường DT741, cách đường DT 741 khoảng 3.5km. - Cách khu công nghiệp An Linh khoảng 12km, cách KCN cao su Đồng Phú khoảng 8km, cách KCN Vĩnh Lộc 2 khoảng 15km, cách KCN Vĩnh Lộc 18km, cách KCN Tạm Lập khoảng 6.5km. Các KDC này đều có quy hoach khu dân cư. - Dự án cách trung tâm hành chính huyên Phú Giáo khoảng 3.4km (theo đường chim bay), cách trục đường chính DT (nối tỉnh Bình Dương và Bình Phước) khoảng 4.5km. Pháp lý đất: - Đất sạch, đã có QĐ giao đất, đã có thông báo đóng tiền SD đất (CĐT chưa cung cấp). Pháp lý đầu tư: - QĐ về việc chấp thuận chủ trươ"
BDS-CURATED-0090,khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung,likely_sentence_name,"[] P.ĐT báo cáo sếp Admin 01 dự án khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung: - Vị trí: P.Trấn Biên, Đồng Nai - Diện tích toàn khu: 131.690,94 m2 - Mục đích dự án theo QH sử dụng đất và QH xây dựng: KDC nhà ở kết hợp TMDV, cơ sở giáo dục – văn hóa – y tế. B) Định giá đất theo hiệu quả dự án: - Giả định kinh doanh: Thời gian bán hàng từ Q2/2027 – Q1/2030 Căn hộ: 55 – 60 tr/m2 Shop TMDV: 75 – 80 tr/m2 Nhà phố liên kế: 95 – 100tr/m2 Shophouse liên kế: 115 - 120 tr/m2 Biệt thự: 85 – 100 tr/m2 - Giá định cp đầu tư xây dựng Chung cư 19 tầng : 12.8 – 13.3 (gồm VAT, all-in) Nhà phố: 7.5tr/m2 (hoàn thiện mặt ngoài – thô bên trong) Biệt thự: 9.5 tr/m2 (hoàn thiện mặt ngoài – thô bên trong) - Giả định cp bán hàng: ~18% doanh thu => Để dự án đạt mức IRR: 20%, giá đấu cho khu đất là 2.010 tỷ (đơn giá đất ở: ~ 35 tr/m2) Bảng độ nhạy hiệu quả dự án theo giá đấu: Lưu ý và đề xuất: - Dự án có vị trí tốt, thị trường Biên Hòa có nhiều tiềm năng phát triển, hạ tầng đồng bộ phát triển - Hiệu quả theo mức đấu giá dự kiến là 2.010 tỷ để đạt mức IRR 20% Tuy nhiên có 1 số điểm lưu ý như sau: - Trong QH 1/500 được duyệt, diện tích 1 lô tương đối nhỏ (số lô có d"
BDS-CURATED-0209,là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án với 2 biến số,likely_sentence_name,"[] P.ĐT báo cáo anh Mr Mike1 -CEO về cập nhật độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư giữa đơn giá đóng tiền sử dụng đất và hệ số sử dụng đất toàn khu của dự án 1,6ha Phan Văn Hớn như sau: - Chi phí chuyển nhượng của dự án là 300 tỷ - Độ nhạy Lợi nhuận trước thuế / Tổng mức đầu tư của dự án với 2 biến số: Biến số 1: Đơn giá đóng tiền sử dụng đất trên tổng diện tích đất phù hợp quy hoạch Biến số 2: Hệ số sử dụng đất toàn khu (tầng cao và dân số phải tăng thêm tương ứng với hệ số sử dụng Đất) Xuất pdf dùm a. Hình này load ko đc by Unknown User"
