master_id,project_name,match_score,links,source_file,reason
BDS-MASTER-0068,tại 353 Nơ Trang Long,25,https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing,batch_283.txt,links_not_resolved_yet
BDS-MASTER-0080,~38ha,49,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0084,Chung cư Minh Ngọc tại đường CMT8,37,https://goo.gl/maps/cUNDNuwk9M5KBSbJA**,batch_917.txt,links_not_resolved_yet
BDS-MASTER-0088,Võ Văn Kiệt) cố định ~ 190 tr/m2,12,https://www.google.com/maps?q=10.8403809,batch_062.txt,links_not_resolved_yet
BDS-MASTER-0096,168ha gần Khu Đa,21,https://goo.gl/maps/35GfKER,batch_928.txt,links_not_resolved_yet
BDS-MASTER-0113,chung cư Hải Sơn có diện tích đất 8,57,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,batch_100.txt,links_not_resolved_yet
BDS-MASTER-0139,Văn phòng – An Phú,16,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0164,Thanh Đa,12,https://www.google.com/maps/d/edit?mid=1Yy94Bk_zJc1qdBIr51K9nl1FJ6GMm1g&usp=sharing,batch_338.txt,links_not_resolved_yet
BDS-MASTER-0169,có tiềm năng để phát triển Dự án Khu đô thị,16,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0173,hiệu quả với tỷ lệ LNTT/TMĐT từ > 12% là từ 90 triệu đồng/m2,20,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,batch_212.txt,links_not_resolved_yet
BDS-MASTER-0179,tọa lạc,45,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,batch_375.txt,links_not_resolved_yet
BDS-MASTER-0180,được chuyển tiếp từ kế hoạch 2025 và có bổ sung thêm những khu đất tiềm năng khác,85,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,batch_232.txt,links_not_resolved_yet
BDS-MASTER-0202,này nằm trong KCN Thái Hòa-Liễn Sơn-Liên Hòa Khu vực II Vị trí KCN,33,https://goo.gl/maps/ZVuC7...; https://goo.gl/maps/ZVuC7,batch_820.txt,links_not_resolved_yet
BDS-MASTER-0205,đang vận hành có hệ số nén 0,12,https://www.google.com/maps/d/edit?mid=11z_Bkaxe4GIV5AYsicAES_ivCxDZbmM&usp=sharing,batch_250.txt,links_not_resolved_yet
