project_id,cost_category,cost_item,basis,quantity,unit,unit_cost,amount,cost_per_land_m2,cost_per_saleable_m2,notes,source
BDS-0001,land,Giá mua/chuyển nhượng đất,total,1,lot,,,,,,
BDS-0001,compensation,Chi phí bồi thường,total,1,lot,,,,,,
BDS-0001,land_use_fee,Tiền sử dụng đất,total,1,lot,,,,,,
BDS-0001,legal,Pháp lý/thủ tục,total,1,lot,,,,,,
BDS-0001,planning_design,Quy hoạch/thiết kế,total,1,lot,,,,,,
BDS-0001,construction,Xây dựng,per_gfa_m2,,m2,,,,,,
BDS-0001,infrastructure,Hạ tầng,total,1,lot,,,,,,
BDS-0001,finance,Lãi vay/chi phí vốn,total,1,lot,,,,,,
BDS-0001,sales_marketing,Bán hàng/marketing,pct_revenue,,%,,,,,,
BDS-0001,management,Quản lý dự án,pct_construction,,%,,,,,,
BDS-0001,contingency,Dự phòng,pct_construction,,%,,,,,,
BDS-0001,tax_fee,Thuế/phí,total,1,lot,,,,,,
