master_id,project_name,query,priority,latest_report_date,sample_excerpt
BDS-MASTER-0096,168ha gần Khu Đa,"của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối, 168ha gần Khu Đa, TPHCM",10,2022-07-19,"[2022-07-19] Trieu Nguyen-PTDT 7/19/2022 5:50 PM Em gửi anh Tuan Tran-CEO báo cáo nhanh quỹ đất 168ha tại xã Phong Phú, H. Bình Chánh, TPHCM với giá chào 2.5tr/m2, vì chưa được cung cấp hồ sơ pháp lý nên KĐT đánh gia nhanh về thị trường và vị trí của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối với đường Quốc lộ 50 thông qua 2 "
BDS-MASTER-0100,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,"dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đ, 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4, Long Thành, Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m",10,2022-08-26,"[] Báo cáo Dự án 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,4ha (giá chào bán 600 tỷ tương đương 13,4 tr/m2) tại 2 mặt tiền đường Quốc lộ 51 và đường Hùng Vương thuộc Phường Tân Phước, Thị xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đường nhựa rộng khoảng 25m"
BDS-MASTER-0151,50ha thuộc huyện Vĩnh Tường – Yên Lạc,"và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin, 50ha thuộc huyện Vĩnh Tường – Yên Lạc, Vĩnh Phúc",10,2024-12-16,"[2024-12-16] Huy M - IM 12/16/2024 5:48 PM Translate KĐT gửi anh @Tuan @Tran-CEO báo cáo dự án 50ha thuộc huyện Vĩnh Tường – Yên Lạc, tỉnh Vĩnh Phúc: 1) Vị trí và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin cụ thể) tỉnh Vĩnh Phúc. • Hiện trạng: Đang xin chủ trương tỉnh uỷ về việc đấu thầu thực hiện dự án. Đơn giá bồi thường ư"
BDS-MASTER-0101,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,"và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - D, 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ, Long Thành, Đồng Nai",10,2022-08-11,"[2022-08-11] Trieu Nguyen-PTDT 8/11/2022 12:10 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ: Vị trí và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - Dự án nằm tiếp giáp đường 715, là tuyến đường kết nối đến đường Võ Nguyên Giáp - tuyến đường chính chạy về thành phố Phan"
BDS-MASTER-0103,8029 m2 tại Mỹ Phước - Tân Vạn,"và hiện trạng: - Hiện trạng dự án là bãi đất trống tọa lạc tại Đường Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với bề rộng khoảng 60 mét. 2) Pháp lý đất: - GCN QSDĐ với Số vào sổ CT80867, MĐSD đất cơ sở s, 8029 m2 tại Mỹ Phước - Tân Vạn, Thuận Giao, Bình Dương",10,2022-07-28,"[2022-07-28] Thao L - INVT 7/28/2022 5:04 PM B/ Dự án 8029 m2 tại Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với giá chào 200 tỷ ( 24.9 tr/m2) 1) Vị trí và hiện trạng: - Hiện trạng dự án là bãi đất trống tọa lạc tại Đường Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với bề rộng khoảng 60 mét. 2) Pháp lý đất: - GCN QSDĐ với Số vào sổ CT80867, MĐSD đất cơ sở sản xuất kinh doanh phi nông nghiệp, Thời hạn sử dụng đến 09/01/2049, Nguồn gốc nhận chuyển nhượng đất được Nhà n"
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,"và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), dự án khu bến cảng C, Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Long Thành, Bà Rịa Vũng Tàu 2",10,2022-08-09,"[2022-08-09] Quy Vo-PTDT 8/9/2022 2:33 PM 2. Dự án Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu 2.1 Về Pháp lý Dự án: - Dự án đã có chủ trương đầu tư, GCN quyền sử dụng đất (Đất SXKD, thời hạn đến năm 2061, thuê đất đóng tiền 1 lần), chưa có Giấy phép xây dựng. 2.2 Về vị trí và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất c"
BDS-MASTER-0152,Bất động sản khảo sát,"Xã Phú Thạnh, Huyện Nhơn Trạch, Tỉnh Đồng Nai Đường Long Thuận, P. Trường Thạnh, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Số 86 đường Cầu Đình, Phường Long Phước,, Bất động sản khảo sát, Q.9, Đồng Nai",10,2023-06-19,"[2023-06-19] Sinh Nguyen-Dau Tu 6/19/2023 11:02 AM K.ĐT báo cáo anh Tuan Tran-CEO về so sánh giá Diamond Island Q.9, các dự án ở P.Long Phước và Swan Park như sau: 1/ Kết nối hạ tầng giao thông 2/ Tổng hợp thông tin dự án Bất động sản khảo sát: Tên dự án Swan Park Diamond Island, Quận 9 Việt Nhân Blue Diamond Riverside Việt Nhân Long Phước 123 (Việt Nhân 1234) Saigon Garden Riverside Village Chủ đầu tư Tập đoàn CFLD – Trung Quốc & Tín Nghĩa Group Cá nhân, đơn vị PTDA Vạn Phát Đạt Công ty BĐS Việ"
BDS-MASTER-0184,Cao tầng 31 Trần Não,"và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,537m2, diện tích đất phù hợp quy hoạch là 4,926.4m2. - Giá chuyển nhượng: 275 tỷ ~ 55.8tr/m2 cho 4,926.4m2, cam kết thực hiện pháp lý đến giấy phép xây dựng và, Cao tầng 31 Trần Não, Bình Dương",10,2024-12-11,"[2024-12-11] Thao L - INVT 12/11/2024 5:31 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Chung cư Phượng Hoàng, Dĩ An, Bình Dương (Nguồn: Mr. Khôi) như sau: 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,537m2, diện tích đất phù hợp quy hoạch là 4,926.4m2. - Giá chuyển nhượng: 275 tỷ ~ 55.8tr/m2 cho 4,926.4m2, cam kết thực hiện pháp lý đến giấy phép xây dựng và gồm tiền chuyển đổi mục đích sử dụng đất. - Vị trí dự án t"
BDS-MASTER-0084,Chung cư Minh Ngọc tại đường CMT8,"và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4k, Chung cư Minh Ngọc tại đường CMT8, TPHCM",10,2022-09-19,"[2022-09-19] Trieu Nguyen-PTDT 9/19/2022 11:15 AM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Chung cư Minh Ngọc tại đường CMT8, P11, Q3, TPHCM có quy mô 7234m2 và giá chào 1200 tỷ đồng (tương đương 165.86tr/m2 đất) bao gồm tiền sử dụng đất và QH 1.500, cụ thể: Vị trí và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4km, thuận tiện đ"
BDS-MASTER-0055,Chưa đặt tên,"vẫn đẹp hơn Begin quote, Admin 01, 5/11/2026 2:34 PM, T... by Thao L - INVT, Chưa đặt tên, Nhơn Trạch, Phú Quốc",10,2026-06-29,[2026-06-29] Admin 01 6/29/2026 2:38 PM Ủa mà cái này sau hướng xử lý sao nhỉ. bắt đấu giá lại hay sao ta Nếu đúng theo luật thì đất công là sẽ thu hồi đấu gía. Do bên KO họ đi theo hướng ngừoi thứ 3 ngây tình nên mặc mặc dù VKS đề nghị thu hồi nhưng HĐXX năm 2022 vẫn chưa thu hồi và vẫn tạm giao cho Cty Tân Phú nắm giữ Khu này là đối diện sygamo đúng ko by Admin 01 --- [2026-06-11] Admin 01 6/11/2026 3:09 PM Cái 120 tỷ đó có cách nào check chính xác đc ko Cái này chắc nhờ A Minh rà trên các cơ 
