a_id,a_name,b_id,b_name,score,reasons,a_date,b_date,a_coords,b_coords,a_map,b_map
BDS-MASTER-0020,khách sạn Felicia Đà Nẵng,BDS-MASTER-0310,khách sạn Felicia Đà Nẵng,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,2024-10-15,2024-10-15,"16.053387, 108.247727","16.053387, 108.247727",https://maps.app.goo.gl/xQZeRwkJHuyDhx496,https://maps.app.goo.gl/xQZeRwkJHuyDhx496
BDS-MASTER-0030,Felecia,BDS-MASTER-0419,Felecia,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,2025-06-28,2025-06-28,"16.0530123, 108.246819","16.0530123, 108.246819",https://maps.app.goo.gl/u5QRXoNjSCh5uxRx5,https://maps.app.goo.gl/u5QRXoNjSCh5uxRx5
BDS-MASTER-0129,Hải Nhân 4,BDS-MASTER-0245,Hải Nhân,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0129,Hải Nhân 4,BDS-MASTER-0423,HAI NHAN,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0188,Parklane,BDS-MASTER-0493,Parklane P,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0245,Hải Nhân,BDS-MASTER-0423,HAI NHAN,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0284,Cát Lái từ P,BDS-MASTER-0418,Cát Lái,210,name_sim=1.00; same_map_link; same_coord_0m; same_source_similar_name,,,"10.8486272, 106.7188746","10.8486272, 106.7188746",https://maps.app.goo.gl/oHEYY6H9GGykdD9C6,https://maps.app.goo.gl/oHEYY6H9GGykdD9C6
BDS-MASTER-0005,Khu gia đình quân nhân quân chủng PK-KQ (8,BDS-MASTER-0217,Khu gia đình quân nhân quân chủng PK-KQ (8,185,name_sim=1.00; same_map_link; same_coord_0m,,,"10.958864, 106.824125","10.958864, 106.824125",https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9,https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9
BDS-MASTER-0009,Hội An Riverside Resort & Spa,BDS-MASTER-0213,Hội An Riverside Resort & Spa,185,name_sim=1.00; same_map_link; same_coord_0m,2024-12-25,2024-11-15,"15.8884285, 108.3559502","15.8884285, 108.3559502",https://maps.app.goo.gl/zNrudtbb4kMk2xxv5,https://maps.app.goo.gl/zNrudtbb4kMk2xxv5
BDS-MASTER-0022,Cao tầng 31 Trần Não,BDS-MASTER-0184,Cao tầng 31 Trần Não,185,name_sim=1.00; same_map_link; same_coord_0m,2024-12-11,2024-12-11,"10.9466553, 106.7451751","10.9466553, 106.7451751",https://maps.app.goo.gl/uKe9j2z7xKHjdR8A7,https://maps.app.goo.gl/uKe9j2z7xKHjdR8A7
BDS-MASTER-0026,Hoàng Cát Center có quy mô 7,BDS-MASTER-0342,Hoàng Cát Center có quy mô 7,185,name_sim=1.00; same_map_link; same_coord_0m,2024-10-14,2024-10-14,"11.2642452, 106.6299351","11.2642452, 106.6299351",https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9,https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9
BDS-MASTER-0032,cao tầng với tổng diện tích đất dự án là 10,BDS-MASTER-0194,cao tầng với tổng diện tích đất dự án là 10,185,name_sim=1.00; same_map_link; same_coord_0m,2024-09-25,2024-09-25,"10.2276353, 103.9586651","10.2276353, 103.9586651",https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9,https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9
BDS-MASTER-0033,chung cư Hòa Xuân,BDS-MASTER-0358,chung cư Hòa Xuân,185,name_sim=1.00; same_map_link; same_coord_0m,2024-09-27,2024-09-27,"16.0086551, 108.2168251","16.0086551, 108.2168251",https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C,https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C
BDS-MASTER-0036,thấp tầng Phú An Hội giáp mặt tiền Tôn Đức Thắng (25B),BDS-MASTER-0325,thấp tầng Phú An Hội giáp mặt tiền Tôn Đức Thắng (25B),185,name_sim=1.00; same_map_link; same_coord_0m,2024-11-09,2024-11-09,"10.7267333, 106.8916171","10.7267333, 106.8916171",https://maps.app.goo.gl/B98HY6ThSbAhg1a98,https://maps.app.goo.gl/B98HY6ThSbAhg1a98
BDS-MASTER-0039,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,BDS-MASTER-0247,Khu Công Nghiệp Và Khu Phi Thuế Quan Xuân Cầu tại Khu Cảng Cửa Ngõ Quốc Tế Lạch Huyện,185,name_sim=1.00; same_map_link; same_coord_0m,2024-01-09,2024-01-09,"20.8226239, 106.8725158","20.8226239, 106.8725158",https://maps.app.goo.gl/uLPtqwAnwnevw4zz7,https://maps.app.goo.gl/uLPtqwAnwnevw4zz7
BDS-MASTER-0134,Khu đô thị mới Bắc Quán Hành tại thị trấn Quán Hành,BDS-MASTER-0347,Khu đô thị Bắc Quán Hành tại thị trấn Quán Hành,185,name_sim=0.88; same_map_link; same_coord_0m,2023-07-03,2023-06-21,"18.790696, 105.6402651","18.790696, 105.6402651",https://goo.gl/maps/FmDxfXdHa9mdoGK99,https://goo.gl/maps/FmDxfXdHa9mdoGK99
BDS-MASTER-0119,Đông Trung,BDS-MASTER-0483,Đông Trung tại Thuận An,165,same_map_link; same_coord_0m; same_source_similar_name,2022-11-02,2022-09-07,"20.185875, 106.3661313","20.185875, 106.3661313",https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19,https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19
BDS-MASTER-0258,dự kiến hợp tác vs,BDS-MASTER-0306,dự kiến hợp tác vs park hyatt,165,same_map_link; same_coord_0m; same_source_similar_name,2022-08-10,2022-08-10,"11.0196953, 108.2482713","11.0196953, 108.2482713",https://goo.gl/maps/9VManjp1YiqeSC1A8,https://goo.gl/maps/9VManjp1YiqeSC1A8
BDS-MASTER-0144,không đạt hiệu quả tài chính,BDS-MASTER-0174,không đạt hiệu quả tài,150,name_sim=0.80; same_map_link; same_source_similar_name,2023-04-11,2022-12-14,"10.7859743, 106.6805759","21.250395, 105.5350413",https://goo.gl/maps/AivqKgNA3GRARDNZ7; https://goo.gl/maps/eqfdgJBc7XT7VhAW8,https://goo.gl/maps/eqfdgJBc7XT7VhAW8
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0055,Chưa đặt tên,140,same_map_link; same_coord_0m,,2026-06-29,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPX
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0121,(FS),140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0129,Hải Nhân 4,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0140,cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,140,same_map_link; same_coord_0m,,2026-07-02,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0146,không đạt được hiệu quả với NPV,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0160,KDC An Tôn theo 02 phương án quy hoạch,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,BDS-MASTER-0188,Parklane,140,same_map_link; same_coord_0m,,,"10.970034, 106.715651","10.970034, 106.715651",https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://maps.app.goo.gl/t178LDzcrFtjxgEz9
