coordinate,record_count,name_groups,names,ids
"10.97003,106.71565",23,21,(FS) | Chưa đặt tên | HAI NHAN | Hải Nhân | Hải Nhân 4 | KDC An Tôn theo 02 phương án quy hoạch | KS 25 Trần Phú sẽ đi theo PA 5 tầng nổi + 1 tầng hầm | Parklane | Parklane P | Richland Quận 9 | Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6 | Trần Đức 1 2.8ha Thuận Giao | Với phương án của mình trước là làm phân kh | cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3 | chưa bàn giao nên chưa dc vào ở à | có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm) | do mình có điều chỉnh qh 1/500 | không đạt được hiệu quả với NPV | thì họ sẽ làm như thế nào Huy M - IM Rồi anh tính phương án thử by Admin 01 | triển khai chưa mng Team đã trao đổi với A Sơn Trợ lý để lên list các dự án này à | trên có diện tích | trên có diện tích hơn 77ha | đã được đưa vào danh sách thí điểm 171 Số thự tự 41,BDS-MASTER-0002; BDS-MASTER-0055; BDS-MASTER-0121; BDS-MASTER-0129; BDS-MASTER-0140; BDS-MASTER-0146; BDS-MASTER-0160; BDS-MASTER-0188; BDS-MASTER-0220; BDS-MASTER-0232; BDS-MASTER-0245; BDS-MASTER-0252; BDS-MASTER-0257; BDS-MASTER-0288; BDS-MASTER-0297; BDS-MASTER-0327; BDS-MASTER-0360; BDS-MASTER-0363; BDS-MASTER-0396; BDS-MASTER-0423; BDS-MASTER-0493; BDS-MASTER-0502; BDS-MASTER-0503
"21.2504,105.53504",10,10,50ha thuộc huyện Vĩnh Tường – Yên Lạc | 50ha ở Vĩnh Yên | Giá bán đề xuất | HLW - Merryaland 1 | Hải Âu tại Bãi Trường | KDC | có tỷ lệ LNTT/TMDT đạt hiệu quả nhưng không đạt hiệu quả về chỉ tiêu IRR | không đạt hiệu quả tài | kết nối vào quỹ đất | Đà Nẵng,BDS-MASTER-0127; BDS-MASTER-0151; BDS-MASTER-0155; BDS-MASTER-0170; BDS-MASTER-0174; BDS-MASTER-0175; BDS-MASTER-0246; BDS-MASTER-0278; BDS-MASTER-0341; BDS-MASTER-0399
"10.84068,106.71972",9,9,Cù lao Tân Vạn theo đơn giá bán (đất + nhà) trung bình dựa vào các loại hình do Mr | Gladia heights dự kiến triển khai trong 2026 này | NOXH sẽ giúp tạo thương hiệu tích cực cho công ty trên thị trường | Urban Green | khu mặt tiền đường Ngô Chí Quốc (gom đất gần Phú Quang)- Cập nhật Quy hoạch Phân khu | nào mà đóng tssđ hàng năm nó cứ tăng hàng năm nữa | thì khả năng cao dự án không phải nộp thêm ạ | thông qua đấu thầu nên khả năng cao chỉ thực hiện được chuyển nhượng thông qua hình thức mua cổ phần nên | tuy nhiên,BDS-MASTER-0042; BDS-MASTER-0093; BDS-MASTER-0154; BDS-MASTER-0249; BDS-MASTER-0269; BDS-MASTER-0378; BDS-MASTER-0394; BDS-MASTER-0420; BDS-MASTER-0471
"10.84863,106.71887",9,9,AK (2025)~ 4 | Cát Lái | Cát Lái từ P | Lô mặt tiền Quốc Lộ 13 Hiệp Bình Phước | này | này Ok by Admin 01 | sẽ hơi nhiều gốc cạnh sau khi ráp 2 miếng vào | thuộc QH hiện hữu là ô phố I82b (16 | thì cách tiếp cận sẽ khác so với các PA ban đầu,BDS-MASTER-0047; BDS-MASTER-0048; BDS-MASTER-0050; BDS-MASTER-0124; BDS-MASTER-0203; BDS-MASTER-0284; BDS-MASTER-0418; BDS-MASTER-0469; BDS-MASTER-0501
"10.66298,106.86251",8,8,53ha đấu thầu tại đường Thăng Long | Aqua thì hiện nay Nova đang dừng triển khai ở dự án này | Hoa viên Vĩnh Thanh sau khi có Thông số từ P | Hoa viên Vĩnh Thanh tại đường nhánh của đường DT19 | càng tốt ạ Vì luật hiện nay vẫn quy định đơn giá ko dc | lớn xảy ra sai phạm nghiêm trọng trong quản lý đất đai của tỉnh Đồng Nai | đấu thầu 386ha - Nhơn Trạch | đấu thầu tại Nhơn Trạch,BDS-MASTER-0024; BDS-MASTER-0128; BDS-MASTER-0182; BDS-MASTER-0273; BDS-MASTER-0362; BDS-MASTER-0375; BDS-MASTER-0407; BDS-MASTER-0417
"10.65253,107.08315",8,8,Khách sạn | The Bale của Được gửi giá đã giảm mà lại ko lãi hã Begin quote | chợ lớn có khi phải điều chỉnh ranh Begin quote | của Novaland được tháo gỡ liên quan đến Waterbay và Lakeview theo NQ 170 của Quốc Hội Liên quan đến vấn đề giả | hiện tại mình đang vận hành để xem thử mình có chi phí nào khác cần bổ sung không à | không khả thi với bất kỳ giá mua nào Begin quote | không đạt hiệu quả ạ Begin quote | thấp tầng SADACO – Phú Mỹ,BDS-MASTER-0094; BDS-MASTER-0186; BDS-MASTER-0196; BDS-MASTER-0312; BDS-MASTER-0365; BDS-MASTER-0367; BDS-MASTER-0430; BDS-MASTER-0435
"20.94081,105.84306",8,8,(giá bán quỹ đất bao gồm cam kết của đối tác sẽ hỗ trợ phần đất đi vào dự án) với chi phí làm đường là 1tr/m2 | Ngọc Hồi Thanh Trì | Regalia Gold 4 sao tại Nha Trang | Suối Nhum với giá 1180 tỷ theo hình thức chuyển nhượng 100% cổ phần cty với hiện trạng có Quy hoạch mới dự kiế | Vì 2 vấn đề trên | Westgate của AnGia – 38 tr/m2 (vị trí trung tâm Huyện Bình Chánh) + Thấp hơn mức giá trung bình của Akari – Na | khu dân cư cao tầng Ngọc Hồi với tổng diện tích đất thực hiện dự án là 24 | trong thời gian khai thác kinh doanh,BDS-MASTER-0115; BDS-MASTER-0163; BDS-MASTER-0165; BDS-MASTER-0168; BDS-MASTER-0178; BDS-MASTER-0181; BDS-MASTER-0293; BDS-MASTER-0492
"15.88843,108.35595",8,7,12ha đủ lớn để có thể địn hướng triển khai tiện ích cảnh quan | Aqua city của Novaland đã được tháo gỡ vướng mắc về pháp lý | Hội An Riverside Resort & Spa | Hội An Riverside Resort & Spa theo Concept Lamanon và giá kinh doanh của anh David Cường cung cấp | Khu Đô Thị Văn Giang (Red River Villa) tại Hưng Yên | đạt hiệu quả với giá mua dự án ở khoảng 17 triệu đồng/m2 ~ ngưỡng giá mua dự án 520 tỷ đồng | ở vị trí khác nên phương án kinh doanh đưa lên không còn chính xác,BDS-MASTER-0009; BDS-MASTER-0156; BDS-MASTER-0213; BDS-MASTER-0240; BDS-MASTER-0248; BDS-MASTER-0272; BDS-MASTER-0411; BDS-MASTER-0412
"10.94666,106.74518",8,7,Cao tầng 31 Trần Não | Nguyễn Thiện Thuật và Đoàn Trần Nghiệp - Nha Trang | Phượng Hoàng theo Chính sá… Vậy chốt PkD phương án này đi Ok Sếp | cao tầng với | chung cư Việt An | chưa phê duyệt quyết định/ chấp thuận chủ trương đầu tư | phân lô ( ko xây nhà) nào đang rẻ nhất 1 Like reaction,BDS-MASTER-0022; BDS-MASTER-0184; BDS-MASTER-0222; BDS-MASTER-0254; BDS-MASTER-0290; BDS-MASTER-0300; BDS-MASTER-0320; BDS-MASTER-0429
"10.69638,106.61089",7,7,CCN Giao Yến cũng đang ở bước đầu xin dự án | Phú Quang – Phương án bổ sung tiền sử dụng đất (LURF) và chi phí liên quan đến phần đất công trong dự án | chung cư Thuận Nghiệp - DT743C | chợ lớn có khi phải điều chỉnh ranh Dự án Chợ Lớn đang làm quy hoạch anh Tài đã có cập nhật ranh Metro vào rồi | trước năm 2024 đúng thật là thấy giá chung cư của HN thấy thấp hơn SG nếu nhìn vị trí có tính tương đương | đã được chấp thuận đầu tư dự án và đã được gia hạn tiến độ 02 năm kể từ ngày được cấp phép xây dựng - Hiện chủ | được tính bằng cách lấy tổng doanh thu trừ các chi phí vận hành trực tiếp (như chi phí phòng,BDS-MASTER-0037; BDS-MASTER-0056; BDS-MASTER-0190; BDS-MASTER-0282; BDS-MASTER-0328; BDS-MASTER-0361; BDS-MASTER-0405
