curated_id,dirty_name,suggested_parent_names,cleaning_notes,source_excerpt
BDS-CURATED-0020,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,gồm Chung cư cao tầng; Chung cư cao tầng; NOXH chiếm 20% tổng số căn hộ),name_missing_or_sentence,"[2023-08-03] Thao L - INVT 8/3/2023 2:24 PM Edited 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cuối 2028: Bán sàn TTTM. 2029: Bán căn hộ NOXH. d. Tổng mức đầu tư : Tiền sử dụng đất: Tạm tính theo phương pháp hệ số điều chỉnh (K=3,3): 153,7 tỷ ~ 12tr/m2 cho 12,856m2 đất ở tương ứng phần căn hộ thư --- [] Thao L - INVT 3/23 11:46 AM Translate 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn tru"
BDS-CURATED-0019,có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m,1.2ha; có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m; KĐT gửi anh Tuan Tran-CEO báo cáo dự án 1.2ha; KCN VSIP 1 và gần khu dân cư hiện hữu Pháp lý đất,narrative_sentence_name,"[2022-09-06] Trieu Nguyen-PTDT 9/6/2022 12:09 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án 1.2ha tại đường Thuận An Hóa, Thuận An, Bình Dương có giá chào 240 tỷ (18.575 tr.đồng/m2 đất), cụ thể: Vị trí và hiện trạng: Dự án có 2 mặt tiền đường Thuận An Hóa rộng khoảng 60m, và mặt tiền đường An Phú 11 rộng khoảng 175m Nằm cách đường Mỹ Phước – Tân Vạn khoảng 80m, cách Quốc lộ 13 khoảng 3.5km, cách địa phận TPHCM khoảng 10km, cách trung tâm TPHCM khoảng 25km, cách sân bay Tân Sơn Nhất khoảng 25km Xung quanh có nhiều nhà máy, KCN VSIP 1 và gần khu dân cư hiện hữu Pháp lý đất: Đã có GCNQSDĐ cá nhân đứng tên: 12705m2 đất hàng năm khác, thời hạn đến 2018 và 2020 Pháp lý đầu tư: Chưa có Pháp lý quy hoạch: QHSDĐ: Số tờ 80, thửa 35 có diện tích 13145.7m2 bao gồm 711.8m2 đất giao thông và 12433.9m2 đất ODT (Nguồn: http://qhkhsdd.binhduong.gov.vn/auth) QHXD: Số tờ 80, thửa 35 có diện tích 13188.078m2 bao gồm 2300.397m2 đất giao thông và 10837.681m2 đất trung tâm đô thị, có tầng cao < 12, MĐXD 50-80% (Nguồn: http://quyhoachxaydung.binhduong.gov.vn/) QHSDĐ: Đất ODT (nguồn Remaps) Phía chào bán cung cấp thông tin HSSD 9.94 lần, 30 tầng cao, 2 tầng hầm, MĐXD 38.8%, dân số 3276 người, bao gồm 1369 căn hộ chung cư"
BDS-CURATED-0010,có 4 mặt tiền nằm tại trục chính đường Hoàng Quốc Việt,1.7ha; có 4 mặt tiền nằm; của BIM GROUP; có dự án công viên và biển hồ Pháp lý đất; ICON 40,narrative_sentence_name,"[2022-10-31] Trieu Nguyen-PTDT 10/31/2022 2:44 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 1.7ha tại đường Hoàng Quốc Việt, Hạ Long, Quảng Ninh có giá chào 140tr/m2 đất (2400 tỷ), cụ thể: Vị trị và hiện trạng: Dự án có 4 mặt tiền nằm tại trục chính đường Hoàng Quốc Việt, nằm trong quần thể dự án của BIM GROUP, có hướng nhìn ra biển Phía đối diện dự án có dự án công viên và biển hồ Pháp lý đất: GCNQSDĐ có quy mô 17098m2 đất ở kết hợp cửa hàng, thời hạn sử dụng lâu dài, có nguồn gốc nhà nước giao đất có thu tiền sử dụng đất Pháp lý đầu tư: Chưa có Pháp lý quy hoạch: QH Phân khu: Đất hỗn hợp, MĐXD 65%, HSSD 12 lần, 30 tầng cao Pháp lý xây dựng: Chưa có Sản phẩm đề xuất: Công trình chung cư cao cấp 133,555m2 sàn chung cư: giá bán 53tr/m2 sàn thông thủy có VAT tại năm 2025 (tham khảo dự án ICON 40 có giá dự kiến 45-55tr/m2 tim tường có VAT mở bán T11/2022, và dự án Green Bay Premium mở bán Q4/2016 có giá sang tay 36-38tr/m2 hiện tại) 52 căn shophouse khối đế: 63.6tr/m2 sàn thông thủy có VAT tại năm 2025 Tầng tiện tích: tạm tính giá thuê $6/m2/tháng có VAT Tổng mức đầu tư là 6297 tỷ đồng, tổng doanh thu bán hàng là 7573 tỷ đồng, tổng doanh thu cho thuê sàn 50 năm là 1432 tỷ đồng => Lợi nhuận tr"
BDS-CURATED-0033,theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026,NHƯ SAU; Để đạt hiệu quả LNTT/TMĐT = 20% thì; thuận lợi. Phương án; khu đất vị trí 1,chat_or_attachment_subject,"[] Phòng ĐT báo cáo Sếp Admin 01 về sơ bộ dự kiến hiệu quả đầu tư dự án 2.316 ha Phía Nam Nhơn Trạch, như sau: I/TỔNG QUAN MẶT BẰNG: II/CHỈ TIÊU QUY HOẠCH TẠM TÍNH (ANH TÀI): III/HIỆU QUẢ TẠM TÍNH (P&L SƠ BỘ) Dựa trên các giả định: Giá bán: cơ sở đề xuất giá bình quân cho từng loại sản phẩm của phòng R&D đề xuất: Căn hộ 28 tr/m2, đất nền Nhà liên kế 36 tr/m2, đất nền biệt thự 35 tr/m2; Đơn giá chi phí đất (gồm tiền sử dụng đất)(đơn giá đất đường gần nhất khu đất vị trí 1 theo bảng giá đất là 6,5 tr/m2), phòng tính bài toán ngược với LNTT/TMĐT đạt 20% thì đơn giá đất bao gồm tiền sử dụng đất khoảng 3,3 tr/m2 (tính bình quân cho nhiều vị trí phân khu bên trong khu đất); Suất vốn xây dựng cao tầng theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026. Để đơn giản hóa bài tính Lãi/Lỗ, phòng tạm tính bán đất nên không tính chi phí xây dựng nhà liên kế và biệt thự (thực tế theo quy định phải xây dựng). HIỆU QUẢ DỰ ÁN NHƯ SAU: Giả định tiền đất (bao gồm tiền sử dụng đất) có tăng lên theo các mức chạy độ nhạy và thay đổi giá bán thì hiệu quả tương ứng như sau: Trân trọng báo cáo, --- [] P.ĐT thực hiện tính theo phương án bố trí của phòng QH, tuy nhiên theo nghiên cứu và đề xuất của Phòng RD không triển khai làm căn hộ dịch vụ vì tại vị trí dự án, thị trường chưa phổ biến loại hình này. P.ĐT tạm để trống phần diện tích đất DVCC cấp đô thị và không thực hiện tính toán phần đất này trong FS. Hiệu quả dự án như sau: Doanh thu chưa VAT: 5.899 tỷ đồng (Đơn giá bình quân căn hộ tim tường chưa VAT 57 triệu/m2, Shophouse chưa VAT 56 triệu/m2; thời điểm bán 2028). Tổng mức đầu tư chưa VAT"
BDS-CURATED-0040,bán Q4/2026,bán Q4/2026; bán Q1/2026; chung cư đề xuất năm 2024,narrative_sentence_name,"[2024-11-26] Sinh Nguyen-Dau Tu 11/26/2024 4:13 PM Edited Translate K.ĐT gửi lại anh Mr Mike1 -CEO về báo cáo cập nhật hiệu quả tài chính dự án 2,3ha Bình Điền, tọa lạc mặt tiền đường Nguyễn Văn Linh, xã An Phú Tây, huyện Bình Chánh, TP.HCM. 1/ Về vị trí: Cách Chợ Đầu Mối Bình Điền khoảng 400m, cách ranh Quận 8 và huyện Bình Chánh khoảng 150m, cách UBND huyện Bình Chánh khoảng 3,2km, cách nút giao Vành Đai 2 - Nguyễn Văn Linh khoảng 2,2km Về quy hoạch dự kiến: Cách bến xe miền Tây mới khoảng 1,5km; Nằm giữa trung tâm lưu thông hàng hóa I (khu E -115ha) và trung tâm lưu thông hàng hóa II (khu D - 85ha) thuộc khu đô thị Phú Mỹ Hưng; Cách các nhà ga thuộc tuyến Metro line 7 trong bán kính 500m 2/ Về chi phí Đất: Giá mua 170 tỷ (cập nhật giá mua mới từ anh Tâm – Phó Chủ Tịch) Đóng tiền sử dụng đất khoảng 300 tỷ (Tính toán lại tiền sử dụng đất theo văn bản hướng dẫn mới) 3/ Về thị trường (giá bán đã bao gồm VAT) Giá bán đất biệt thự đề xuất năm 2024: 80tr/m². Dự án bán Q4/2026, giá bán 88tr/m² đất, thời gian bán trong vòng 3 quý Giá bán chung cư đề xuất năm 2024: 42tr/m². Dự án bán Q1/2026, giá bán 46tr/m² sàn, thời gian bán trong vòng 6 quý 4/ Về hiệu quả tài chính: 5/ Về điều kiện tiên quyết nhận --- [2024-10-03] Sinh Nguyen-Dau Tu 10/3/2024 10:55 AM Translate K.ĐT báo cáo anh Mr Mike1 -CEO về cập nhật hiệu quả tài chính dự án 2,3ha Bình Điền, tọa lạc mặt tiền đường Nguyễn Văn Linh, xã An Phú Tây, huyện Bình Chánh, TP.HCM. 1/ Về vị trí: Cách Chợ Đầu Mối Bình Điền khoảng 400m, cách ranh Quận 8 và huyện Bình Chánh khoảng 150m, cách UBND huyện Bình Chánh khoảng 3,2km, cách nút gi"
BDS-CURATED-0030,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,2.6ha; có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội; nằm cách điểm lên ga Metro khoảng 500m; chung cư và đã hoàn tất nghĩa vụ tài chính. Trong đó; KĐT gửi anh Tuan Tran-CEO báo cáo dự án 2.6ha,narrative_sentence_name,"[2022-09-06] Trieu Nguyen-PTDT 9/6/2022 10:34 AM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 2.6ha tại mặt tiền đường Song Hành XLHN, Thủ Đức có giá chào 1250 tỷ (48tr.đồng/m2 đất), cụ thể: Vị trí và hiện trạng: Dự án có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội, và 1 mặt tiền đường Linh Trung rộng khoảng 200m tại P.Linh Trung, Thủ Đức, TPHCM Dự án nằm cách điểm lên ga Metro khoảng 500m, cách cầu Sài Gòn khoảng 10km, cách đường Nguyễn Huệ, Q1 khoảng 15km Hiện trạng có 1 căn biệt thự nằm trong khuôn viên dự án, nằm gần các trụ điện cao thế Pháp lý đất: Chưa được cấp GCNQSDĐ nhưng đã có quyết định giao đất, có cho phép chuyển mục đích sử dụng đất sang dự án chung cư và đã hoàn tất nghĩa vụ tài chính. Trong đó: + Đất ở: 9227m2 giao đất có thu tiền sử dụng đất, thời hạn lâu dài + Đất văn phòng, tmdv: 5047m2, giao đất có thu tiền sử dụng đất, thời hạn 50 năm + Đất công cộng: 11767m2, bàn giao lại cho nhà nước Pháp lý đầu tư: Đã có QĐ6159/QĐ-UB tháng 12/2004 về việc cho phép công ty Phú Đức chuyển hình thức, mục đích sử dụng đất để đầu tư xây dựng khu nhà ở thương mại Pháp lý quy hoạch: Đã có chủ trương của Thành phố chấp thuận điều chinh điều chỉnh QH chi tiết 1.500 năm 2"
BDS-CURATED-0112,Vương Bảo Long (kèm đánh giá pháp lý) *Hiện trạng,Vương Bảo Long (kèm đánh; Khu đất; khu đất - bề rộng giáp đường rộng khoảng 245m. - Giáp phía sau khu đất là Nghĩ; khu đất đang là kho bãi container. - Pháp lý dự án; Khu đất đa phần QH là đất ở,report_or_scenario_subject,"[2022-09-23] Thao L - INVT 9/23/2022 5:58 PM Em gửi anh Tuan Tran-CEO báo cáo sơ bộ dự án Vương Bảo Long (kèm đánh giá pháp lý) *Hiện trạng: - Vị trí: Đường Bà Giang, An Bình, Dĩ An, Bình Dương. - Khu đất có 02 lối tiếp cận chính: + Đường Bà Giang - lối tiếp cận chính - bề rộng giáp đường rộng khoảng 16m. + Đường vào nghĩa trang - cập phía bên hông khu đất - bề rộng giáp đường rộng khoảng 245m. - Giáp phía sau khu đất là Nghĩa trang Hải Nam, và có mộ dân ở phía trước của khu đất, phía bên hông là kho bãi container. - Hiện khu đất đang là kho bãi container. - Pháp lý dự án: +Pháp lý đất: GCN quyền sử dụng đất cho 86.834,2m2, trong đó: . 3.420,2m2 là đất cở sở sản xuất phi nông nghiệp - trả tiền hằng năm đến 2057 (phần QH đường sắt), . 83.336,4m2 là đất cở sở sản xuất phi nông nghiệp - trả tiền một lần đến 2057 (phần QH đất ở), . 77.6m2 là đất ở lâu dài (QH là đất ở). + Pháp lý đầu tư: Chấp thuận chủ trương đầu tư và chấp thuận nhà đầu tư tháng 7/2022. + Pháp lý quy hoạch: Đang trong quá trình hoàn thành 1/500. + Pháp lý xây dựng: Chưa có. * Quy hoạch: - Khu đất đa phần QH là đất ở với các thông số như sau: + Tầng cao: max 30 tầng . + MĐXD: max 60%. + HSSDĐ: max 8 lần. - QH có tuyến đường sắt cắt"
BDS-CURATED-0029,Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,Văn phòng; khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9; khu đất 197 Lê Văn Sỹ; Khu đất Nằm trên đường Lê Văn Sỹ và hẻm 195 Lê Văn Sỹ,report_or_scenario_subject,"[2023-07-03] Thao L - INVT 7/3/2023 10:43 AM Edited K.ĐT báo cáo anh Tuan Tran-CEO dự án Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,5 lần như sau: CẬP NHẬT HỆ SỐ SỬ DỤNG ĐẤT MỚI 9,5 LẦN 1/ SƠ BỘ THÔNG TIN DỰ ÁN: - Dự án Văn phòng tại khu đất 197 Lê Văn Sỹ, phường 13, quận 3. Khu đất Nằm trên đường Lê Văn Sỹ và hẻm 195 Lê Văn Sỹ, cách cầu Lê Văn Sỹ khoảng 50m có tổng diện tích 985,7m2 với giá chào bán là 340 tỷ. - Link vị trí: https://goo.gl/maps/BgnUiLh44bo3Nyq37 - Đề xuất pháp lý: Mục tiêu: Xây dựng, vận hành Văn phòng mà vẫn giữ được mục đích Đất ở lâu dài. Cách thức để giữ lại mục đích Đất ở lâu dài: - Đại diện một cá nhân đứng tên giấy chứng nhận QSDĐ khu đất. Công ty ký hợp đồng thuê đất với Cá nhân (Hợp đồng thuê thời hạn là 20 năm, sau đó gia hạn dần trong 52 năm – 2 năm xây dựng và 50 năm vận hành) để xây dựng tòa nhà văn phòng. - Trong đó, về mặt pháp lý tiến hành xây dựng một căn hộ ở cho chủ đất sử dụng và không kinh doanh/bán căn hộ này. - Tuy nhiên, về mặt vận hành sẽ bố trí căn hộ này trong khu vực ban quản lý tòa nhà (không ảnh hưởng đến tỷ lệ thương phẩm văn phòng). -Thời gian triển khai: 2023: Pháp lý đất và các pháp lý liên quan. 2023-2024: Xây dựng c"
BDS-CURATED-0141,tiếp giáp mặt tiền đường Phan Văn Hớn,tiếp giáp mặt tiền đường Phan Văn Hớn,narrative_sentence_name,"[] P.ĐT báo cáo nhanh anh Mr Mike1 -CEO về định giá dự án 1,6ha Phan Văn Hớn, phường Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh (nguồn anh Tâm – Phó Chủ tịch) như sau: 1/ Vị trí: - Dự án tiếp giáp mặt tiền đường Phan Văn Hớn, cách giao lộ đường Phan Văn Hớn và Trường Chinh khoảng 1km + Cách Sân bay Tân Sơn Nhất khoảng 3,5km + Cách ga Deport Tham Lương khoảng 1km 2/ Hiện trạng: Có nhà xưởng trên đất – Đất sạch 3/ Cơ sở pháp lý: Dự án đã có quyết định chủ trương đầu tư và cũng có thể có quy hoạch 1/500. Nhưng không được cung cấp 3.1/ Pháp lý đất: Đã có GCN quyền sử dụng đất; Chiều dài mặt tiền: 41m, chiều sâu: 227m Cơ cấu sử dụng đất: Tổng diện tích 16.471,8 Đất ở 197 Đất HNK 16.274,8 3.2/ Pháp lý quy hoạch: Theo thông tin quy hoạch Thành phố Hồ Chí Minh Đồ án ""Đồ án điều chỉnh quy hoạch chi tiết xây dựng đô thị tỷ lệ 1/2000 Khu dân cư Phường Tân Thới Nhất (Khu 2), Quận 12"" đã được UBND Quận 12 phê duyệt tại Quyết định số 628/QĐ- UBND-ĐT ngày 23/12/2008 - Mật độ xây dựng: 40% - Hệ số sử dụng đất: 4.0 - Tầng cao: 2 – 15 tầng - Dân số: 572 dân 4/ Phương pháp định giá 4.1/ Phương pháp Thị trường: Giá trị định giá: 350 tỷ (21tr/m²) 4.2/ Phương pháp dòng tiền chiết khấu (DCF) Do hồ sơ phá"
BDS-CURATED-0114,có tiềm năng để phát triển Dự án Khu đô thị,có tiềm năng để phát triển Dự án Khu đô thị. 2. Về Pháp lý; Để ước tính Tổng mức Đầu tư xây dựng Phương án kinh doanh Ước tính tiền; có sử dụng đất,narrative_sentence_name,"[] P.ĐT tổng hợp báo cáo các nội dung như sau để triển khai đánh giá tiếp theo về Dự án: 1. Về Vị trí: Khu vực dự án có tiềm năng để phát triển Dự án Khu đô thị. 2. Về Pháp lý: Cần bổ sung thêm các thông tin sau: + Pháp lý đất: Bổ sung cơ cấu đất, hiện trạng sử dụng đất… để ước tính phương án bồi thường + Pháp lý quy hoạch: Lên phương án Quy hoạch Phân khu 1/2000 của Dự án Để ước tính Tổng mức Đầu tư xây dựng Phương án kinh doanh Ước tính tiền sử dụng đất Các nội dung này cần các phòng ban chuyên môn (Pháp lý, Quy hoạch..) làm việc với cơ quan nhà nước/Đối tác để lấy các thông tin và lên phương án đề xuất 3. Về doanh nghiệp: Cần có doanh nghiệp hoặc liên doanh có năng lực để tham gia đấu thầu dự án có quy mô hơn 400 ha, TMĐT hơn 80.000 tỷ 4. Về Đấu thầu: Phòng Pháp lý nghiên cứu quy trình đấu thầu dự án có sử dụng đất theo Luật Đấu thầu 2023, Luật Đất Đai 2024. NĐ 115/2024… các quy định pháp luật hiện hành."
