curated_id,project_name,status,has_map,issues,mention_count,first_report_date,latest_report_date,source_excerpt
BDS-CURATED-0011,12ha KDC Vĩnh Phú gần Phú Quang,recover_project,yes,,3,2026-05-08,2026-05-08,"[2026-05-08] Khoa L - INVT 5/8/2026 11:57 AM 📷 Dạ P.ĐT báo cáo sếp Admin 01 dự án 12ha KDC Vĩnh Phú gần Phú Quang. I. Thông tin tổng quan: 📷 Dựa vào sự phù hợp quy hoạch và hình dáng thuận lợi để triển khai dự án, P.ĐT đề xuất gom mua diện… Vào phòng a trình bày cái này --- [] Dạ P.ĐT báo cáo sếp Admin 01 dự án 12ha KDC Vĩnh Phú gần Phú Quang. I. Thông tin tổng quan: Dựa vào sự phù hợp quy hoạch và hình dáng thuận lợi để triển khai dự án, P.ĐT đề xuất gom mua diện tích đất nằm trong ranh đỏ như trong hình với diện tích ~ 12.5 ha Quỹ đất gom mua sẽ thuộc phân khu 3 thành phố Thủ Đức, Đất đơn vị ở 1, quy hoạch nhóm nhà ở, nằm trọn các ô đất OD 3, OD5, OD8, OD9, OD4, OD10 và 1 phần OD4, OD11. Thông số quy hoạch như sau: - Tầng cao: 15-30 - Hệ số: 6-8 - Dân số: 6,151 II. Phương án quy hoạch vừa cao tầng và thấp tầng: Phương án quy hoạch định hướng theo cách bố trí hỗn cao tầng và thấp tầng trong từng ô nhằm sử dụng tối ưu dân số và tầng cao. - 4 khu cao tầng (3 khu cao 30 tầng và 1 khu cao 15 tầng): 2.464 căn hộ, 46 căn shophouse - 164 căn nhà phố liên kế, - 51 căn biệt thự III. PA triển khai đầu tư: a) Giả định kinh doanh: + Giá bán căn hộ: 50 - 79 tr/m2 (gồm V, tim tường) + Giá bán shop TM: 60 -100 tr/m2 (gồm V, tim tường) + Nhà trẻ: Cho thuê giá 4$/m2/tháng. + Giá bán nhà phố: 70tr/m2 (gồm nhà và đất) (trong đó giá đất: 43tr/m2) + Giá bán biệt thự: 66 – 77 tr/m2 (gồm nhà và đất)"
BDS-CURATED-0001,31 Trần Não,recover_project,yes,,7,2024-12-11,2025-02-11,"[2025-02-11 | BDS-MASTER-0004] [2025-02-11] Thao L - INVT 2/11/2025 1:56 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Cao tầng 31 Trần Não như sau: 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,243.6m2. - Chi phí đất ban đầu: 894 tỷ ~ 170tr/m2 – full ở - Vị trí dự án tiếp giáp đường Trần Não. - Hiện trạng: Dự án có nguồn gốc đất là Full ở lâu dài (theo thông tin được cung cấp), vì thế phần đất tương ứng sản phẩm Thương mại (TTTM, Khách sạn, Văn phòng) có khả năng được thời hạn lâu dài (tương tự dự án 197 Lê Văn Sỹ, Quận 3). Tuy nhiên, để P.PLDA có đánh giá chính xác và chi tiết hơn cần cung cấp đầy đủ hồ sơ dự án. 2. Hồ sơ Pháp lý: P.ĐT nhận thông tin Tính hiệu quả sơ bộ dự án từ Mr. Hùng theo Thuyết minh dự án được cung cấp. Không có bất kì hồ sơ pháp lý nào, vì thế chưa thể đánh giá pháp lý dự án. Theo Thuyết minh dự án đề xuất thay đổi như sau: 3. Tính khả thi: a. Loại hình phát triển: Dự án cao tầng hỗn hợp gồm: 04 tầng TTTTM, 06 tầng Khách sạn 4 - 5 sao, 05 tầng Văn phòng hạng B và 15 tầng Căn hộ ở cao cấp. b. Quy mô: 3 hầm + 30 tầng. c. Thời gian triển khai: - Pháp lý dự án: bắt đầu 2025 - Xây dựng: cuối 2025 – giữa 2027 - Bán hàng: đầu 2026 – giữa 2026 - Tiến độ --- [2024-12-11 | BDS-MASTER-0022] [2024-12-11] Thao L - INVT 12/11/2024 5:31 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Chung cư Phượng Hoàng, Dĩ An, Bình D"
BDS-CURATED-0068,Đông Trung,recover_project,no,,6,2022-09-07,2025-08-12,"[2022-11-02] Trieu Nguyen-PTDT 11/2/2022 6:28 PM KĐT gửi anh Tuan Tran-CEO báo cáo đánh giá dự án Đông Trung, Bình Dương, cụ thể: Pháp lý đất: Quy mô đất 4.6ha đã đền bù cho dân Pháp lý đầu tư: - Đã có chủ trương đầu tư là nhà phố thấp tầng cho tổng quy mô 12ha - UBND có văn bản trả lời chấp thuận điều chỉnh chủ trương từ toàn bộ đất ở thấp tầng -> đất ở cao tầng và nhà phố thấp tầng, và điều chỉnh giảm quy mô dự án từ 12ha xuống còn 4.6ha Pháp lý quy hoạch: - Đã có QH 1.500 cho tổng quy mô 12ha (dân số 2970 người) phát triển dự án thấp tầng. Tuy nhiên, sau khi rà soát phát hiện 5.4ha có nguồn gốc đất công nên chủ đầu tư cũ đã trình bản quy hoạch QH 1/500 điều chỉnh thành dự án có quy mô 4.6ha bao gồm sản phẩm đất ở thấp tầng và đất ở hỗn hợp cao tầng Pháp lý xây dựng: Chưa có Sản phẩm đề xuất phát triển: nhắm đến đối tượng khách hàng trung bình thấp có nhu cầu ở thực, phân khúc dự án thấp hơn Phú Quang. - 111 căn nhà phố liền kề: 80m2 đất/căn, có giá bán 65tr/m2 đất tại thời điểm cuối năm 2025 (tham khảo giá bán hiện tại các dự án Lavela 45tr/m2, KDC Việt Sing 40-60tr/m2, Eco Xuân 50-55tr/m2, An Phát 78tr/m2) - 5 tòa Khối tháp chung cư trung cấp có 1622 căn, DTKD là 88422m2 sàn, giá bán trung --- [] P.ĐT báo cáo CEO Mr Mike1 -CEO về hiệu quả dự án Đông Trung theo phương án phát triển NOTM Trong bài tính NOTM, Phòng Đầu tư tính cho 2 trường hợp: 3.950 dân và 3.021 dân (tương tự"
BDS-CURATED-0009,Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13,recover_project,yes,,2,2022-08-10,2022-08-10,"[2022-08-10] Unknown User 8/10/2022 4:02 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13, Thuận An, Bình Dương có giá chào 530 tỷ (bao gồm tiền sử dụng đất và GPXD, tương đương 60tr/m2 đất): 1) Vị trí và hiện trạng: - Nằm cách Quốc lộ 13 khoảng 50m, cách dự án Phú Quang khoảng 2.5km đường … Này ai gửi nhỉ Image by Unknown User --- [2022-08-10] Trieu Nguyen-PTDT 8/10/2022 4:02 PM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13, Thuận An, Bình Dương có giá chào 530 tỷ (bao gồm tiền sử dụng đất và GPXD, tương đương 60tr/m2 đất): 1) Vị trí và hiện trạng: - Nằm cách Quốc lộ 13 khoảng 50m, cách dự án Phú Quang khoảng 2.5km đường bộ, cách địa phận TPHCM khoảng 1.6km, thuận tiện đi về trung tâm TPHCM và Sân bay Tân Sơn Nhất - Hiện trạng đã ép cọc, văn phòng bán hàng 2) Pháp lý đất: 2 GCNQSDĐ bao gồm 8236.6m2 đất ODT và 265.6m2 đất CLN 3) Pháp lý đầu tư: Chưa được cung cấp 4) Pháp lý quy hoạch: - Quy hoạch 1/500 dự án căn hộ Stown Gateway: HSSD 8.94 lần, MĐXD 38.55%, 2 tầng hầm và 26 tầng nổi - QHXD: 1) 3769m2 đất TMDV và du lịch, HSSD 0.75 lần, 3 tầng cao, MĐXD 25%; 2) 4410m2 đất công trình công cộng, HSSD 4.5 lần, 15 tầng cao, MĐXD 30% - QHSDĐ: 8097m2 đất ở đô thị => Cần kiểm tra lại QH 1.2000 mới nhất 5) Pháp lý xây dựng: chưa có 6) Sản phẩm phát triển: Chung cư cao cấp - 780 căn hộ chung cư, giá b"
BDS-CURATED-0007,Holiday Beach,recover_project,yes,,5,2025-04-16,2025-04-16,"[2025-04-16 | BDS-MASTER-0106] [] P.ĐT xin báo cáo Sếp Admin 01 FS dự án Holiday Beach theo phương án kết hợp Khách sạn và Condotel, như sau: I. TỔNG QUAN DỰ ÁN VÀ CƠ CẤU SẢN PHẨM: Quy mô xây dựng: 2 tầng hầm, 30 tầng nổi, tổng diện tích GFA gồm hầm 75.913 m2. Tỷ lệ diện tích thương phẩm 43.702 m2 ~ 58%/GFA gồm hầm, ~ 66%/GFA chưa hầm. II. TỔNG MỨC ĐẦU TƯ DỰ KIẾN Tổng mức đầu tư (bao gồm VAT) được dự kiến xây dựng hoàn thiện tiêu chuẩn 5 sao. III. PHÂN BỔ GIÁ VỐN VÀ TÍNH GIÁ HÒA VỐN: Cơ cấu giá vốn/m2 thương phẩm Giá vốn phân bổ cho từng loại sản phẩm: Do tổng diện tích kinh doanh gồm nhiều loại hình (bán, cho thuê, shop, condotel), với giả định các sản phẩm có khả năng tạo ra dòng tiền cao hơn sẽ gánh tỷ trọng giá vốn lớn hơn nên áp dụng phương pháp Phân bổ giá vốn của từng loại sản phẩm theo doanh thu ước tính để có tỷ lệ phù hợp, từ đó làm cơ sở để tính toán giá hòa vốn cho từng loại hình sản phẩm. Giá hòa vốn khách sạn 5.3 tr/đêm (~ 106 tr/m2), giá có lợi nhuận 12% ~ 6 tr/đêm (~143,4 tr/m2). Giá hòa vốn Condotel: 128 tr/m2 (chưa gồm chi phí bán hàng), 153,6 tr/m2 (gồm CP bán hàng 20%), giá bán có lợi nhuận 176 tr/m2 (lợi nhuận mục tiêu 15%, gồm VAT), 161 tr/m2 chưa VAT, 50 năm, giá bán thời điểm 2028. Giá hò --- [ | BDS-MASTER-0025] [] P.ĐT báo cáo anh Mr Mike1 -CEO về dự án Holiday Beach theo phương án Hotel & Condotel, Mặt tiền đường Võ Nguyên Giáp, P. Mỹ An, Q. Ngũ Hành "
BDS-CURATED-0020,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,needs_name_or_parent_review,yes,bad_name_length; chat_sentence_name,2,2023-08-03,2023-08-03,"[2023-08-03] Thao L - INVT 8/3/2023 2:24 PM Edited 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự án gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số căn hộ); Trường mầm non và Y tế. b. Loại hình kinh doanh: 02 tầng khối đế cho thuê sàn trung tâm thương mại: 5.162m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 57%). 26 tầng tháp bán căn hộ: 75.540m2 sàn thương phẩm (tỷ lệ thương phẩm trung bình 73%): .Căn hộ NOXH: 15,110m2 sàn ~ 291 căn, diện tích trung bình 52m2/căn. .Căn hộ thương mại: 60,430m2 sàn 1.040 căn, diện tích trung bình 58m2/căn. Số căn hộ: 1.331 căn. Dân số sử dụng: 3.022 người, dân số theo quy hoạch: 500 người => Dân số cần xin thêm: 2.522 người. c. Thời gian triển khai: Đến cuối 2025: Đền bù giải phóng mặt bằng, Chuyển mục đích SDĐ và hoàn thành pháp lý dự án. 2026 - cuối 2028: Xây dựng và bán hàng theo tiến độ căn hộ thương phẩm. Cuối 2028: Bán sàn TTTM. 2029: Bán căn hộ NOXH. d. Tổng mức đầu tư : Tiền sử dụng đất: Tạm tính theo phương pháp hệ số điều chỉnh (K=3,3): 153,7 tỷ ~ 12tr/m2 cho 12,856m2 đất ở tương ứng phần căn hộ thư --- [] Thao L - INVT 3/23 11:46 AM Translate 2. PHƯƠNG ÁN PHÁT TRIỂN ĐỀ XUẤT: 2.1. Phương án Cao tầng: Sử dụng hiệu quả nhất các chỉ tiêu quy hoạch và xin thêm 2.522 dân. a. Quy mô: Dự á"
BDS-CURATED-0022,tại 353 Nơ Trang Long,needs_name_or_parent_review,yes,chat_sentence_name; needs_parent_name_extraction,1,2025-10-07,2025-10-07,"[2025-10-07] Hanh T - INVT 10/7/2025 5:32 PM Edited Translate Kính gửi Sếp Mr Mike1 -CEO, P.ĐT xin báo cáo hiệu quả đầu tư dự án tại 353 Nơ Trang Long, Bình Thạnh, TPHCM như sau: * Ranh đất, vị trí và thông tin Quy hoạch: https://www.google.com/maps/d/edit?mid=1Fl7DvT-DOnJvyHZ0Oq5v-nUadBLGHFo&usp=sharing + Diện tích đất: 3.399 m2, diện tích phù hợp QH (Sau khi trừ lộ giới) 3.195 m2; + Chỉ tiêu QH theo 1/2000 được duyệt (QĐ 5674/QĐ-UBND 2017): Hệ số 6 lần, dân số 606, tầng cao 18, MĐXD 70%. + Phòng ĐT tính FS theo 02 phương án từ phòng QH: Phương án 1: Phù hợp (dưới <=) chỉ tiêu cho phép theo 1/2000 Phương án 2: Cao hơn (>=) chỉ tiêu cho phép 1/2000, cơ sở tham khảo từ dự án gần đó là Ascent Plaza. A - Hiệu quả dự án theo phương án 1: Chỉ tiêu QH: Tầng cao 18 tầng, 1 tầng hầm, hệ số 6 lần, dân số 465, dt sàn xây dựng 25.289 m2, diện tích sàn kinh doanh 13.633 m2. Tổng doanh thu căn hộ chưa VAT là: 1.018,6 tỷ đồng (Đơn giá căn hộ tại thời điểm mở bán QIV/2026 là 68 Triệu/m2 (chưa VAT); Giá shophouse ~1,3 lần giá căn hộ : 88 Triệu/m2) Tổng mức đầu tư chưa bao gồm VAT, bao gồm lãi vay là: 896 tỷ đồng (Đơn giá All in bao gồm VAT là 18 triệu/m2; Chi phí mua đất 220 tỷ đồng; Tiền sử dụng đất đóng thêm"
BDS-CURATED-0014,KDC Long Phước có quy mô 18ha tại Phường Long Phước,recover_project,yes,,1,2023-12-27,2023-12-27,"[2023-12-27] Trieu Nguyen-PTDT 12/27/2023 3:56 PM KĐT gửi anh Tuan Tran-CEO báo cáo cập nhật dự án KDC Long Phước có quy mô 18ha tại Phường Long Phước, Q9, TPHCM của chủ đầu tư Song Đạt, có giá chào bán 2200 tỷ: A/ Vị trí và hiện trang: + Dự án tiếp giáp với đường Long Phước, phường Long Phước, Q9, TPHCM, và có các mặt tiếp xúc kênh rạch cách cầu Long Đại khoảng 5km và cầu Trường Phước khoảng 4km, cách KCN cao khoảng 14,3kn, cách trung tâm Q1 khoảng 23,6km + Dự án đã được san lắp và làm hạ tầng giao thông khoảng 80% + Dự án nằm gần các dự án đầu mối hạ tầng giao thông quan trọng: B/ Pháp lý dự án: 1/ Pháp lý đất: + Đã hoàn thành tiền sử dụng đất và có GCNQSDĐ cho 180.123m2, mục đích sử dụng là đất ở đô thị, thời hạn lâu dài đối với phần thương phẩm đất ở và có thời hạn đến 07/08/2056 đối với phần đất công cộng kinh doanh 2/ Pháp lý quy hoạch: + QH 1/2000 năm 2013: + Đã Phê duyệt Q/H chi tiết 1/500 số 507/QĐ-UB ngày 30/12/2009, phù hợp QH 1/2000 theo quyết định số 5258/QĐ-UBND duyệt ngày 25/09/2013 + Thông số chỉ tiêu quy hoạch: Quy mô dân số: 1.752 người (trong đó 672 người cho nhóm nhà ở chung cư) Hệ số sử dụng đất: 0,85 lần Tầng cao xây dựng: từ 1 - 8 tầng (Chưa bao gồm tầng hầm, tầng lửng và"
BDS-CURATED-0016,Trần Hưng Đạo,needs_name_or_parent_review,yes,needs_parent_name_extraction,1,,,"[] P.ĐT báo cáo Sếp Mr Mike1 -CEO về dự án Trần Hưng Đạo, cầu Trần Thị Lý, TP Đà Nẵng (Lô Anh Sơn Trợ lý gửi) như sau: A. TỔNG QUAN VỀ DỰ ÁN: Dự án đường Trần Hưng Đạo chào về với giá 518 tỷ đồng cho diện tích 2.117 m2 (đã có sổ đất ở xây dựng chung cư, thời hạn sử dụng cho Chủ đầu tư đến 2062 ~ còn 37 năm ~ đơn giá 245 tr.đồng/m2, cao 2,4 lần so với đơn giá đất Nhà nước (101 tr.đồng/m2). Vị trí maps: https://maps.app.goo.gl/acrdQ54V3NVNNkKh9 Dự án cơ bản đã hoàn tất các thủ tục pháp lý đầu tư như: Đã được chấp thuận chủ trương đầu tư (Tháng 7/2024); Đã được phê duyệt 1/500 (tháng 4/2025), chỉ tiêu quy hoạch phù hợp với đồ án 1/2000 hiện hữu; Riêng Sổ đất đã được cấp năm 2017 với mục đích sử dụng là đất ở xây dựng chung cư, nhưng chưa rõ là xây dựng chung cư với chỉ tiêu quy hoạch tương ứng như thế nào, do đó trong bài toán FS, để thận trọng, P.ĐT tạm tính DA sẽ đóng tiền đất bổ sung với giá trị tính theo PP Thặng dư. 1. Thông số quy hoạch (theo QĐ 1/500 tháng 4/2025) Dân số: 550 dân Tầng cao: 28 tầng nổi + 1 tum, 03 tầng hầm Hệ số sử dụng đất: 12,8 lần Sản phẩm: Gồm 277căn hộ ở ~ diện tích sàn ở là 17.600 m2 và 15 căn hộ du lịch, diện tích 877 m2. 2. Hiệu quả dự án: - Tổng doanh thu"
BDS-CURATED-0018,chung cư tại Tân Bình,recover_project,yes,,1,2022-11-16,2022-11-16,"[2022-11-16] Trieu Nguyen-PTDT 11/16/2022 3:35 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án chung cư tại Tân Bình, Dĩ An, Bình Dương có quy mô 9379m2, có giá chào 380 tỷ nhưng do chủ cần bán gấp nên vẫn có thể thương lượng ở mức 320 tỷ trong đó 237.55 tỷ (25.3 tr.đồng/m2)là tiền chuyển nhượng đất và tiền sử dụng đất + 82.45 tỷ là tiền đền bù và hoàn thành đường kết nối N5 có lộ giới 17m chiều dài 150m, cụ thể: Vị trí và hiện trạng: - Dự án có 2 mặt tiền hẻm: 1 hẻm bê tông kế nối đường Thanh Niên và 1 hẻm bê tông kết nối đường Nguyễn Thị Minh Khai, Phường Tân Bình, TP Dĩ An, Bình Dương - Cách Đường Mỹ Phước Tân Vạn 640m - Cách Đường DT 743B khoảng 3km (theo tuyến đường Mỹ Phước Tân Vạn) thuận tiện di chuyển đến các huyện thành phố lân cận thuộc Bình Dương, Bình Phước và về TPHCM - Cách QL 1K khoảng 4.8km thuận tiện di chuyển đến TP Biên Hòa và TP Hồ Chí Minh Pháp lý đất: Chưa được cung cấp GCNQSDĐ, phía chào bán cho biết có khoảng 2000m2 đất ODT trong tổng quy mô 9739m2 đất sạch Pháp lý đầu tư: Đã có chấp thuận chủ trương đầu tư ngày 29/09/2022 thời hạn đến Q2/2026, cho quy mô 9352.6m2, dân số 2797 người, chung cư cao 40 tầng và 2 tầng hầm, 1463 căn hộ Pháp lý quy hoạch: - QH 1/2000: khu đấ"
