master_id,project_name,query,priority,latest_report_date,sample_excerpt,google_maps_search_url
BDS-MASTER-0096,168ha gần Khu Đa,"của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối, 168ha gần Khu Đa, TPHCM",10,2022-07-19,"[2022-07-19] Trieu Nguyen-PTDT 7/19/2022 5:50 PM Em gửi anh Tuan Tran-CEO báo cáo nhanh quỹ đất 168ha tại xã Phong Phú, H. Bình Chánh, TPHCM với giá chào 2.5tr/m2, vì chưa được cung cấp hồ sơ pháp lý nên KĐT đánh gia nhanh về thị trường và vị trí của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối với đường Quốc lộ 50 thông qua 2 ",https://www.google.com/maps/search/c%E1%BB%A7a+qu%E1%BB%B9+%C4%91%E1%BA%A5t%2C+c%E1%BB%A5+th%E1%BB%83%3A+V%E1%BB%8B+tr%C3%AD+v%C3%A0+hi%E1%BB%87n+trang%3A+H%E1%BA%BBm+%C4%91%C6%B0%E1%BB%9Dng+Qu%E1%BB%91c+l%E1%BB%99+50%2C+x%C3%A3+Phong+Ph%C3%BA%2C+Huy%E1%BB%87n+B%C3%ACnh+Ch%C3%A1nh%2C+TPHCM%2C+c%C3%A1ch+qu%E1%BB%91c+l%E1%BB%99+50+kho%E1%BA%A3ng+1.4km%2C+c%C3%B3+3.7km+ti%E1%BA%BFp+gi%C3%A1p+v%E1%BB%9Bi+s%C3%B4ng+r%E1%BA%A1ch%2C+c%C3%A1ch+trung+t%C3%A2m+Q1+TPHCM+kho%E1%BA%A3ng+18km+Qu%E1%BB%B9+%C4%91%E1%BA%A5t+k%E1%BA%BFt+n%E1%BB%91i%2C+168ha+g%E1%BA%A7n+Khu+%C4%90a%2C+TPHCM
BDS-MASTER-0100,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,"dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đ, 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4, Long Thành, Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m",10,2022-08-26,"[] Báo cáo Dự án 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,4ha (giá chào bán 600 tỷ tương đương 13,4 tr/m2) tại 2 mặt tiền đường Quốc lộ 51 và đường Hùng Vương thuộc Phường Tân Phước, Thị xã Phú Mỹ, tỉnh Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đường nhựa rộng khoảng 25m",https://www.google.com/maps/search/d%E1%BB%B1+%C3%A1n+c%C3%B3+nhi%E1%BB%81u+ti%E1%BB%81m+n%C4%83ng%3A+-+D%E1%BB%B1+%C3%A1n+ti%E1%BA%BFp+gi%C3%A1p+2+m%E1%BA%B7t+ti%E1%BB%81n+%C4%91%C6%B0%E1%BB%9Dng+hi%E1%BB%87n+h%E1%BB%AFu%3A+%2B+M%E1%BA%B7t+ti%E1%BB%81n+ti%E1%BA%BFp+gi%C3%A1p+kho%E1%BA%A3ng+110m%2C+gi%C3%A1p+%C4%91%C6%B0%E1%BB%9Dng+Qu%E1%BB%91c+l%E1%BB%99+51%2C+%C4%91%C6%B0%E1%BB%9Dng+nh%E1%BB%B1a+r%E1%BB%99ng+kho%E1%BA%A3ng+46m.+%2B+M%E1%BA%B7t+ti%E1%BB%81n+ti%E1%BA%BFp+gi%C3%A1p+%C4%91%C6%B0%E1%BB%9Dng+kho%E1%BA%A3ng+78%2C7m%2C+gi%C3%A1p+%C4%91%C6%B0%E1%BB%9Dng+H%C3%B9ng+V%C6%B0%C6%A1ng+%C4%91%2C+4ha+Th%E1%BB%8B+x%C3%A3+Ph%C3%BA+M%E1%BB%B9+v%E1%BB%9Bi+t%E1%BB%95ng+di%E1%BB%87n+t%C3%ADch+%C4%91%E1%BA%A5t+th%E1%BB%B1c+hi%E1%BB%87n+d%E1%BB%B1+%C3%A1n+l%C3%A0+4%2C+Long+Th%C3%A0nh%2C+B%C3%A0+R%E1%BB%8Ba+%E2%80%93+V%C5%A9ng+T%C3%A0u%3A+V%E1%BB%8B+tr%C3%AD+d%E1%BB%B1+%C3%A1n+c%C3%B3+nhi%E1%BB%81u+ti%E1%BB%81m+n%C4%83ng%3A+-+D%E1%BB%B1+%C3%A1n+ti%E1%BA%BFp+gi%C3%A1p+2+m%E1%BA%B7t+ti%E1%BB%81n+%C4%91%C6%B0%E1%BB%9Dng+hi%E1%BB%87n+h%E1%BB%AFu%3A+%2B+M%E1%BA%B7t+ti%E1%BB%81n+ti%E1%BA%BFp+gi%C3%A1p+kho%E1%BA%A3ng+110m
BDS-MASTER-0151,50ha thuộc huyện Vĩnh Tường – Yên Lạc,"và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin, 50ha thuộc huyện Vĩnh Tường – Yên Lạc, Vĩnh Phúc",10,2024-12-16,"[2024-12-16] Huy M - IM 12/16/2024 5:48 PM Translate KĐT gửi anh @Tuan @Tran-CEO báo cáo dự án 50ha thuộc huyện Vĩnh Tường – Yên Lạc, tỉnh Vĩnh Phúc: 1) Vị trí và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin cụ thể) tỉnh Vĩnh Phúc. • Hiện trạng: Đang xin chủ trương tỉnh uỷ về việc đấu thầu thực hiện dự án. Đơn giá bồi thường ư",https://www.google.com/maps/search/v%C3%A0+hi%E1%BB%87n+tr%E1%BA%A1ng%3A+%E2%80%A2+D%E1%BB%B1+%C3%A1n+n%E1%BA%B1m+tr%C3%AAn+tr%E1%BB%A5c+%C4%91%C6%B0%E1%BB%9Dng+QL2C+%28tr%E1%BB%A5c+%C4%91%C6%B0%E1%BB%9Dng+g%E1%BB%93m+2+l%C3%A0n+oto%2C+2+l%C3%A0n+xe+m%C3%A1y%29%2C+c%C3%A1ch+TP.+V%C4%A9nh+Y%C3%AAn+kho%E1%BA%A3ng+10km+v%C3%A0+n%E1%BA%B1m+%C4%91o%E1%BA%A1n+gi%E1%BB%AFa+%C4%91%C6%B0%E1%BB%9Dng+V%C3%A0nh+%C4%91ai+3+%28%C4%91%E1%BB%8Bnh+%C4%91%C6%B0%E1%BB%9Bng+ho%C3%A0n+th%C3%A0nh+v%C3%A0o+2030%29+v%C3%A0+V%C3%A0nh+%C4%91ai+4+%28ch%C6%B0a+c%C3%B3+th%C3%B4ng+tin%2C+50ha+thu%E1%BB%99c+huy%E1%BB%87n+V%C4%A9nh+T%C6%B0%E1%BB%9Dng+%E2%80%93+Y%C3%AAn+L%E1%BA%A1c%2C+V%C4%A9nh+Ph%C3%BAc
BDS-MASTER-0101,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,"và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - D, 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ, Long Thành, Đồng Nai",10,2022-08-11,"[2022-08-11] Trieu Nguyen-PTDT 8/11/2022 12:10 PM Edited KĐT gửi anh Tuan Tran-CEO báo cáo dự án 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ: Vị trí và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - Dự án nằm tiếp giáp đường 715, là tuyến đường kết nối đến đường Võ Nguyên Giáp - tuyến đường chính chạy về thành phố Phan",https://www.google.com/maps/search/v%C3%A0+h%E1%BA%A1+t%E1%BA%A7ng+giao+th%C3%B4ng+k%E1%BA%BFt+n%E1%BB%91i+-+D%E1%BB%B1+%C3%A1n+n%E1%BA%B1m+s%C3%A1t+c%E1%BA%A3ng+h%C3%A0ng+kh%C3%B4ng+n%E1%BB%99i+%C4%91%E1%BB%8Ba+Phan+Thi%E1%BA%BFt+%C4%91ang+trong+giai+%C4%91o%E1%BA%A1n+ho%C3%A0n+th%C3%A0nh+Ch%E1%BB%A7+tr%C6%B0%C6%A1ng+%C4%91%E1%BA%A7u+t%C6%B0%2C+%C4%91%C3%A3+ho%C3%A0n+th%C3%A0nh+c%C3%B4ng+t%C3%A1c+%C4%91%E1%BB%81n+b%C3%B9+v%C3%A0+gi%E1%BA%A3i+ph%C3%B3ng+m%E1%BA%B7t+b%E1%BA%B1ng%2C+ph%E1%BB%A5c+v%E1%BB%A5+d%C3%A2n+d%E1%BB%A5ng+v%C3%A0+qu%E1%BB%91c+ph%C3%B2ng+-+D%2C+54ha+li%E1%BB%81n+k%E1%BB%81+s%C3%A2n+bay+Phan+Thi%E1%BA%BFt+c%C3%B3+gi%C3%A1+ch%C3%A0o+860-900+t%E1%BB%B7%2C+Long+Th%C3%A0nh%2C+%C4%90%E1%BB%93ng+Nai
BDS-MASTER-0103,8029 m2 tại Mỹ Phước - Tân Vạn,"và hiện trạng: - Hiện trạng dự án là bãi đất trống tọa lạc tại Đường Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với bề rộng khoảng 60 mét. 2) Pháp lý đất: - GCN QSDĐ với Số vào sổ CT80867, MĐSD đất cơ sở s, 8029 m2 tại Mỹ Phước - Tân Vạn, Thuận Giao, Bình Dương",10,2022-07-28,"[2022-07-28] Thao L - INVT 7/28/2022 5:04 PM B/ Dự án 8029 m2 tại Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với giá chào 200 tỷ ( 24.9 tr/m2) 1) Vị trí và hiện trạng: - Hiện trạng dự án là bãi đất trống tọa lạc tại Đường Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với bề rộng khoảng 60 mét. 2) Pháp lý đất: - GCN QSDĐ với Số vào sổ CT80867, MĐSD đất cơ sở sản xuất kinh doanh phi nông nghiệp, Thời hạn sử dụng đến 09/01/2049, Nguồn gốc nhận chuyển nhượng đất được Nhà n",https://www.google.com/maps/search/v%C3%A0+hi%E1%BB%87n+tr%E1%BA%A1ng%3A+-+Hi%E1%BB%87n+tr%E1%BA%A1ng+d%E1%BB%B1+%C3%A1n+l%C3%A0+b%C3%A3i+%C4%91%E1%BA%A5t+tr%E1%BB%91ng+t%E1%BB%8Da+l%E1%BA%A1c+t%E1%BA%A1i+%C4%90%C6%B0%E1%BB%9Dng+M%E1%BB%B9+Ph%C6%B0%E1%BB%9Bc+-+T%C3%A2n+V%E1%BA%A1n%2C+Thu%E1%BA%ADn+Giao%2C+Thu%E1%BA%ADn+An%2C+T%E1%BB%89nh+B%C3%ACnh+D%C6%B0%C6%A1ng+v%E1%BB%9Bi+b%E1%BB%81+r%E1%BB%99ng+kho%E1%BA%A3ng+60+m%C3%A9t.+2%29+Ph%C3%A1p+l%C3%BD+%C4%91%E1%BA%A5t%3A+-+GCN+QSD%C4%90+v%E1%BB%9Bi+S%E1%BB%91+v%C3%A0o+s%E1%BB%95+CT80867%2C+M%C4%90SD+%C4%91%E1%BA%A5t+c%C6%A1+s%E1%BB%9F+s%2C+8029+m2+t%E1%BA%A1i+M%E1%BB%B9+Ph%C6%B0%E1%BB%9Bc+-+T%C3%A2n+V%E1%BA%A1n%2C+Thu%E1%BA%ADn+Giao%2C+B%C3%ACnh+D%C6%B0%C6%A1ng
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,"và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), dự án khu bến cảng C, Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Long Thành, Bà Rịa Vũng Tàu 2",10,2022-08-09,"[2022-08-09] Quy Vo-PTDT 8/9/2022 2:33 PM 2. Dự án Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Phú Mỹ, Bà Rịa Vũng Tàu 2.1 Về Pháp lý Dự án: - Dự án đã có chủ trương đầu tư, GCN quyền sử dụng đất (Đất SXKD, thời hạn đến năm 2061, thuê đất đóng tiền 1 lần), chưa có Giấy phép xây dựng. 2.2 Về vị trí và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất c",https://www.google.com/maps/search/v%C3%A0+k%E1%BA%BFt+n%E1%BB%91i%2C+ti%E1%BB%81m+n%C4%83ng+h%E1%BA%A1+t%E1%BA%A7ng%3A+-+D%E1%BB%B1+%C3%A1n+n%E1%BA%B1m+trong+khu+b%E1%BA%BFn+c%E1%BA%A3ng+C%C3%A1i+M%C3%A9p+%E2%80%93+Th%E1%BB%8B+V%E1%BA%A3i+%28thu%E1%BB%99c+c%E1%BA%A3ng+bi%E1%BB%83n+B%C3%A0+R%E1%BB%8Ba+%E2%80%93+V%C5%A9ng+T%C3%A0u+m%E1%BB%99t+trong+2+c%E1%BA%A3ng+bi%E1%BB%83n+lo%E1%BA%A1i+%C4%91%E1%BA%B7c+bi%E1%BB%87t+l%E1%BB%9Bn+nh%E1%BA%A5t+c%E1%BA%A3+n%C6%B0%E1%BB%9Bc%2C+c%C3%B9ng+v%E1%BB%9Bi+C%E1%BA%A3ng+bi%E1%BB%83n+H%E1%BA%A3i+Ph%C3%B2ng%29%2C+d%E1%BB%B1+%C3%A1n+khu+b%E1%BA%BFn+c%E1%BA%A3ng+C%2C+B%C3%A3i+Container+%26+D%E1%BB%8Bch+v%E1%BB%A5+C%E1%BA%A3ng+%28Di%E1%BB%87n+t%C3%ADch+31+ha%29+v%E1%BB%9Bi+gi%C3%A1+ch%C3%A0o+2+tr%C4%91%2Fm2+t%E1%BA%A1i+Ph%C6%B0%E1%BB%9Bc+H%C3%B2a%2C+Long+Th%C3%A0nh%2C+B%C3%A0+R%E1%BB%8Ba+V%C5%A9ng+T%C3%A0u+2
BDS-MASTER-0152,Bất động sản khảo sát,"Xã Phú Thạnh, Huyện Nhơn Trạch, Tỉnh Đồng Nai Đường Long Thuận, P. Trường Thạnh, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Số 86 đường Cầu Đình, Phường Long Phước,, Bất động sản khảo sát, Q.9, Đồng Nai",10,2023-06-19,"[2023-06-19] Sinh Nguyen-Dau Tu 6/19/2023 11:02 AM K.ĐT báo cáo anh Tuan Tran-CEO về so sánh giá Diamond Island Q.9, các dự án ở P.Long Phước và Swan Park như sau: 1/ Kết nối hạ tầng giao thông 2/ Tổng hợp thông tin dự án Bất động sản khảo sát: Tên dự án Swan Park Diamond Island, Quận 9 Việt Nhân Blue Diamond Riverside Việt Nhân Long Phước 123 (Việt Nhân 1234) Saigon Garden Riverside Village Chủ đầu tư Tập đoàn CFLD – Trung Quốc & Tín Nghĩa Group Cá nhân, đơn vị PTDA Vạn Phát Đạt Công ty BĐS Việ",https://www.google.com/maps/search/X%C3%A3+Ph%C3%BA+Th%E1%BA%A1nh%2C+Huy%E1%BB%87n+Nh%C6%A1n+Tr%E1%BA%A1ch%2C+T%E1%BB%89nh+%C4%90%E1%BB%93ng+Nai+%C4%90%C6%B0%E1%BB%9Dng+Long+Thu%E1%BA%ADn%2C+P.+Tr%C6%B0%E1%BB%9Dng+Th%E1%BA%A1nh%2C+Qu%E1%BA%ADn+9%2C+HCM+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+8%2C+Ph%C6%B0%E1%BB%9Dng+Long+Ph%C6%B0%E1%BB%9Bc%2C+Qu%E1%BA%ADn+9%2C+HCM+%C4%90%C6%B0%E1%BB%9Dng+s%E1%BB%91+8%2C+Ph%C6%B0%E1%BB%9Dng+Long+Ph%C6%B0%E1%BB%9Bc%2C+Qu%E1%BA%ADn+9%2C+HCM+S%E1%BB%91+86+%C4%91%C6%B0%E1%BB%9Dng+C%E1%BA%A7u+%C4%90%C3%ACnh%2C+Ph%C6%B0%E1%BB%9Dng+Long+Ph%C6%B0%E1%BB%9Bc%2C%2C+B%E1%BA%A5t+%C4%91%E1%BB%99ng+s%E1%BA%A3n+kh%E1%BA%A3o+s%C3%A1t%2C+Q.9%2C+%C4%90%E1%BB%93ng+Nai
BDS-MASTER-0184,Cao tầng 31 Trần Não,"và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,537m2, diện tích đất phù hợp quy hoạch là 4,926.4m2. - Giá chuyển nhượng: 275 tỷ ~ 55.8tr/m2 cho 4,926.4m2, cam kết thực hiện pháp lý đến giấy phép xây dựng và, Cao tầng 31 Trần Não, Bình Dương",10,2024-12-11,"[2024-12-11] Thao L - INVT 12/11/2024 5:31 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Chung cư Phượng Hoàng, Dĩ An, Bình Dương (Nguồn: Mr. Khôi) như sau: 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,537m2, diện tích đất phù hợp quy hoạch là 4,926.4m2. - Giá chuyển nhượng: 275 tỷ ~ 55.8tr/m2 cho 4,926.4m2, cam kết thực hiện pháp lý đến giấy phép xây dựng và gồm tiền chuyển đổi mục đích sử dụng đất. - Vị trí dự án t",https://www.google.com/maps/search/v%C3%A0+hi%E1%BB%87n+tr%E1%BA%A1ng%3A+-+D%E1%BB%B1+%C3%A1n+cao+t%E1%BA%A7ng+v%E1%BB%9Bi+t%E1%BB%95ng+di%E1%BB%87n+t%C3%ADch+%C4%91%E1%BA%A5t+l%C3%A0+5%2C537m2%2C+di%E1%BB%87n+t%C3%ADch+%C4%91%E1%BA%A5t+ph%C3%B9+h%E1%BB%A3p+quy+ho%E1%BA%A1ch+l%C3%A0+4%2C926.4m2.+-+Gi%C3%A1+chuy%E1%BB%83n+nh%C6%B0%E1%BB%A3ng%3A+275+t%E1%BB%B7+~+55.8tr%2Fm2+cho+4%2C926.4m2%2C+cam+k%E1%BA%BFt+th%E1%BB%B1c+hi%E1%BB%87n+ph%C3%A1p+l%C3%BD+%C4%91%E1%BA%BFn+gi%E1%BA%A5y+ph%C3%A9p+x%C3%A2y+d%E1%BB%B1ng+v%C3%A0%2C+Cao+t%E1%BA%A7ng+31+Tr%E1%BA%A7n+N%C3%A3o%2C+B%C3%ACnh+D%C6%B0%C6%A1ng
BDS-MASTER-0084,Chung cư Minh Ngọc tại đường CMT8,"và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4k, Chung cư Minh Ngọc tại đường CMT8, TPHCM",10,2022-09-19,"[2022-09-19] Trieu Nguyen-PTDT 9/19/2022 11:15 AM KĐT gửi anh Tuan Tran-CEO báo cáo dự án Chung cư Minh Ngọc tại đường CMT8, P11, Q3, TPHCM có quy mô 7234m2 và giá chào 1200 tỷ đồng (tương đương 165.86tr/m2 đất) bao gồm tiền sử dụng đất và QH 1.500, cụ thể: Vị trí và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4km, thuận tiện đ",https://www.google.com/maps/search/v%C3%A0+hi%E1%BB%87n+tr%E1%BA%A1ng%3A+D%E1%BB%B1+%C3%A1n+n%E1%BA%B1m+t%E1%BA%A1i+H%E1%BA%BBm+E6%2C+%C4%91%C6%B0%E1%BB%9Dng+CMT8%2C+P11%2C+Q3%2C+c%C3%B3+m%E1%BA%B7t+ti%E1%BB%81n+ti%E1%BA%BFp+x%C3%BAc+v%E1%BB%9Bi+h%E1%BA%BBm+r%E1%BB%99ng+kho%E1%BA%A3ng+130m+N%E1%BA%B1m+c%C3%A1ch+%C4%91%C6%B0%E1%BB%9Dng+CMT8+kho%E1%BA%A3ng+70m%2C+c%C3%A1ch+v%C3%B2ng+xoay+C%C3%B4ng+tr%C6%B0%E1%BB%9Dng+D%C3%A2n+Ch%E1%BB%A7+kho%E1%BA%A3ng+2km%2C+c%C3%A1ch+%C4%91%C6%B0%E1%BB%9Dng+Nguy%E1%BB%85n+Hu%E1%BB%87%2C+Q1+kho%E1%BA%A3ng+5.4k%2C+Chung+c%C6%B0+Minh+Ng%E1%BB%8Dc+t%E1%BA%A1i+%C4%91%C6%B0%E1%BB%9Dng+CMT8%2C+TPHCM
BDS-MASTER-0055,Chưa đặt tên,"vẫn đẹp hơn Begin quote, Admin 01, 5/11/2026 2:34 PM, T... by Thao L - INVT, Chưa đặt tên, Nhơn Trạch, Phú Quốc",10,2026-06-29,[2026-06-29] Admin 01 6/29/2026 2:38 PM Ủa mà cái này sau hướng xử lý sao nhỉ. bắt đấu giá lại hay sao ta Nếu đúng theo luật thì đất công là sẽ thu hồi đấu gía. Do bên KO họ đi theo hướng ngừoi thứ 3 ngây tình nên mặc mặc dù VKS đề nghị thu hồi nhưng HĐXX năm 2022 vẫn chưa thu hồi và vẫn tạm giao cho Cty Tân Phú nắm giữ Khu này là đối diện sygamo đúng ko by Admin 01 --- [2026-06-11] Admin 01 6/11/2026 3:09 PM Cái 120 tỷ đó có cách nào check chính xác đc ko Cái này chắc nhờ A Minh rà trên các cơ ,https://www.google.com/maps/search/v%E1%BA%ABn+%C4%91%E1%BA%B9p+h%C6%A1n+Begin+quote%2C+Admin+01%2C+5%2F11%2F2026+2%3A34+PM%2C+T...+by+Thao+L+-+INVT%2C+Ch%C6%B0a+%C4%91%E1%BA%B7t+t%C3%AAn%2C+Nh%C6%A1n+Tr%E1%BA%A1ch%2C+Ph%C3%BA+Qu%E1%BB%91c
