curated_id,project_name,labeled_items,unclassified_items
BDS-CURATED-0011,12ha KDC Vĩnh Phú gần Phú Quang,12,11
BDS-CURATED-0001,31 Trần Não,20,66
BDS-CURATED-0068,Đông Trung,1,0
BDS-CURATED-0009,Stown Gateway có quy mô 8816m2 tại hẻm Quốc lộ 13,8,15
BDS-CURATED-0007,Holiday Beach,15,41
BDS-CURATED-0020,gồm Chung cư cao tầng gồm 02 Hầm + 02 tầng Khối đế + 26 tầng căn hộ (trong đó căn hộ NOXH chiếm 20% tổng số că,10,26
BDS-CURATED-0022,"Dự án 353 Nơ Trang Long, Bình Thạnh",5,0
BDS-CURATED-0014,KDC Long Phước có quy mô 18ha tại Phường Long Phước,4,14
BDS-CURATED-0016,Trần Hưng Đạo,5,8
BDS-CURATED-0018,chung cư tại Tân Bình,5,15
BDS-CURATED-0052,Bãi Kèo Phú Quốc,11,24
BDS-CURATED-0019,"Dự án 1,2 ha đường Thuận An Hóa, Thuận An",5,9
BDS-CURATED-0010,"Khu đất 1,7 ha đường Hoàng Quốc Việt, Hạ Long",7,13
BDS-CURATED-0033,Quỹ đất 2.316 ha phía Nam Nhơn Trạch,19,21
BDS-CURATED-0041,chung cư Thành Lộc với tổng diện tích đất phù hợp quy hoạch để thực hiện dự án là 8,4,9
BDS-CURATED-0024,ở khu vực gần đó đã được duyệt giá đất (như Emerald 2,11,13
BDS-CURATED-0057,Khu trung tâm tòa nhà hỗn hợp thương mại,2,11
BDS-CURATED-0063,chung cư trên quy đất này có thể theo 2 hướng,5,8
BDS-CURATED-0002,Chung cư Đỗ Xuân Hợp,13,9
BDS-CURATED-0314,Lô đất Phú Thọ Hòa Tân Phú,17,38
BDS-CURATED-0040,"Dự án 2,3 ha Bình Điền, Bình Chánh",5,13
BDS-CURATED-0030,"Khu đất 2,6 ha mặt tiền Song Hành XLHN, Thủ Đức",3,8
BDS-CURATED-0026,KĐT Trấn Biên (thuộc KCN Biên Hòa 1) đang tổ chức đấu giá tại Đồng Nai,6,22
BDS-CURATED-0060,Phú Quang,23,26
BDS-CURATED-0039,Võ Văn Kiệt) cố định ~ 190 tr/m2,12,28
BDS-CURATED-0066,khu tổ hợp văn phòng cho thuê,2,2
BDS-CURATED-0027,Long Thuận Long Phước Quận 9 10ha,12,18
BDS-CURATED-0056,Khu nhà ở Đại Quang Minh,3,12
BDS-CURATED-0013,Hermes Power 1,7,12
BDS-CURATED-0047,2769m2 tại Đà Nẵng,5,6
BDS-CURATED-0035,Chung cư Minh Ngọc tại đường CMT8,2,11
BDS-CURATED-0313,H2-02,22,21
BDS-CURATED-0082,Khu Đô Thị Mới Bắc Quán Hành - Quán Hành - Nghi Lộc - Nghệ An,1,4
BDS-CURATED-0058,Khu Đô Thị Mới Hậu Nghĩa - Đức Hòa,0,6
BDS-CURATED-0008,NOXH khu vực Nhơn Trạch,7,16
BDS-CURATED-0112,Dự án Vương Bảo Long,0,1
BDS-CURATED-0065,khu nhà ở Lộc Phú Gia với tổng diện tích đất thực hiện dự án là 690,6,11
BDS-CURATED-0090,khu nhà ở Tân Mai (thuộc danh sách dự kiến đấu giá tại Đồng Nai 2026) A) Thông tin chung,4,9
BDS-CURATED-0021,the Bale tại Phan Thiết,7,10
BDS-CURATED-0161,Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng),4,3
BDS-CURATED-0036,Chung cư Trường Thịnh,1,7
BDS-CURATED-0005,cao tầng Icon Plaza,5,10
BDS-CURATED-0067,là 30,0,2
BDS-CURATED-0025,Chung cư Võ Thị Sáu,0,8
BDS-CURATED-0003,Chưa đặt tên,2,40
BDS-CURATED-0037,Green Hill tại Quy Nhơn,5,18
BDS-CURATED-0078,KCN Thái Hòa – Liễn Sơn – Liên Hòa - Khu vực 1 (284 ha) thuộc địa phận các xã,0,0
BDS-CURATED-0029,Khu đất 197 Lê Văn Sỹ,6,3
BDS-CURATED-0324,Văn phòng tại khu đất 72-74 Võ Thị Sáu,6,5
BDS-CURATED-0141,"Khu đất 1,6 ha Phan Văn Hớn, Quận 12",1,4
BDS-CURATED-0051,8029 m2 tại Mỹ Phước - Tân Vạn,2,2
BDS-CURATED-0083,Khu đô thị mới Bắc Quán Hành tại thị trấn Quán Hành,2,9
BDS-CURATED-0006,chung cư Thuận Nghiệp - DT743C,13,10
BDS-CURATED-0114,có tiềm năng để phát triển Dự án Khu đô thị,2,1
BDS-CURATED-0315,48 Nguyễn Thiện Thuật,11,28
BDS-CURATED-0050,728 Cách Mạng Tháng 8 Tổng mức đầu tư (Chưa VAT),10,14
BDS-CURATED-0100,Cù Lao Tân Vạn – Centria Island (nguồn,1,3
BDS-CURATED-0017,Urban Green / Bình Thái,3,5
BDS-CURATED-0061,VEN SÔNG HÀN,0,3
BDS-CURATED-0089,"KDC Tam Phước 4,9 ha, Biên Hòa",0,5
BDS-CURATED-0031,nhà ở lực lượng vũ trang nhân dân Quận 12,12,15
BDS-CURATED-0098,đấu giá 77ha,15,18
BDS-CURATED-0048,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,6,10
BDS-CURATED-0317,Khu gia đình quân nhân quân chủng PK-KQ (8,10,9
BDS-CURATED-0129,Phú Quang khoảng 350m + Có 2 mặt tiếp xúc kênh rạch II/ Kết nối giao thông đến dự án,0,1
BDS-CURATED-0087,Văn phòng tại khu đất 197 Lê Văn Sỹ,2,2
BDS-CURATED-0139,này có các vấn đề pháp lý chưa rõ và cần Phòng pháp lý dự án đánh giá chi tiết,3,2
BDS-CURATED-0012,Diamond Garden Đào Trí Phú Thuận,5,10
BDS-CURATED-0104,IDEO CHANRAN 70 RIVERVIEW nằm trên đường Charan Sanit Wong,0,12
BDS-CURATED-0079,KDC Minh Hưng tại xã Minh Hưng,2,1
BDS-CURATED-0085,Toàn Thịnh Phát tại Bãi Trường,2,1
BDS-CURATED-0123,được chuyển tiếp từ kế hoạch 2025 và có bổ sung thêm những khu đất tiềm năng khác,0,0
BDS-CURATED-0096,"Dự án Victory Hoàn Cầu, Bình Chuẩn, Thuận An",2,3
BDS-CURATED-0054,Căn hộ Dịch vụ Quận 2 (1,0,4
BDS-CURATED-0091,khách sạn cạnh TMS với giá chào là 650tr/m2 tại 290 Võ Nguyên Giáp,7,4
BDS-CURATED-0095,thuộc trường hợp giao đất không thông qua đấu giá quyền sử dụng đất - Hồ sơ pháp lý,3,3
BDS-CURATED-0072,132 $/phòng/đêm 145,3,4
BDS-CURATED-0126,Anantara Mũi Né Resort,3,4
BDS-CURATED-0055,DKC ARITA TWIN TOWER 1,1,3
BDS-CURATED-0316,kế bên DA Võ Văn Kiệt,12,25
BDS-CURATED-0142,được tính tiền sử dụng đất theo phương pháp thặng dự,3,1
BDS-CURATED-0147,Khu chung cư và văn phòng An Phú,0,0
BDS-CURATED-0107,"Khu đất Ngô Chí Quốc, Bình Chiểu, Thủ Đức",0,0
BDS-CURATED-0109,Thanh Đa,1,10
BDS-CURATED-0028,Thủ Đức Living,4,14
BDS-CURATED-0135,nhà ở xã hội UBND Đồng Nai mời quan tâm đấu thầu,2,6
BDS-CURATED-0105,"KCN Nghĩa Sơn, Nghĩa Hưng, Nam Định",4,3
BDS-CURATED-0044,thấp tầng SADACO – Phú Mỹ,6,11
BDS-CURATED-0023,đấu giá 102ha,8,8
BDS-CURATED-0046,"Khu đất 2.769 m² Hoàng Sa, Đà Nẵng",6,9
BDS-CURATED-0120,"12 lô đất Sun Group – KĐT ven sông Hòa Xuân, Đà Nẵng",0,0
BDS-CURATED-0032,sẽ mất 1 năm để xử lý các vấn đề liên quan khoản nợ đang trong DATC,7,9
BDS-CURATED-0074,Cát Lái - Sky Habitat,12,18
BDS-CURATED-0151,THEO PHƯƠNG ÁN KINH DOANH ANH CƯỜNG – TMĐT Ko bao gồm ĐẤT Kết quả kinh doanh – PA vận hành 15 năm + GOP bình q,6,5
BDS-CURATED-0045,từ đường Đặng Văn Trơn và giá chào đã bao gồm phần đất này,6,10
BDS-CURATED-0331,Felicia Đà Nẵng,3,3
BDS-CURATED-0168,chỉ mới trong giai đoạn pháp lý đền bù GPMB thì được xem là quỹ đất và được định giá lại theo phương thức giá,0,19
BDS-CURATED-0351,thấp tầng Phú An Hội giáp mặt tiền Tôn Đức Thắng (25B),2,19
BDS-CURATED-0070,(Chi phí đất,4,4
BDS-CURATED-0318,1ha Sơn Trà,21,17
BDS-CURATED-0034,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,1,0
BDS-CURATED-0053,Chen Sea 3,0,0
BDS-CURATED-0075,Cảng Sài Gòn – Thép Việt,1,0
BDS-CURATED-0015,NOXH khu vực Phước An,7,6
BDS-CURATED-0097,Khu du lịch TMDV Quất Lâm 7 ha và CCN Giao Tiến 50 ha,0,0
BDS-CURATED-0149,Masteri An Phú - Masteri Thảo Điền - The Vista tăng 40-50% giá trị chỉ trong 3 tháng ) 🎉 Nếu lấy sàn thứ 2 (70,0,9
