curated_id,old_name,clean_parent_name
BDS-CURATED-0033,theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026,Quỹ đất 2.316 ha phía Nam Nhơn Trạch
BDS-CURATED-0030,có 1 mặt tiền đường Song Hành rộng khoảng 110m của đường Xa lộ Hà Nội,"Khu đất 2,6 ha mặt tiền Song Hành XLHN, Thủ Đức"
BDS-CURATED-0112,Vương Bảo Long (kèm đánh giá pháp lý) *Hiện trạng,Dự án Vương Bảo Long
BDS-CURATED-0029,Văn phòng tại khu đất 197 Lê Văn Sỹ cập nhật Hệ số sử dụng đất mới 9,Khu đất 197 Lê Văn Sỹ
BDS-CURATED-0141,tiếp giáp mặt tiền đường Phan Văn Hớn,"Khu đất 1,6 ha Phan Văn Hớn, Quận 12"
BDS-CURATED-0107,Khu đất Ngô Chí Quốc Bình Chiểu Thủ Đức,"Khu đất Ngô Chí Quốc, Bình Chiểu, Thủ Đức"
BDS-CURATED-0043,khu mặt tiền đường Ngô Chí Quốc (gom đất gần Phú Quang)- Cập nhật Quy hoạch Phân khu,Khu đất mặt tiền Ngô Chí Quốc gần Phú Quang
BDS-CURATED-0156,theo Sổ cấp 2017 là 10,"Khu đất 10.052,1 m² tại 1691/3N"
BDS-CURATED-0117,hạ tầng trọng điểm quốc gia đang được triển khai như Đường DT 770B (LG 60m) khởi công xây dựng Quý I-2024,"Quỹ đất Tân Hiệp, Long Thành, Đồng Nai"
BDS-CURATED-0084,Khách sạn 5 sao 12 Hùng Vương Đà Lạt,"Khách sạn 5 sao 12 Hùng Vương, Đà Lạt"
BDS-CURATED-0282,Vo Van Kiet Gop 2 Lo (IN),Võ Văn Kiệt – Gộp 2 lô
BDS-CURATED-0181,đấu thầu tại Nhơn Trạch,"Khu đất đấu thầu Nhơn Trạch, Đồng Nai"
