master_id,project_name,query,lat,lng,display_name,class,type,importance,confidence_score,status
BDS-MASTER-0096,168ha gần Khu Đa,"của quỹ đất, cụ thể: Vị trí và hiện trang: Hẻm đường Quốc lộ 50, xã Phong Phú, Huyện Bình Chánh, TPHCM, cách quốc lộ 50 khoảng 1.4km, có 3.7km tiếp giáp với sông rạch, cách trung tâm Q1 TPHCM khoảng 18km Quỹ đất kết nối, 168ha gần Khu Đa, TPHCM",,,,,,,0,no_result
BDS-MASTER-0100,4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4,"dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m, giáp đường Quốc lộ 51, đường nhựa rộng khoảng 46m. + Mặt tiền tiếp giáp đường khoảng 78,7m, giáp đường Hùng Vương đ, 4ha Thị xã Phú Mỹ với tổng diện tích đất thực hiện dự án là 4, Long Thành, Bà Rịa – Vũng Tàu: Vị trí dự án có nhiều tiềm năng: - Dự án tiếp giáp 2 mặt tiền đường hiện hữu: + Mặt tiền tiếp giáp khoảng 110m",,,,,,,0,no_result
BDS-MASTER-0151,50ha thuộc huyện Vĩnh Tường – Yên Lạc,"và hiện trạng: • Dự án nằm trên trục đường QL2C (trục đường gồm 2 làn oto, 2 làn xe máy), cách TP. Vĩnh Yên khoảng 10km và nằm đoạn giữa đường Vành đai 3 (định đướng hoàn thành vào 2030) và Vành đai 4 (chưa có thông tin, 50ha thuộc huyện Vĩnh Tường – Yên Lạc, Vĩnh Phúc",,,,,,,0,no_result
BDS-MASTER-0101,54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ,"và hạ tầng giao thông kết nối - Dự án nằm sát cảng hàng không nội địa Phan Thiết đang trong giai đoạn hoàn thành Chủ trương đầu tư, đã hoàn thành công tác đền bù và giải phóng mặt bằng, phục vụ dân dụng và quốc phòng - D, 54ha liền kề sân bay Phan Thiết có giá chào 860-900 tỷ, Long Thành, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0103,8029 m2 tại Mỹ Phước - Tân Vạn,"và hiện trạng: - Hiện trạng dự án là bãi đất trống tọa lạc tại Đường Mỹ Phước - Tân Vạn, Thuận Giao, Thuận An, Tỉnh Bình Dương với bề rộng khoảng 60 mét. 2) Pháp lý đất: - GCN QSDĐ với Số vào sổ CT80867, MĐSD đất cơ sở s, 8029 m2 tại Mỹ Phước - Tân Vạn, Thuận Giao, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0083,Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa,"và kết nối, tiềm năng hạ tầng: - Dự án nằm trong khu bến cảng Cái Mép – Thị Vải (thuộc cảng biển Bà Rịa – Vũng Tàu một trong 2 cảng biển loại đặc biệt lớn nhất cả nước, cùng với Cảng biển Hải Phòng), dự án khu bến cảng C, Bãi Container & Dịch vụ Cảng (Diện tích 31 ha) với giá chào 2 trđ/m2 tại Phước Hòa, Long Thành, Bà Rịa Vũng Tàu 2",,,,,,,0,no_result
BDS-MASTER-0152,Bất động sản khảo sát,"Xã Phú Thạnh, Huyện Nhơn Trạch, Tỉnh Đồng Nai Đường Long Thuận, P. Trường Thạnh, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Đường số 8, Phường Long Phước, Quận 9, HCM Số 86 đường Cầu Đình, Phường Long Phước,, Bất động sản khảo sát, Q.9, Đồng Nai",,,,,,,0,no_result
BDS-MASTER-0184,Cao tầng 31 Trần Não,"và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,537m2, diện tích đất phù hợp quy hoạch là 4,926.4m2. - Giá chuyển nhượng: 275 tỷ ~ 55.8tr/m2 cho 4,926.4m2, cam kết thực hiện pháp lý đến giấy phép xây dựng và, Cao tầng 31 Trần Não, Bình Dương",,,,,,,0,no_result
BDS-MASTER-0084,Chung cư Minh Ngọc tại đường CMT8,"và hiện trạng: Dự án nằm tại Hẻm E6, đường CMT8, P11, Q3, có mặt tiền tiếp xúc với hẻm rộng khoảng 130m Nằm cách đường CMT8 khoảng 70m, cách vòng xoay Công trường Dân Chủ khoảng 2km, cách đường Nguyễn Huệ, Q1 khoảng 5.4k, Chung cư Minh Ngọc tại đường CMT8, TPHCM",,,,,,,0,no_result
BDS-MASTER-0055,Chưa đặt tên,"vẫn đẹp hơn Begin quote, Admin 01, 5/11/2026 2:34 PM, T... by Thao L - INVT, Chưa đặt tên, Nhơn Trạch, Phú Quốc",,,,,,,0,no_result
BDS-MASTER-0153,Cù Lao Tân Vạn – Centria Island (nguồn,"dự án - Cơ sở giá Vạn Phúc lấy theo các phân khu với vị trí giáp/gần bờ sông tương đồng với Cù lao Tân Vạn - Yếu tố diện tích 2. Bảng so sánh đơn giá theo từng phân khu bao gồm điều chỉnh yếu tốc vị trí dự án và diện tíc, Cù Lao Tân Vạn – Centria Island (nguồn, Quận 1, Đồng Nai",,,,,,,0,no_result
