curated_id,project_name,category,map_urls_found,existing_map_urls,coordinate_quality,coordinate_source,match_score,source_files
BDS-CURATED-0068,Đông Trung,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/H57L1w8ReXXNhtb99; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://www.google.com/maps/d/u/1/edit?mid=10gTnNN6aieu1u3Xx49gGnnp177W4zag&usp=sharing; https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://goo.gl/maps/xNEqZWHrXNzKYLHe6; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/sMLMvWwegyerE3jJ9; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/trCxv7WmZ7Lim467A,https://maps.app.goo.gl/H57L1w8ReXXNhtb99; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://www.google.com/maps/d/u/1/edit?mid=10gTnNN6aieu1u3Xx49gGnnp177W4zag&usp=sharing; https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://goo.gl/maps/xNEqZWHrXNzKYLHe6; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/sMLMvWwegyerE3jJ9; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/trCxv7WmZ7Lim467A,needs_coordinate_review,,name_token_overlap>=2,batch_917.txt; batch_329.txt; batch_374.txt; batch_314.txt; batch_325.txt
BDS-CURATED-0314,Lô đất Phú Thọ Hòa Tân Phú,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5; https://maps.app.goo.gl/v8GdHbU3xb5G8JFs9,https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5; https://maps.app.goo.gl/v8GdHbU3xb5G8JFs9,resolved,,,batch_261.txt; batch_138.txt; batch_299.txt
BDS-CURATED-0313,H2-02,no_map_link_found_in_matched_raw,,,,,,batch_073.txt; batch_085.txt; batch_141.txt; batch_064.txt; batch_066.txt; batch_115.txt; batch_116.txt
BDS-CURATED-0003,Chưa đặt tên,has_unresolved_or_unattached_map_link,https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPXBEhrOAj5K2Z-QIEzEWdybIQXU&usp=sharing; https://maps.app.goo.gl/5iiRqTtYeBvcHiWK6?g_st=com.microsoft.skype.teams.extshare; https://maps.app.goo.gl/BXiiNPjMLwaYBDny9?g_st=com.google.maps.preview.copy; https://maps.app.goo.gl/boU3tZuTNi1MiejU6?g_st=ic; https://maps.app.goo.gl/HEzfMc5rhZkTiYDu6?g_st=com.microsoft.skype.teams.extshare; https://goo.gl/maps/4jePURnQ8yUc9eAi8; https://goo.gl/maps/ZVuC7XLoPczMoHwD8; https://goo.gl/maps/CJMhzfJXxVkLkHgVA; https://goo.gl/maps/F33YDXFjYWRxh2dP8; https://maps.app.goo.gl/SCmiwhcXWGbeWVUy6?g_st=ic; https://maps.app.goo.gl/6vMvFBe8H7HUYQwi6?g_st=ic; https://goo.gl/maps/YbeBXNFKFMabLtVG9; https://maps.app.goo.gl/t178LDzcrFtjxgEz9,https://www.google.com/maps?q=10.8403809; https://maps.app.goo.gl/LU2Nvzo1LBLur6; https://maps.app.goo.gl/7uS84wL1B4oMwKEw9?g_st=ipc; https://www.google.com/maps/d/edit?mid; https://www.google.com/maps/d/edit?mid=1HzxvPXBEhrOAj5K2Z-QIEzEWdybIQXU&usp=sharing; https://maps.app.goo.gl/5iiRqTtYeBvcHiWK6?g_st=com.microsoft.skype.teams.extshare; https://maps.app.goo.gl/BXiiNPjMLwaYBDny9?g_st=com.google.maps.preview.copy; https://maps.app.goo.gl/boU3tZuTNi1MiejU6?g_st=ic; https://maps.app.goo.gl/HEzfMc5rhZkTiYDu6?g_st=com.microsoft.skype.teams.extshare; https://goo.gl/maps/4jePURnQ8yUc9eAi8; https://goo.gl/maps/ZVuC7XLoPczMoHwD8; https://goo.gl/maps/CJMhzfJXxVkLkHgVA; https://goo.gl/maps/F33YDXFjYWRxh2dP8; https://maps.app.goo.gl/SCmiwhcXWGbeWVUy6?g_st=ic; https://maps.app.goo.gl/6vMvFBe8H7HUYQwi6?g_st=ic; https://goo.gl/maps/YbeBXNFKFMabLtVG9; https://maps.app.goo.gl/t178LDzcrFtjxgEz9,suspicious_shared_by_many_projects,matched_teams_map_link,16,batch_001.txt; batch_006.txt; batch_007.txt; batch_024.txt; batch_025.txt; batch_036.txt; batch_037.txt; batch_039.txt; batch_049.txt; batch_052.txt; batch_058.txt; batch_059.txt; batch_062.txt; batch_089.txt; batch_113.txt; batch_114.txt; batch_117.txt; batch_124.txt; batch_131.txt; batch_137.txt; batch_142.txt; batch_152.txt; batch_162.txt; batch_169.txt; batch_171.txt; batch_172.txt; batch_174.txt; batch_176.txt; batch_178.txt; batch_187.txt; batch_189.txt; batch_191.txt; batch_192.txt; batch
BDS-CURATED-0006,chung cư Thuận Nghiệp - DT743C,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/t178LDzcrFtjxgEz9; https://maps.app.goo.gl/ioqJ9N2mKRyMdiAe6; https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…; https://maps.app.goo.gl/QVMCmJp83pMBNKrL8; https://maps.app.goo.gl/Hn6baY7yBKNTcRXs8; https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5; https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9; https://maps.app.goo.gl/7yPFeG3okyKbrLCM9; https://maps.app.goo.gl/acrdQ54V3NVNNkKh9; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://maps.app.goo.gl/efNjqXtJS5uqAid67; https://maps.app.goo.gl/9D1AGeGBDHSvttic8; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8; https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8; https://maps.app.goo.gl/uKe9j2z7xKHjdR8A7; https://goo.gl/maps/xNEqZWHrXNzKYLHe6; https://maps.app.goo.gl/b6AweqeJiHMGShsq9; https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9; https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://maps.app.goo.gl/E7ucSVc9hHKpPNDQ6; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/JhPoRTM15vQA7Kk6A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/KCGefw7KgVDUzTPh7; https://goo.gl/maps/aChZ8vYJMZ8j6SjR7; https://goo.gl/maps/YaZ9tS4Xqtm5REAe6; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/C86NnDNwQKH22Bek9-; https://goo.gl/maps/cUNDNuwk9M5KBSbJA**; https://goo.gl/maps/tMLVh6Gm8DCwNDzN6; https://goo.gl/maps/88psz7y8xzQTcyVn9; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/sMLMvWwegyerE3jJ9; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/1eXNtJWdQZHPkvXp8; https://goo.gl/maps/9VManjp1YiqeSC1A8; https://goo.gl/maps/SeJtvcKkqmN6a7oy6; https://goo.gl/maps/5AF74tZoTkBqM71d6; https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6; https://goo.gl/maps/trCxv7WmZ7Lim467A; https://goo.gl/maps/aSmRwi2p279NGLcb9; https://goo.gl/maps/s4v5mQf8LyZUv8B7A,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/t178LDzcrFtjxgEz9; https://maps.app.goo.gl/ioqJ9N2mKRyMdiAe6; https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…; https://maps.app.goo.gl/QVMCmJp83pMBNKrL8; https://maps.app.goo.gl/Hn6baY7yBKNTcRXs8; https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5; https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9; https://maps.app.goo.gl/7yPFeG3okyKbrLCM9; https://maps.app.goo.gl/acrdQ54V3NVNNkKh9; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://maps.app.goo.gl/efNjqXtJS5uqAid67; https://maps.app.goo.gl/9D1AGeGBDHSvttic8; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8; https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8; https://maps.app.goo.gl/uKe9j2z7xKHjdR8A7; https://goo.gl/maps/xNEqZWHrXNzKYLHe6; https://maps.app.goo.gl/b6AweqeJiHMGShsq9; https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9; https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://maps.app.goo.gl/E7ucSVc9hHKpPNDQ6; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/JhPoRTM15vQA7Kk6A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/KCGefw7KgVDUzTPh7; https://goo.gl/maps/aChZ8vYJMZ8j6SjR7; https://goo.gl/maps/YaZ9tS4Xqtm5REAe6; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/C86NnDNwQKH22Bek9-; https://goo.gl/maps/cUNDNuwk9M5KBSbJA**; https://goo.gl/maps/tMLVh6Gm8DCwNDzN6; https://goo.gl/maps/88psz7y8xzQTcyVn9; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/sMLMvWwegyerE3jJ9; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/1eXNtJWdQZHPkvXp8; https://goo.gl/maps/9VManjp1YiqeSC1A8; https://goo.gl/maps/SeJtvcKkqmN6a7oy6; https://goo.gl/maps/5AF74tZoTkBqM71d6; https://goo.gl/maps/JtDt3jc8pMZ3n7xH9; https://goo.gl/maps/GPLvd34uRNT1EL5bA; https://goo.gl/maps/oJP5R9Jfe8yAcrWY6; https://goo.gl/maps/trCxv7WmZ7Lim467A; https://goo.gl/maps/aSmRwi2p279NGLcb9; https://goo.gl/maps/s4v5mQf8LyZUv8B7A,suspicious_shared_by_many_projects,matched_teams_map_link,name_token_overlap>=2,batch_468.txt
BDS-CURATED-0315,48 Nguyễn Thiện Thuật,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/B98HY6ThSbAhg1a98; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/k4R8TwNVtrg4BrJc9; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/88psz7y8xzQTcyVn9,https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/B98HY6ThSbAhg1a98; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/k4R8TwNVtrg4BrJc9; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/88psz7y8xzQTcyVn9,,,name_token_overlap>=2,batch_213.txt; batch_263.txt; batch_423.txt
BDS-CURATED-0317,Khu gia đình quân nhân quân chủng PK-KQ (8,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9,https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9,resolved,,,batch_405.txt; batch_455.txt; batch_392.txt; batch_440.txt
BDS-CURATED-0316,kế bên DA Võ Văn Kiệt,no_map_link_found_in_matched_raw,,,,,,batch_074.txt
BDS-CURATED-0044,thấp tầng SADACO – Phú Mỹ,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/efNjqXtJS5uqAid67; https://maps.app.goo.gl/t178LDzcrFtjxgEz9; https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6; https://maps.app.goo.gl/D8GuCY5LefTH8JVq9; https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8; https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA; https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing; https://maps.app.goo.gl/AoJAreLLvUUHzVVw5; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…; https://maps.app.goo.gl/QVMCmJp83pMBNKrL8; https://maps.app.goo.gl/Mww4k2RWctPHssMQA; https://maps.app.goo.gl/Hn6baY7yBKNTcRXs8; https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9; https://maps.app.goo.gl/7yPFeG3okyKbrLCM9; https://maps.app.goo.gl/u5QRXoNjSCh5uxRx5; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9; https://maps.app.goo.gl/xg6rRMGswq5scyCbA; https://maps.app.goo.gl/whvDoK2djK9ZczAK8; https://maps.app.goo.gl/gr7GZiwJ71dX1nzNA; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8; https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8; https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/TcCLZG1kwf9F7wCu5; https://maps.app.goo.gl/yVp7cfpfnfdzb7mV7; https://maps.app.goo.gl/B98HY6ThSbAhg1a98; https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9; https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C; https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9; https://maps.app.goo.gl/zNrudtbb4kMk2xxv5; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/ioqJ9N2mKRyMdiAe6; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/JhPoRTM15vQA7Kk6A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/aChZ8vYJMZ8j6SjR7; https://goo.gl/maps/GPVNSt7Q6a73xSKHA; https://goo.gl/maps/k4R8TwNVtrg4BrJc9; https://goo.gl/maps/YaZ9tS4Xqtm5REAe6; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/TKu4Ej99YDW51J8o6; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/9VManjp1YiqeSC1A8; https://goo.gl/maps/SeJtvcKkqmN6a7oy6; https://goo.gl/maps/trCxv7WmZ7Lim467A,https://maps.app.goo.gl/efNjqXtJS5uqAid67; https://maps.app.goo.gl/t178LDzcrFtjxgEz9; https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6; https://maps.app.goo.gl/D8GuCY5LefTH8JVq9; https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8; https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA; https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing; https://maps.app.goo.gl/AoJAreLLvUUHzVVw5; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…; https://maps.app.goo.gl/QVMCmJp83pMBNKrL8; https://maps.app.goo.gl/Mww4k2RWctPHssMQA; https://maps.app.goo.gl/Hn6baY7yBKNTcRXs8; https://maps.app.goo.gl/pTzfCxqkMYLuLe9z9; https://maps.app.goo.gl/7yPFeG3okyKbrLCM9; https://maps.app.goo.gl/u5QRXoNjSCh5uxRx5; https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing; https://maps.app.goo.gl/ET75kfpwVX837fEE6; https://maps.app.goo.gl/47PLkeuNfzKvw38w8; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9; https://maps.app.goo.gl/xg6rRMGswq5scyCbA; https://maps.app.goo.gl/whvDoK2djK9ZczAK8; https://maps.app.goo.gl/gr7GZiwJ71dX1nzNA; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8; https://maps.app.goo.gl/o5yA5cAF8qJoTZqW8; https://maps.app.goo.gl/UEv62Ht1RcfDLLML8; https://maps.app.goo.gl/TcCLZG1kwf9F7wCu5; https://maps.app.goo.gl/yVp7cfpfnfdzb7mV7; https://maps.app.goo.gl/B98HY6ThSbAhg1a98; https://maps.app.goo.gl/s62kTxdTsTQvQHDJ9; https://maps.app.goo.gl/XwfK6AzNVqs5eFX17; https://maps.app.goo.gl/QAU1JqmdETLn951C; https://maps.app.goo.gl/K3ASKRs9Sc5yfa9z9; https://maps.app.goo.gl/zNrudtbb4kMk2xxv5; https://maps.app.goo.gl/dAy23L3wP3mTsMM88; https://maps.app.goo.gl/QydbrwwdHVvcm7keA; https://maps.app.goo.gl/uLPtqwAnwnevw4zz7; https://maps.app.goo.gl/zAmPVdt254bS1UUU7; https://maps.app.goo.gl/ioqJ9N2mKRyMdiAe6; https://maps.app.goo.gl/9PHZkvYiuadCm992A; https://goo.gl/maps/JhPoRTM15vQA7Kk6A; https://goo.gl/maps/XXMLm2Ebm5FEFwig7; https://goo.gl/maps/FmDxfXdHa9mdoGK99; https://goo.gl/maps/aChZ8vYJMZ8j6SjR7; https://goo.gl/maps/GPVNSt7Q6a73xSKHA; https://goo.gl/maps/k4R8TwNVtrg4BrJc9; https://goo.gl/maps/YaZ9tS4Xqtm5REAe6; https://goo.gl/maps/g4UerEukDLx9YjWt5; https://goo.gl/maps/TKu4Ej99YDW51J8o6; https://goo.gl/maps/Y5rcVkPSFzuYQtaJ7; https://goo.gl/maps/tu8NToyeSY9qMEt19; https://goo.gl/maps/mJAEFg5zdD6J4Xbq8; https://goo.gl/maps/9VManjp1YiqeSC1A8; https://goo.gl/maps/SeJtvcKkqmN6a7oy6; https://goo.gl/maps/trCxv7WmZ7Lim467A,suspicious_shared_by_many_projects,matched_teams_map_link,name_token_overlap>=2,batch_470.txt; batch_477.txt
BDS-CURATED-0331,Felicia Đà Nẵng,has_unresolved_or_unattached_map_link,https://maps.app.goo.gl/xQZeRwkJHuyDhx496; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8,https://maps.app.goo.gl/xQZeRwkJHuyDhx496; https://maps.app.goo.gl/cuqyDKdtbfwW1DAa8,resolved,,,batch_631.txt; batch_515.txt; batch_551.txt; batch_606.txt; batch_651.txt; batch_680.txt
