master_id,project_name,issues,latest_report_date,coords,land_area_main,sample_excerpt
BDS-MASTER-0002,Trần Đức 1 2.8ha Thuận Giao,missing_report_date,,"10.970034, 106.715651",28.000 m² (~2.80 ha),"[] P.ĐT báo cáo sếp Admin 01 dự án Trần Đức 1 (2.8ha) I. Thông tin dự án - Diện tích: 2.8 ha - Vị trí: Ngã tư Mỹ Phước Tân Vạn - Thủ Khoa Huân, P.Thuận Giao, Bình Dương (cũ) https://maps.app.goo.gl/t178LDzcrFtjxgEz9 II. PA quy hoạch: - Khu đất dự án thuộc ô khu phố có diện tích 8.5ha, hệ số 9/13 (9 ở, 4 TMDV), dân số 4.000, chức năng ở hỗn hợp. - Do dự án có quy mô 2.8ha nên không thể lấy được hết dân số 4000. P.TKQH đã binh phương án sơ bộ như sau: - Hệ số: 5.08 - Dân số: 2.700 - Quy mô: 2 phân khu + Cao tầng (30 tầng) : 1.46 ha - 1.275 căn hộ ở, 18 căn shop TM và 154 căn officetel. + Thấp tầng (nhà liên kế 1 trệt 2 lầu): 6.572 m2 (đất thương phẩm) - 73 nhà liên kế III. PA triển khai đầu tư"
BDS-MASTER-0004,Cao tầng 31 Trần Não,missing_planning,2025-02-11,"10.7964935, 106.7288642",5.244 m²,"[2025-02-11] Thao L - INVT 2/11/2025 1:56 PM Edited Translate K.ĐT báo cáo anh Mr Mike1 -CEO về Cao tầng 31 Trần Não như sau: 1. Thông tin, vị trí và hiện trạng: - Dự án cao tầng với tổng diện tích đất là 5,243.6m2. - Chi phí đất ban đầu: 894 tỷ ~ 170tr/m2 – full ở - Vị trí dự án tiếp giáp đường Trần Não. - Hiện trạng: Dự án có nguồn gốc đất là Full ở lâu dài (theo thông tin được cung cấp), vì thế phần đất tương ứng sản phẩm Thương mại (TTTM, Khách sạn, Văn phòng) có khả năng được thời hạn lâu dài (tương tự dự án 197 Lê Văn Sỹ, Quận 3). Tuy nhiên, để P.PLDA có đánh giá chính xác và chi tiết hơn cần cung cấp đầy đủ hồ sơ dự án. 2. Hồ sơ Pháp lý: P.ĐT nhận thông tin Tính hiệu quả sơ bộ dự án t"
BDS-MASTER-0005,Khu gia đình quân nhân quân chủng PK-KQ (8,missing_report_date,,"10.958864, 106.824125",84.600 m² (~8.46 ha),"[] P.ĐT báo cáo anh Mr Mike1 -CEO về hiệu quả sơ bộ cho dự án Khu gia đình quân nhân quân chủng PK-KQ (8,46Ha) – Biên Hòa – Bộ Quốc Phòng. DỰ ÁN KHU GIA ĐÌNH QUÂN NHÂN QUÂN CHỦNG PK-QK (8,46HA) - Vị trí Khu đất 5,52ha: https://maps.app.goo.gl/ET75kfpwVX837fEE6 - 2 Vị trị Khu đất 2,94ha: https://maps.app.goo.gl/47PLkeuNfzKvw38w8 ; https://maps.app.goo.gl/RXcEPNYx6EwAbDxF9 - Tổng diện tích: 8,46ha - Quy mô công trình theo phương án thiết kế của P.QH: Khu đất 5,52ha: 1 hầm + 7 tầng (3 block) + Nhà ở thương mại thấp tầng Khu đất 2,94ha: 1 hầm + 7 tầng (3 block) + Nhà ở thương mại thấp tầng - Tổng sản phẩm: NOTM: 153 căn nhà liên kế NOXH: 1.737 căn hộ ở - Tổng mức đầu tư: 2.441 tỷ (suất đầu tư xâ"
BDS-MASTER-0006,NOXH khu vực Nhơn Trạch,missing_report_date,,"10.674157, 106.929268",21.000 m² (~2.10 ha),"[] Phòng Đầu tư Báo cáo sếp Mr Mike1 -CEO 2 dự án NOXH khu vực Nhơn Trạch, Qua tìm hiểu về hồ sơ mời quan tâm công khai 2 khu đất xã Phước An Nhơn Trạch quy mô lần lượt 2,1 ha và 3,7 ha, P.ĐT tóm tắt hiệu quả tính nhanh 2 khu đất như sau: 1. Khu đất 2,1ha: https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A + Thông tin đầu vào: - Giá bán (chưa VAT): 20,8tr/m2 - Suất XD(chưa VAT): 9,93 tr/m2 - Quy mô xây dựng 12 tầng + Hiệu quả: - Tổng Doanh thu: 1.377 tỷ - Tổng chi phí: 1.180 tỷ - LNTT: 197,5 tỷ - NPV: 127,4 tỷ - LNTT/TMĐT: 17,34% 2. Khu đất 3,7ha: https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7 + Thông tin đầu vào: - Giá bán (chưa VAT): 21,1tr/m2 - Suất XD(chưa VAT): 9,92 tr/m2 - Quy mô xây dựng: 3 khu chu"
BDS-MASTER-0007,Diamond Garden Đào Trí Phú Thuận,missing_report_date,,"10.727928, 106.742496",10.471 m² (~1.05 ha),"[] Friday, June 12 P. Đầu tư xin báo cáo sếp Admin 01 dự á... by Hoa D - CVDT, has an attachment. 6/12 4:10 PM Edited Hoa D - CVDT P. Đầu tư xin báo cáo sếp Admin 01 dự án Diamond Garden ở đường Đào Trí, Phường Phú Thuận, TP Hồ Chí Minh 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/GdiSL1z7fBFtk3tr8 b) Dự án bị chia cắt bởi một con rạch, phát sinh rủi ro pháp lý xây dựng cầu để kết nối hai khu đất b. Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất là: 10,471 m2, gồm 5,718 m2 đất lúa, 676 m2 đất ở, đất chuyên dụng 3,217m2 và 860m2 lộ giới Pháp lý đất: đang đề xuất xin vào cơ chế thí điểm của Nghị quyết 171 (cần tốn ít nhất 2 năm để có thể triển k"
BDS-MASTER-0008,Hermes Power 1,missing_report_date; missing_land_area,,"10.784153, 106.725690",,"[] P.ĐT Báo cáo sếp Admin 01 tính toán fs sơ bộ dự án Hermes Power 1. Thông tin dự án - Diện tích: - Vị trí: KĐT Thủ Thiêm - https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6 Vị trí căn cứ vào file chào của Công ty hải Hưng, chưa xác định được ranh đất cụ thể. 2. PA Quy hoạch: - Dựa vào định vị trong file giới thiệu của Công ty Hải Hưng, khu đất dự án thuộc ô quy hoạch K4.4HH, thông số quy hoạch như sau: + Hệ số: 7.31 + Dân số: 1.002 + Quy mô: 15 tầng – 438 căn hộ ở, 42 căn shop TM 3. PA triển khai đầu tư: a) Giả định kinh doanh: Thời điểm bán hàng dự kiến 2029 (mất 2 năm xử lý pháp lý do hiện trạng pháp lý chưa có gì, khu đất chưa có đường, đường Lương Định Của đang triển khai thi công) + Giá bán: "
BDS-MASTER-0011,Lô đất Phú Thọ Hòa Tân Phú,missing_report_date,,"10.860864, 106.699926",10.052 m² (~1.01 ha),"[] P.ĐT báo cáo Sếp Mr Mike1 -CEO về khu đất 10,052.1 m2 tại 1691/3N (Quốc lộ 1A), P.An Phú Đông, Quận 12, TP HCM như sau: 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/bKZVkKUcnYGRLJWw5 b. Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất theo Sổ cấp 2017 là 10,052.1 m2, đất SKC, thời hạn sử dụng đất lâu dài (theo tham khảo từ P. Pháp lý: Đất nông nghiệp cá nhân chuyển sang thổ cư, chuyển nhượng cho DN, chuyển mục đích SKC), cần đối tác cung cấp thêm hồ sơ để xác minh thông tin trên. Trong công văn 6445/UBND-ĐT về xử lý khoảng hở giữa 2 thửa đất nhưng chưa có nêu rõ phần này được xử lý xong chưa. Pháp lý đầu tư: Chưa thực hiện QĐ chủ trương đầu t"
BDS-MASTER-0012,NOXH khu vực Phước An,missing_legal,2025-07-14,"10.674157, 106.929268",37.000 m² (~3.70 ha),"[2025-07-14] Khoa L - INVT 7/14/2025 6:26 PM Edited Translate P.Đầu tư báo cáo CEO Mr Mike1 -CEO hiệu quả 2 dự án NOXH khu vực Phước An, Nhơn Trạch Sau khi tổng hợp thông tin thêm từ a Hiếu PLDA, P.Đầu tư đã làm việc với team TKQH để có bài bố trí quy hoạch cụ thể cho 2 dự án và tính toán FS chi tiết như sau: 1. Vị trí 2 dự án: 2. Hiệu quả dự án: a) Dự án NOXH 2,1ha Phước An Nhơn Trạch: https://maps.app.goo.gl/Fsyo4xmwK3kmzbC9A - Tổng doanh thu: 1.711 tỷ - LNTT: 194,84 tỷ - NPV: 135,17 tỷ - LNTT/TMĐT: 13,8% b) Dự án NOXH 3,7ha Phước An Nhơn Trạch: https://maps.app.goo.gl/hMM3KEF5KhFhsZJi7 - Tổng doanh thu: 1.839,8 tỷ - LNTT: 211,17 tỷ - NPV: 138,18 tỷ - LNTT/TMĐT: 14% * Lưu ý cho bài tính: -"
BDS-MASTER-0013,Trần Hưng Đạo,missing_report_date,,"16.051348, 108.233637",877 m²,"[] P.ĐT báo cáo Sếp Mr Mike1 -CEO về dự án Trần Hưng Đạo, cầu Trần Thị Lý, TP Đà Nẵng (Lô Anh Sơn Trợ lý gửi) như sau: A. TỔNG QUAN VỀ DỰ ÁN: Dự án đường Trần Hưng Đạo chào về với giá 518 tỷ đồng cho diện tích 2.117 m2 (đã có sổ đất ở xây dựng chung cư, thời hạn sử dụng cho Chủ đầu tư đến 2062 ~ còn 37 năm ~ đơn giá 245 tr.đồng/m2, cao 2,4 lần so với đơn giá đất Nhà nước (101 tr.đồng/m2). Vị trí maps: https://maps.app.goo.gl/acrdQ54V3NVNNkKh9 Dự án cơ bản đã hoàn tất các thủ tục pháp lý đầu tư như: Đã được chấp thuận chủ trương đầu tư (Tháng 7/2024); Đã được phê duyệt 1/500 (tháng 4/2025), chỉ tiêu quy hoạch phù hợp với đồ án 1/2000 hiện hữu; Riêng Sổ đất đã được cấp năm 2017 với mục đích sử"
BDS-MASTER-0014,Urban Green / Bình Thái,missing_report_date,,"10.8456644, 106.7620502",4.604 m²,"[] P. ĐT báo cáo Sếp Admin 01 về khu đất 4... by Hoa D - CVDT, has attachments. 5/22 9:23 AM Edited Hoa D - CVDT P. ĐT báo cáo Sếp Admin 01 về khu đất 4.600 m2 tại 120 Đặng Văn Bi, phường Thủ Đức, HCM như sau: 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/dRnRPbNFPmCfsTHAA b) Đánh giá vị trí dự án: Dự án có lợi thế vị trí khi cách ga Metro Bình Thái khoảng 700m, nằm gần các trường đại học, KCNC và khu dân cư hiện hữu. Khu vực ghi nhận nhu cầu mua ở thực và thuê ổn định, trong khi nguồn cung căn hộ mới còn hạn chế; đặc biệt, loại hình căn hộ dịch vụ chuẩn còn thiếu, tạo dư địa phát triển tốt cho dự án. Tuy nhiên, cần lưu ý rủi ro từ phần đất mộ cầ"
