type,value,label
status,new,Mới ghi nhận
status,screening,Đang sàng lọc
status,checking_planning,Đang kiểm tra quy hoạch
status,underwriting,Đang tính hiệu quả
status,negotiating,Đang đàm phán
status,rejected,Loại
status,approved,Duyệt theo dõi/triển khai
status,monitoring,Theo dõi
priority,low,Thấp
priority,medium,Trung bình
priority,high,Cao
priority,urgent,Gấp
project_type,apartment,Căn hộ
project_type,townhouse,Nhà phố
project_type,villa,Biệt thự
project_type,mixed_use,Hỗn hợp
project_type,land_lot,Đất nền
project_type,industrial,Công nghiệp
project_type,commercial,Thương mại
project_type,hotel,Khách sạn
project_type,other,Khác
legal_status,unknown,Chưa rõ
legal_status,clean_title,Sổ/pháp lý sạch
legal_status,compensation_pending,Chưa xong bồi thường
legal_status,planning_pending,Chưa xong quy hoạch
legal_status,1_500_done,Đã có 1/500
legal_status,permit_done,Đã có giấy phép
legal_status,under_dispute,Tranh chấp
legal_status,other,Khác
