chunk_id,source_file,report_date,report_datetime_raw,sender,name_hint,excerpt
1,batch_001.txt,2026-07-02,7/2/2026 1:59 PM,Dung N - DCEO,cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,"Dung N - DCEO 7/2/2026 1:59 PM Báo cáo Sếp Admin 01 và các anh: hiện nay Tập đoàn Gamudaland (Malaysia) đang nghiên cứu M&A một dự án cao tầng tại Trung tâm Quận 9 (TPHCM) với quy mô 3,1 ha, Hệ số SDĐ : 8,0; Dân số 3,000 dân, Tổng số căn hộ: 1,240 căn. Dự án đã được GPMB 100%, đã đưa đất vào công ty, đã được duyệt danh sách 171. Tổng giá trị M&A dự kiến khoảng 3,600 tỷ, bên CĐT cũ sẽ nắm giữ 20% cổ phần, GamudaLand đang tìm đối tác để hợp tác phần 80% còn lại (dự kiến Gamudaland nắm khoảng 50%, đối tác nắm 30%); giá bán dự kiến 90-110 tr/m2 (chưa VAT). Dũng gửi thông tin để Sếp và các anh xem xét. Đường bé mà giá này thì Richland phải bán 1... by Admin 01"
2,batch_001.txt,,,,,Admin 01 7/2 2:21 PM Translate Đường bé mà giá này thì Richland phải bán 130-140tr Anh có báo RD rà soát lại gía bán rồi à Sếp by Huy M - IM
3,batch_001.txt,,,,Richland Quận 9 như sau,"Phòng Đầu Tư báo cáo Sếp Admin 01 về DA Richland Quận 9. Trên cơ sở báo cáo pháp lý từ phòng Pháp lý DA, P. Đầu tư xin tổng hợp những điểm chính cần lưu ý đối với dự án Richland Quận 9 như sau: 1 .Pháp lý đầu tư và đất : Dự án phải hoàn thành vào tháng 3/2011 => Dự án chậm tiến độ triển khai + Chậm đưa đất vào sử dụng. Cần làm rõ DA đã được gia hạn sử đụng đất chưa? 2. Nghĩa vụ tài chính + đền bù: Nghĩa vụ tài chính dự án: Chưa hoàn thành nghĩa vụ tài chính tương ứng với chỉ tiêu quy hoạch được phê duyệt (6.972 người, 1.743 căn hộ, hệ số toàn khu 4,99 lần, chức năng chung cư, trường mầm non, văn phòng thương mại dịch vụ). Diện tích đền bù: 11.308,7 m2 của các hộ dân thuộc ranh dự án 49.443 m2, đã có QĐ thu hồi năm 2008 giao cho Cty nhưng thiếu hồ sơ đính kèm => chưa thể khẳng định đã hoàn "
4,batch_001.txt,,,,Trần Đức 1 (2,"P.ĐT báo cáo sếp Admin 01 dự án Trần Đức 1 (2.8ha) I. Thông tin dự án - Diện tích: 2.8 ha - Vị trí: Ngã tư Mỹ Phước Tân Vạn - Thủ Khoa Huân, P.Thuận Giao, Bình Dương (cũ) https://maps.app.goo.gl/t178LDzcrFtjxgEz9 II. PA quy hoạch: - Khu đất dự án thuộc ô khu phố có diện tích 8.5ha, hệ số 9/13 (9 ở, 4 TMDV), dân số 4.000, chức năng ở hỗn hợp. - Do dự án có quy mô 2.8ha nên không thể lấy được hết dân số 4000. P.TKQH đã binh phương án sơ bộ như sau: - Hệ số: 5.08 - Dân số: 2.700 - Quy mô: 2 phân khu + Cao tầng (30 tầng) : 1.46 ha - 1.275 căn hộ ở, 18 căn shop TM và 154 căn officetel. + Thấp tầng (nhà liên kế 1 trệt 2 lầu): 6.572 m2 (đất thương phẩm) - 73 nhà liên kế III. PA triển khai đầu tư: a) Giả định kinh doanh: + Giá bán căn hộ: 52 tr/m2 (chưa V tim tường) + Giá bán Shop TM: 55 tr/m2 (ch"
5,batch_001.txt,,,,Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6,"Báo cáo Sếp Admin 01 Admin 01 về dự án Sông Đà - Quốc Cường Gia Lai (Nguồn từ Mr Tiến R&D) có giá chào 6.500 tỷ đồng cho diện tích phù hợp QH 2,5ha ~ 259,5 tr/m2 đường Quốc Lộ 13, P.Hiệp Bình, Thủ Đức (cũ), như sau: 1/TỔNG QUAN VỊ TRÍ: link map Vị trí và Ranh dự án Sông Đà - Quốc Lộ 13 Mặt tiền Quốc lộ 13 tại TP.HCM cũ, gần Khu đô thị Vạn Phúc, có 1 mặt giáp Sông, kết nối thuận tiện với các khu vực trọng điểm như Sân bay Tân Sơn Nhất và Ngã tư Bình Triệu. 2/ THÔNG TIN QUY HOẠCH Thông số QH theo 1/2000 Và đối tác đang tính Thông số QH theo 1/2000"
6,batch_001.txt,,,,(FS),"Phòng Đầu tư tính lại (có tham khảo anh Tài) Diện tích đất: 25.045,10 m2 (phù hợp quy hoạch) Diện tích đất: 25.045,10 m2 (phù hợp quy hoạch) Hệ số sử dụng đất: 10 lần Hệ số sử dụng đất: 7,2 lần Số tầng: 35 tầng (2 hầm, 2 tầng Shop TM, 2 tầng để xe nổi, 31 tầng căn hộ ở) Số tầng: 20 tầng (1 hầm, 2 tầng Shop TM, 2 tầng để xe nổi, 16 tầng căn hộ ở) Dân số: 3.411 dân Dân số: 3.411 dân Theo Quy hoạch PK thì hệ số là 10 lần, dân số 3.411 người. Tuy nhiên, qua tham khảo ý kiến từ phòng QH thì khu vực TPHCM cũ tính 32/m2 người, và để an toàn, P.Đầu tư tạm tính 28 m2/người, trên cơ sở gốc dùng hết dân số 3.411 dân => diện tích NFA căn hộ giảm đi khoảng 50.000 m2 sàn và hệ số tương ứng giảm xuống còn 7.2 lần, dư 2.8 hệ số, tầng cao giảm còn 20 tầng. P.ĐT cũng đã tính đến việc bố trí hệ số dư này cho"
7,batch_001.txt,,,,,Báo cáo Sếp là mới xác nhận lại với Mr Tiến thì giá 6.500 tỷ đồng chưa bao gồm tiền sử dụng đất (bên đó đang tính khoảng 1.900 tỷ đồng tiền sd đất) nhé ạ.
8,batch_001.txt,,,,NHƯ SAU,"Phòng ĐT báo cáo Sếp Admin 01 về sơ bộ dự kiến hiệu quả đầu tư dự án 2.316 ha Phía Nam Nhơn Trạch, như sau: I/TỔNG QUAN MẶT BẰNG: II/CHỈ TIÊU QUY HOẠCH TẠM TÍNH (ANH TÀI): III/HIỆU QUẢ TẠM TÍNH (P&L SƠ BỘ) Dựa trên các giả định: Giá bán: cơ sở đề xuất giá bình quân cho từng loại sản phẩm của phòng R&D đề xuất: Căn hộ 28 tr/m2, đất nền Nhà liên kế 36 tr/m2, đất nền biệt thự 35 tr/m2; Đơn giá chi phí đất (gồm tiền sử dụng đất)(đơn giá đất đường gần nhất khu đất vị trí 1 theo bảng giá đất là 6,5 tr/m2), phòng tính bài toán ngược với LNTT/TMĐT đạt 20% thì đơn giá đất bao gồm tiền sử dụng đất khoảng 3,3 tr/m2 (tính bình quân cho nhiều vị trí phân khu bên trong khu đất); Suất vốn xây dựng cao tầng theo Quyết định 425 của Bộ Xây dựng áp dụng cho năm 2026. Để đơn giản hóa bài tính Lãi/Lỗ, phòng tạ"
9,batch_001.txt,,,,,"Phòng xin đính kèm báo cáo đề xuất giá từ phòng R&D. 03072026 - R&D - 2.316 ha Phước An, Nhơn Trạch - Gửi ĐT Final 1.pdf Begin quote, Khoa L - INVT, 7/9/2026 5:00 P... by Admin 01"
10,batch_001.txt,,,,có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm),"Dạ sếp. Dự án có giá vốn đất thấp trong khi hệ số cao (trên 11 chấm), đồng thời thị trường tương đối thuận lợi khi giá được build bởi SunGroup. Xúc lẹ by Admin 01"
11,batch_001.txt,,,,,"Khoa L - INVT 7/9 7:43 PM Translate Thời điểm mình mua đất vào 2023 nên có giá tốt, tính ra đơn giá mua 46tr/m2. (Bao LUR) Trong khi thị trường giá khu vực tăng mạnh Bên cạnh đó giá căn hộ hiện cũng tăng gấp đôi so với 2 năm trước"
12,batch_001.txt,,,,Hải Nhân,"Phòng ĐT xin báo cáo Sếp Admin 01 sơ bộ hiện trạng 03 dự án Hải Nhân, Richland, Parklane mà Team đã thực hiện khảo sát thực tế sáng hôm nay: 1/Hải Nhân: 2/ Richland: Link bài viết mở rộng đường Lê Văn Việt lên 6 làn xe, 30 m: Link mở rộng đường LVV 3/ Parklane: by Thao L - INVT, has attachments."
13,batch_001.txt,,,,Hải Nhân 4,"Phòng Đầu tư xin báo cáo Sếp Admin 01 về phân tích đầu tư dự án Hải Nhân 4.5ha (nguồn từ Mr Duy) như sau: I/THÔNG TIN QUY HOẠCH: Theo QH phân khu thì khu đất dự án thuộc ô phố 1.2, số 02, nhóm nhà ở quy hoạch, tầng cao tối đa 50, hệ số sử dụng đất 10 lần, dân số 5.177 dân. Dựa vào hiện trạng khu đất và hình dạng khu đất, phòng QH đã tính toán chỉ tiêu và có bố trí một phần đất làm nhà liên kế, và cơ cấu sản phẩm như sau: Tổng diện tích đất phù hợp quy hoạch : 45.933 m2, trong đó gồm: + Diện tích đất phát triển chung cư : 28.604 m2 (2 tầng hầm, 5 tầng đế, 45 tầng tháp), gồm 78 căn Shop, 2.472 căn hộ) + Diện tích đất phát triển nhà liên kế : 5.685 m2 (5 tầng, 63 nền, dt đất 1 nền 90 m2) còn lại là đất giao thông, cây xanh, kỹ thuật. II/PHÂN TÍCH HIỆU QUẢ TÀI CHÍNH (FS): 1/CHI PHÍ: VỀ CHI PHÍ"
14,batch_001.txt,,,,HAI NHAN,Phòng xin đính kèm báo cáo lời và FS và đề xuất giá của phòng R&D. Trân trọng. 16.7.2026 FS DA HAI NHAN.pdf 16.7.2026 BC DA HAI NHAN.pdf 150726_R&D_Bao cao PA de xuat Hai Nhan_PA so bo.pdf
15,batch_001.txt,,,,Hải Nhân,"Phòng có so sánh về giá chào bán của 03 dự án Hải Nhân, Richland, Parklane như bảng bên dưới: Nếu so đơn giá đất (giá bán dự án gồm tiền sử dụng đất) trên diện tích thương phẩm thì Hải Nhân (29 tr/m2) và Richland (28,9 tr/m2) đang tốt hơn Parklane (43 tr/m2). Tính hiệu quả hết chưa by Admin 01"
16,batch_001.txt,,,,Parklane P,"Dạ dự án Parklane P. RD vừa cập nhật lại giá có thương hiệu sau khi khảo sát thực tế Mai phòng sẽ báo lại hiệu quả ạ Friday K.ĐT gửii anh Admin 01 báo cáo về dự án... by Thao L - INVT, has an attachment."
17,batch_001.txt,,,,Parklane,"Thao L - INVT Friday 6:08 PM Edited Translate K.ĐT gửii anh Admin 01 báo cáo về dự án Parklane, Quận 9 như sau: 1. THÔNG TIN DEAL Lưu ý: Tỷ lệ góp vốn tương ứng với tỷ lệ gánh chịu chi phí phát triển (xây dựng, bán hàng, lãi vay...) của toàn dự án. 2. THÔNG TIN QUY HOẠCH 1/2000 3. TIẾN ĐỘ PHÁP LÝ DỰ KIẾN: 4. SO SÁNH 2 PHƯƠNG ÁN PHÁT TRIỂN => Dự án được tính theo PA1 (Thận trọng – Theo P.QH) vì: - Dựa trên cơ sở quy hoạch 1/2000: + Dự án bị khống chế quy mô dân số khoảng 3.000 người, do đó diện tích sàn thương phẩm căn hộ được xác định ở mức phù hợp. + Dự án không phù hợp phát triển TTTM quy mô lớn do khả năng thu hút khách hạn chế (không nằm trên trục thương mại chính/lớn, kết nối giao thông chưa thuận lợi) và có cạnh tranh lớn khi khu vực đã có Vincom trên đường Lê Văn Việt, đồng thời nhu"
18,batch_001.txt,,,,Hermes Power 1,"P.ĐT Báo cáo sếp Admin 01 tính toán fs sơ bộ dự án Hermes Power 1. Thông tin dự án - Diện tích: - Vị trí: KĐT Thủ Thiêm - https://maps.app.goo.gl/qDbb6mJHvwhXw4Az6 Vị trí căn cứ vào file chào của Công ty hải Hưng, chưa xác định được ranh đất cụ thể. 2. PA Quy hoạch: - Dựa vào định vị trong file giới thiệu của Công ty Hải Hưng, khu đất dự án thuộc ô quy hoạch K4.4HH, thông số quy hoạch như sau: + Hệ số: 7.31 + Dân số: 1.002 + Quy mô: 15 tầng – 438 căn hộ ở, 42 căn shop TM 3. PA triển khai đầu tư: a) Giả định kinh doanh: Thời điểm bán hàng dự kiến 2029 (mất 2 năm xử lý pháp lý do hiện trạng pháp lý chưa có gì, khu đất chưa có đường, đường Lương Định Của đang triển khai thi công) + Giá bán: 250 tr/m2 (chưa V, tim tường) + Giá bán căn shop: 300 tr/m2 (chưa V tim tường) b) Giả định chi phí: + G"
19,batch_004.txt,,,,Richland,"Phòng Đầu tư xin báo cáo Sếp Admin 01 về cập nhật dự án Richland, diện tích 4,8 ha đường Lê Văn Việt, Quận 9 cũ như sau: I. Tóm tắt tình trạng pháp lý dự án: Diện tích đất thực hiện dự án là 48.380 m2, trong đó diện tích đất có Giấy chứng nhận là 38.528 m2 (gồm 4 sổ là đất ở đô thị, lâu dài), còn thiếu khoảng 9.852 m2 đất chưa có thông tin. Dự án đã được cấp GPXD năm 2008, đã xây dựng móng và hầm đến nay gần 18 năm. => không còn sử dụng được và phải tốn thêm chi phí phá dỡ công trình. Dự án chưa hoàn thành nghĩa vụ tài chính dự án theo chỉ tiêu QH được phê duyệt thời điểm 2008. Dự án thời điểm này chưa phải dành ra 20% diện tích làm Nhà ở xã hội, và hiện trạng có đường dây điện cao thế ngang qua khu đất cũng là điểm hạn chế và có thể phải phát sinh thêm chi phí hạ ngầm đường điện cao thế. "
20,batch_005.txt,,,,Felicia,"Huy M - IM 6/30 11:01 AM Chiều nay a báo lại Sếp à Sau khi Phòng đầu tư nhận được thông tin củ... by Hoa D - CVDT, has an attachment. 6/30 5:20 PM Edited Hoa D - CVDT Sau khi Phòng đầu tư nhận được thông tin của anh David Cường, P. Đầu tư xin báo cáo lại Sếp Admin 01 về dự án Felicia: Giả định 1. Doanh thu ADR: 2.55tr/phòng/đêm OCC: năm đầu 75%, ổn định 88% % Tăng giá: 5% mỗi năm 2. Chi phí Chi phí đầu tư: 1,000 Tỷ VNĐ % Chi phí HĐKD: năm đầu 52%, ổn định 46% Dựa theo các dự án của đang triển khai, P. Đầu tư bổ sung thêm các chi phí sau GOP như sau: FF&E: 3% Doanh thu (Chi phí dự trù cho việc sửa chữa cải tạo dự án) Phí Quản lý: 4% Doanh thu Phí Bảo hiểm: 0.1% TMĐT 3. Bảng so sánh sau khi thêm các chi phí của P Đầu Tư Bao Cao Khach_San_Felicia.pdf"
21,batch_006.txt,2026-06-29,6/29/2026 2:38 PM,Admin 01,,Admin 01 6/29/2026 2:38 PM Ủa mà cái này sau hướng xử lý sao nhỉ. bắt đấu giá lại hay sao ta Nếu đúng theo luật thì đất công là sẽ thu hồi đấu gía. Do bên KO họ đi theo hướng ngừoi thứ 3 ngây tình nên mặc mặc dù VKS đề nghị thu hồi nhưng HĐXX năm 2022 vẫn chưa thu hồi và vẫn tạm giao cho Cty Tân Phú nắm giữ Khu này là đối diện sygamo đúng ko by Admin 01
22,batch_007.txt,,,,,Admin 01 6/29 2:38 PM Translate Ủa mà cái này sau hướng xử lý sao nhỉ. bắt đấu giá lại hay sao ta Nghe nói nó xử lý xong r đó by Admin 01
23,batch_011.txt,,,,43ha - Dự án Tân phú,"P.ĐT gửi anh Admin 01 tóm tắt PL sơ bộ của dự án 43ha - Dự án Tân phú, Bình Dương (Kim Oanh) như sau: Link: Công ty Kim Oanh liên quan gì đến vụ án 43ha “đất vàng” tại Bình Dương? Đối tác đang chào bán 13tr/m2 cho 43 ha (5,600 tỷ) ~ 30tr/m2 đất ở thương phẩm (theo 1/500 dự kiến đối tác đề xuất) và giá chào này theo hiện trạng dự án, không bao gồm TSDĐ và việc gỡ các vấn đề PL nêu trên => Đề xuất: Không nghiên cứu dự án này Công ty Kim Oanh liên quan gì đến vụ án 43ha “đất vàng” tại Bình Dương? Cơ quan điều tra Bộ công an vừa có Kết luận điều tra, đề nghị truy tố với các cá nhân trong vụ án liên quan đến gần 190ha đất tại Tổng Công ty Sản xuất – Xuất nhập khẩu Bình Dương (Tổng Công ty 3/2... ngaymoionline.com.vn Cứ nghiên cứu đi xem lợi nhuận sao e by Admin 01"
24,batch_015.txt,,,,Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau,"P.ĐT gửi anh Admin 01 về việc ước tính TSDĐ dự án Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau: 1. QUY HOẠCH Theo Quyết định số 29/QĐ-BQLPTPQ ngày 03/04/2014 về phê duyệt Đồ án điều chỉn… Anh gửi lại Sếp tính tiền sử dụng đất theo 1.500 cũ của Bà Kèo à Begin quote, Thao L - INVT, 6/22/2026 12:01... by Admin 01"
25,batch_015.txt,,,,Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau,"P.ĐT gửi anh Admin 01 về việc ước tính TSDĐ dự án Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau: 1. QUY HOẠCH Theo Quyết định số 29/QĐ-BQLPTPQ ngày 03/04/2014 về phê duyệt Đồ án điều chỉn… Khi nào có người mua thì mới đóng tiền sdd xong tách cty ra bán đc ko nhỉ. Begin quote, Admin 01, 6/25/2026 11:13 AM, ... by Huy M - IM"
26,batch_016.txt,,,,Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau,"P.ĐT gửi anh Admin 01 về việc ước tính TSDĐ dự án Bà Kèo theo Quy hoạch 1/500 cũ (100% thấp tầng) như sau: 1. QUY HOẠCH Theo Quyết định số 29/QĐ-BQLPTPQ ngày 03/04/2014 về phê duyệt Đồ án điều chỉnh QHCT 1/500 dự án Bà Kèo: Dân số: 325 người Đất ở: 2.8 ha (65% diện tích dự án) Quy mô: 65 căn biệt thự Chỉ tiêu từng căn: Diện tích đất: 430 m² đất/căn; MĐXD: 33%; Tầng cao: 03 tầng; Diện tích SXD: 430 m² sàn/căn 2. TSDĐ a.Kịch bản Min: khoảng 1,750 tỷ Cơ sở: Tính theo đơn giá đất Nhà nước mặt tiền đường Trần Hưng Đạo, khoảng 67.5tr/m². b.Kịch bản Max: khoảng 2,300 tỷ Cơ sở: Tính theo phương pháp thặng dư dựa trên Quy hoạch 1/500 trên; đơn giá đất thặng dư ước khoảng 1,3 lần đơn giá đất Nhà nước."
27,batch_016.txt,,,,Thủ Đức Living,"P.ĐT xin báo cáo sếp Admin 01 dự án Thủ Đức Living, Đường Phạm Văn Đồng, TP HCM 1. Tóm tắt sơ bộ hiện trạng pháp lý dự án: a) Vị trí và ranh dự án: https://maps.app.goo.gl/D8GuCY5LefTH8JVq9 b) Sơ bộ hiện trạng pháp lý: Tổng diện tích khu đất là: 4,661 m2 (1,471 m2 đất ở, 3,190m2 đất cây hằng năm) Pháp lý đất: được thực hiện dự án thí điểm Nhà Ở Thương Mại (Dựa theo nghị quyết 171). Pháp lý QH: Diện tích phù hợp QH còn 3,545 m2 (Dính lộ giới: 1,111m2). Tầng cao 25 tầng cao, 0 tầng hầm; Hệ số sử dụng đất 6 lần, dân số là 500 người (tương đương hệ số 5.31 ,chưa sử dụng hết được hệ số HS SDĐ) 2. Hiệu quả dự án: a) Doanh thu (Có VAT): 1,179 tỷ VNĐ Giá bán căn hộ chung cư: 1,038 tỷ (66tr/m2 tim tường) Giá bán Shophouse: 141 tỷ (78tr/m2 tim tường) b) Chi phí (có VAT): 1,415 tỷ VNĐ Chi phí đất: 40"
