master_id,project_name,category,latest_report_date,map_urls,location,province_city,district_area,source_files,source_excerpt
BDS-MASTER-0414,35ha 1,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,,,Hội AN,batch_212.txt,[] Phòng xin gửi đính kèm hình hiện trạng khu đất. DAT RACH GIA.mp4 Vi tri va Ranh dat DA 35ha 1.pdf DAT RACH GIA 1.mp4 Add a vào group Hội AN Riverside cái by Admin 01
BDS-MASTER-0490,Hiyori e đang tổng hợp thông tin,google_my_maps_needs_open,2025-09-29,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,,,,batch_286.txt,"[] Dạ Sếp, về thông tin dự án Hiyori e đang tổng hợp thông tin, trong chiều e báo cáo nội dung này ạ Giá bán 90tr a thấy hơi rẻ by Unknown User"
BDS-MASTER-0348,NOXH của Công ty Ba Huân,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1p-2wMqsZAnTQXubtXx7Lse6Sq-8rC64&usp=sharing,"Đường Thế Lữ, xã Tân Nhựt, Bình Chánh, HCM Map: https://www.google.com/maps/d/edit?mid=1p-2wMqsZAnTQXubtXx7Lse6Sq-8rC64&usp=sharing",,,batch_375.txt,"[] P.ĐT báo cáo Sếp Mr Mike1 -CEO về 2 dự án NOXH của Công ty Ba Huân như sau: Đối với dự án NOXH xã Tân Nhựt, Bình Chánh Vị trí: Đường Thế Lữ, xã Tân Nhựt, Bình Chánh, HCM Map: https://www.google.com/maps/d/edit?mid=1p-2wMqsZAnTQXubtXx7Lse6Sq-8rC64&usp=sharing"
BDS-MASTER-0349,NOXH Đồng Nai (2 dự án trung tâm Biên Hòa)1,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,,Đồng Nai,Biên Hòa,batch_370.txt; batch_484.txt,"[] P.ĐT gửi anhMrMike1-CEO về các bước cần thực hiện để tham gia đấu thầu dự án NOXH Đồng Nai (2 dự án trung tâm Biên Hòa)1. Các công tác cần triển khai:Công tác chuẩn bị đăng ký thực hiện dự án (thời hạn đăng ký trong vòng 33 ngày từ 25.03.2025): Ngày 25/03/2025, Sở Tài Chính đã phát thông báo mời q… Tuy nhiên, sau khi nghiên cứu kỹ thì các dự án này thuộc hình thức là tham gia đấu thầu Dự án và Key lúc đó là yêu cầu hồ sơ năng lực là chủ đầu tư phải đã và đang làm NOXH rồi thì mới tham gia được thì khó cho mình nên mới chuyển hương qua các NOXH cho BCA, BQP để pass qua được khâu Đ.Thầu à Gửi e lại cái nhơn trạch by Unknown User --- [] P.ĐT gửi anh Mr Mike1 -CEO về các bước cần thực hiện để tham gia đấu thầu dự án NOXH Đồng Nai (2 dự án trung tâm Biên Hòa) 1. Các công tác cần triển khai: Công tác chuẩn bị đăng ký thực hiện dự án (thời hạn đăng ký trong vòng 33 ngày từ 25.03.2025): Ngày "
BDS-MASTER-0250,NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,,,,batch_375.txt,"[] P.ĐT khảo sát giá thị trường các sản phẩm xung quanh có thông tin như sau: Hạng Mục Đơn giá Giá đất ở ngoài KCN Vsip II 10 Triệu/m2 - 15 Triệu/m2 Giá đất KDC trong KCN Vsip II Trên dưới 15 Tr/m2 Giá căn hộ Tecco Felice (NOTM) Gần trung tâm Tp Tân Uyên, cách dự án NOXH đang đánh giá khoảng 15Km Trên dưới 20 Triệu/m2 Giá đất UBND MT đường DT742 5 Triệu/m2 Theo Tổng mức đầu tư ước tính từ suất vốn đầu tư của Bộ xây dựng để tính toán giá bán căn hộ nhà xã hội hiện nay, P.ĐT đánh giá: Giá căn hộ NOXH ước tính khoảng 23 Triệu/m2 - 25 Triệu/ m2 cao hơn 50%-60% giá đất ở KDC xung quanh dự án. Giá bán căn hộ NOXH gần tương đương với mức giá căn hộ Tecco Felice (NOTM) tại Tp.Tân Uyên. => Do đó, sản phẩm NOXH cho dự án đang đánh giá thực hiện là KHÔNG khả thi. KẾT LUẬN: Với các nội dung đánh giá và phân tích, P.ĐT đề xuất KHÔNG tiếp tục nghiên cứu 2 dự án trên. NOXH TÂN NHỰT, BÌNH CHÁNH - Google"
BDS-MASTER-0139,Văn phòng – An Phú,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,,Hồ Chí Minh,TP. Thủ Đức,batch_161.txt; batch_212.txt,"[] P.ĐT xin báo cáo sếp Admin 01 về dự án Văn phòng – An Phú, mặt tiền đường Mai Chí Thọ, phường An Phú, TP. Thủ Đức (Quận 2 cũ), TP.Hồ Chí Minh như sau: 1/ Pháp lý: Do dự án đã hết hạn chấp thuận chủ trương đầu tư từ năm 2010, nên sẽ có khả năng vướng các vấn đề sau: Gia hạn chấp thuận chủ trương đầu tư: Khó gia hạn do phải rà soát lại pháp lý (bị chồng chéo), quy hoạch và năng lực chủ đầu tư. Chưa hoàn thành nghĩa vụ tài chính: Khó xác định đầy đủ nghĩa vụ, có thể bị truy thu và phát sinh chi phí. Chưa đóng góp kinh phí hạ tầng chính: Khó xác định quy hoạch và nghĩa vụ các bên, ảnh hưởng tiến độ. 2/ Quy hoạch Chỉ tiêu xây dựng của khu đất văn phòng - Mật độ xây dựng: 92,8% - Hệ số sử dụng đất: 21,7 - Tổng diện tích GFA (bao gồm hầm và kỹ thuật): 52.419m² - Số tầng: 2 hầm + 27 tầng (trong đó 6 tầng thương mại và 19 tầng văn phòng + 2 tầng kỹ thuật) - Số chỗ để xe: 586 chỗ xe máy và 152 "
BDS-MASTER-0113,chung cư Hải Sơn có diện tích đất 8,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing,"và ranh đất: https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing => Đánh giá sơ bộ hiện trạng: Đường kết nối vào khu đất từ đường Huỳnh Văn Nghệ có bề ngang nhỏ, chỉ khoảng 8.8 m, cần đánh",Đồng Nai,Biên Hòa,batch_100.txt,"[] P.ĐT xin báo cáo sếp Admin 01 về sơ bộ dự án chung cư Hải Sơn có diện tích đất 8.321 m2 (nguồn từ anh Sơn Trợ lý) tại đường Huỳnh Văn Nghệ, P. Biên Hòa, Thành phố Đồng Nai như sau: I. Vị trí và ranh đất: https://www.google.com/maps/d/edit?mid=1pYF3M65dQngj9P_VP8SbXUKy92nYnFo&usp=sharing => Đánh giá sơ bộ hiện trạng: Đường kết nối vào khu đất từ đường Huỳnh Văn Nghệ có bề ngang nhỏ, chỉ khoảng 8.8 m, cần đánh giá có đủ điều kiện kết nối giao thông cho dự án chung cư cao tầng hay không. Chiều sâu từ đường Huỳnh Văn Nghệ vào khoảng 28 m, lối vào có hình nút thắt cổ chai. Hình dạng khu đất kiểu đa giác không đều, khó bố trí không gian. Đối diện là khu đất nghĩa trang, có mặt tiền ôm đường hơn 100 m, trọn khu khoảng 8.600 m2. II. Hiện trạng pháp lý: - Pháp lý về đất: Sổ đất cá nhân được cấp Giấy CNQSD ngày 30/9/2025. Tổng diện tích 8.132 m2, trong đó: Đất ở 86 m2 và đất Cây hằng năm: 8.046"
BDS-MASTER-0438,cập nhật chốt xin giữ dân số cho PGK là 3800,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,,,,batch_232.txt,[] Thao L - INVT Hi Thảo; PLDA cập nhật chốt xin giữ dân số cho PGK là 3800. Đầu tư trao đổi với QH và PLDA để nắm tt thêm; Các PA điều chỉnh cơ cấu sản phẩm sau này cũng dễ hơn. Em nhận thông tin ạ
BDS-MASTER-0440,của DIG,google_my_maps_needs_open,2025-04-18,https://www.google.com/maps/d/edit?mid,,,,batch_440.txt,"[2025-04-18] Khoa L - INVT 4/18/2025 9:19 PM Translate Ngoài ra, trong maps tổng này những điểm chấm xanh là dự án của DIG, điểm chấm đỏ là dự án HDC, chúng ta có thể nhìn tổng quát các quỹ đất/dự án lớn tại Vũng Tàu đều thuộc 2 công ty trên"
BDS-MASTER-0443,của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể,google_my_maps_needs_open,2023-04-26,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,,,,batch_893.txt,[2023-04-26] Huy M - IM 4/26/2023 10:11 AM Tiến độ triển khai dự án của mình sẽ thực hiện đồng bộ theo hạ tầng của tỉnh Vậy cầu này làm để kết nói đường bộ ven biể... by Unknown User
BDS-MASTER-0173,hiệu quả với tỷ lệ LNTT/TMĐT từ > 12% là từ 90 triệu đồng/m2,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,DỰ ÁN và trong bối cảnh nguồn cung quá lớn ở Đà Nẵng.,Đà Nẵng,,batch_342.txt,"[] Phòng có tính thêm trường hợp giữ nguyên giá chào 245 triệu đồng/m2, (và giữ nguyên các yếu tố đầu vào như chi phí xây dựng, tiền sử dụng đất, các chi phí khác) THÌ giá bán bình quân căn hộ ở để dự án hiệu quả với tỷ lệ LNTT/TMĐT từ > 12% là từ 90 triệu đồng/m2, mà giá này thì khó khả thi ở vị trí DỰ ÁN và trong bối cảnh nguồn cung quá lớn ở Đà Nẵng."
BDS-MASTER-0497,hoàn chỉnh nút giao và nhánh nối xa lộ Hà Nội - vành đai 3,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1GZCfnV4401jtKcup5hFe0KPBOBMYrp4&usp=sharing,,TP.HCM,,batch_231.txt; batch_232.txt,"[] Link https://tuoitre.vn/tp-hcm-se-lam-nut-g... by Unknown User Hoang V - IM 1/7 8:33 AM https://tuoitre.vn/tp-hcm-se-lam-nut-giao-go-cong-quy-mo-4-tang-20260106234016844.htm TP.HCM sẽ làm nút giao Gò Công quy mô 4 tầng - Tuổi Trẻ Online UBND TP.HCM vừa phê duyệt nhiệm vụ thiết kế thi công tuyển phương án kiến trúc nút giao Gò Công, thuộc dự án hoàn chỉnh nút giao và nhánh nối xa lộ Hà Nội - vành đai 3. Công trình được xác định là ... tuoitre.vn nút giao Gò Công - Ảnh 1. by Unknown User Hoang V - IM 1/7 8:33 AM Link https://www.youtube.com/shorts/liVPfOD... by Unknown User Hoang V - IM 1/7 8:41 AM https://www.youtube.com/shorts/liVPfODv51Y?feature=share - YouTube Enjoy the videos and music you love, upload original content, and share it all with friends, family, and the world on YouTube. www.youtube.com Ua3 là chỗ nào nào by Unknown User Mr Mike1 -CEO 1/7 8:53 AM Ua3 là chỗ nào nào L"
BDS-MASTER-0368,hạ tầng kết nối lớn tại các tỉnh thành lân cận,google_my_maps_needs_open,,https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105; https://www.google.com/maps/d/edit?mid=1SAcLUqc-JTEBiY1uNXVoDUdI-a5wJd0&ll=10.002013642197713%2C105…,". 3/ Tỷ lệ lắp đầy đất KCN: + Việt Nam : 78 - 95% => trung bình 90% + Indonesia: 60 - 86.5% + Thái Lan: 87 - 89% => Việt Nam có tỷ lệ lắp đầy cao nhất, phản ánh sự dịch chuyển dòng vốn đầu tư từ nước ngoài vào Việt Nam m",TPHCM,,batch_790.txt,"[] Phòng Đầu tư và R&D gửi anh Tuan Tran-CEO báo cáo thị trường BĐS KCN tại Indonesia và Thái Lan đã được cập nhật thêm thông tin thị trường KCN tại Việt Nam, cụ thể: A/ So sánh thị trường KCN tại Việt Nam, Indonesia và Thái Lan 1/ Giá đất trung bình KCN ($/m2/kỳ) : + Vietnam : tại TPHCM - $257, tại Hà Nội - $168, các tỉnh thành phía Nam - $158, các tỉnh thành phía Bắc - $115 + Indonesia : tại Jakarta - $392, West Java (liền kề Jakarta) - $150, Easta Java - $397, Central Java - $119 + Thái Lan : tại Vùng thủ đô Bangkok - $162, tại EEC - $130 => Indonesia có giá đất KCN trung bình cao hơn hẳn Việt Nam và Thái Lan 2/ Giá thuê nhà kho xưởng: Giá thuê nhà xưởng không có sự khác biệt lớn giữa 3 nước, dao động trung bình xung quanh $4/m2/tháng. Giá thuê kho xưởng sẽ phụ thuộc nhiều vào chất lượng xây dựng công trình, suất đầu tư công trình hơn là yếu tố vị trí. 3/ Tỷ lệ lắp đầy đất KCN: + Việt"
BDS-MASTER-0370,khác Team cũng có đánh giá lại theo giá thị trường,google_my_maps_needs_open,2025-04-18,https://www.google.com/maps/d/edit?mid=1MawyjqMPRL80P8Y7qm_ZhtUgghnbpFc&usp=sharing,,,,batch_443.txt,"[2025-04-18] Unknown User 4/18/2025 6:56 PM 🎙Audio message Đúng rồi à. Cái Long Tân này bên Team có đánh giá lại theo giá mới, không phải lấy theo giá sổ sách à. Nếu CLN thì giá tầm 6 7 tr còn đất lúa thì 2 3 nếu trung bình 50 50% thì giá trung bình là tầm 4. Cũng do là chưa biết cơ cấu bao nhiêu nên tạm lấy giá đấy lúa 2 3 triệu nên giá định giá đang là 4200 tỷ à. Ngoài ra còn có các dự án khác Team cũng có đánh giá lại theo giá thị trường"
